Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,24.216935, ARIRANHA, A736,"-2,113,305,554","-4,884,055,555"
2/28/2013,24.491369, ARIRANHA, A737,"-2,113,305,554","-4,884,055,555"
3/31/2013,24.125862, ARIRANHA, A738,"-2,113,305,554","-4,884,055,555"
4/30/2013,21.743333, ARIRANHA, A739,"-2,113,305,554","-4,884,055,555"
5/31/2013,20.205376, ARIRANHA, A740,"-2,113,305,554","-4,884,055,555"
6/30/2013,20.159545, ARIRANHA, A741,"-2,113,305,554","-4,884,055,555"
7/31/2013,18.181317, ARIRANHA, A742,"-2,113,305,554","-4,884,055,555"
8/31/2013,19.025269, ARIRANHA, A743,"-2,113,305,554","-4,884,055,555"
9/30/2013,22.211944, ARIRANHA, A744,"-2,113,305,554","-4,884,055,555"
10/31/2013,23.339651, ARIRANHA, A745,"-2,113,305,554","-4,884,055,555"
11/30/2013,24.145556, ARIRANHA, A746,"-2,113,305,554","-4,884,055,555"
12/31/2013,25.113441, ARIRANHA, A747,"-2,113,305,554","-4,884,055,555"
1/31/2014,25.303091, ARIRANHA, A748,"-2,113,305,554","-4,884,055,555"
2/28/2014,25.366071, ARIRANHA, A749,"-2,113,305,554","-4,884,055,555"
3/31/2014,24.511425, ARIRANHA, A750,"-2,113,305,554","-4,884,055,555"
4/30/2014,23.19375, ARIRANHA, A751,"-2,113,305,554","-4,884,055,555"
5/31/2014,19.64086, ARIRANHA, A752,"-2,113,305,554","-4,884,055,555"
6/30/2014,19.54, ARIRANHA, A753,"-2,113,305,554","-4,884,055,555"
7/31/2014,18.694624, ARIRANHA, A754,"-2,113,305,554","-4,884,055,555"
8/31/2014,20.969624, ARIRANHA, A755,"-2,113,305,554","-4,884,055,555"
9/30/2014,23.488793, ARIRANHA, A756,"-2,113,305,554","-4,884,055,555"
10/31/2014,24.95793, ARIRANHA, A757,"-2,113,305,554","-4,884,055,555"
11/30/2014,24.555833, ARIRANHA, A758,"-2,113,305,554","-4,884,055,555"
12/31/2014,24.533199, ARIRANHA, A759,"-2,113,305,554","-4,884,055,555"
1/31/2015,26.311806, ARIRANHA, A760,"-2,113,305,554","-4,884,055,555"
2/28/2015,24.538988, ARIRANHA, A761,"-2,113,305,554","-4,884,055,555"
3/31/2015,23.425403, ARIRANHA, A762,"-2,113,305,554","-4,884,055,555"
4/30/2015,22.88875, ARIRANHA, A763,"-2,113,305,554","-4,884,055,555"
5/31/2015,20.119758, ARIRANHA, A764,"-2,113,305,554","-4,884,055,555"
6/30/2015,19.851786, ARIRANHA, A765,"-2,113,305,554","-4,884,055,555"
7/31/2015,null, ARIRANHA, A766,"-2,113,305,554","-4,884,055,555"
8/31/2015,21.286719, ARIRANHA, A767,"-2,113,305,554","-4,884,055,555"
9/30/2015,23.530139, ARIRANHA, A768,"-2,113,305,554","-4,884,055,555"
10/31/2015,26.054973, ARIRANHA, A769,"-2,113,305,554","-4,884,055,555"
11/30/2015,25.077778, ARIRANHA, A770,"-2,113,305,554","-4,884,055,555"
12/31/2015,25.000941, ARIRANHA, A771,"-2,113,305,554","-4,884,055,555"
1/31/2016,24.729301, ARIRANHA, A772,"-2,113,305,554","-4,884,055,555"
2/29/2016,25.566667, ARIRANHA, A773,"-2,113,305,554","-4,884,055,555"
3/31/2016,24.799866, ARIRANHA, A774,"-2,113,305,554","-4,884,055,555"
4/30/2016,23.299028, ARIRANHA, A775,"-2,113,305,554","-4,884,055,555"
5/31/2016,19.927957, ARIRANHA, A776,"-2,113,305,554","-4,884,055,555"
6/30/2016,18.264722, ARIRANHA, A777,"-2,113,305,554","-4,884,055,555"
7/31/2016,18.689919, ARIRANHA, A778,"-2,113,305,554","-4,884,055,555"
8/31/2016,20.334677, ARIRANHA, A779,"-2,113,305,554","-4,884,055,555"
9/30/2016,22.4575, ARIRANHA, A780,"-2,113,305,554","-4,884,055,555"
10/31/2016,24.230376, ARIRANHA, A781,"-2,113,305,554","-4,884,055,555"
11/30/2016,24.16, ARIRANHA, A782,"-2,113,305,554","-4,884,055,555"
12/31/2016,24.886962, ARIRANHA, A783,"-2,113,305,554","-4,884,055,555"
1/31/2017,24.419489, ARIRANHA, A784,"-2,113,305,554","-4,884,055,555"
2/28/2017,25.316667, ARIRANHA, A785,"-2,113,305,554","-4,884,055,555"
3/31/2017,24.817204, ARIRANHA, A786,"-2,113,305,554","-4,884,055,555"
4/30/2017,23.111111, ARIRANHA, A787,"-2,113,305,554","-4,884,055,555"
5/31/2017,21.397849, ARIRANHA, A788,"-2,113,305,554","-4,884,055,555"
6/30/2017,18.785058, ARIRANHA, A789,"-2,113,305,554","-4,884,055,555"
7/31/2017,null, ARIRANHA, A790,"-2,113,305,554","-4,884,055,555"
8/31/2017,null, ARIRANHA, A791,"-2,113,305,554","-4,884,055,555"
9/30/2017,null, ARIRANHA, A792,"-2,113,305,554","-4,884,055,555"
10/31/2017,25.240457, ARIRANHA, A793,"-2,113,305,554","-4,884,055,555"
11/30/2017,24.091111, ARIRANHA, A794,"-2,113,305,554","-4,884,055,555"
12/31/2017,24.991936, ARIRANHA, A795,"-2,113,305,554","-4,884,055,555"
1/31/2018,24.545564, ARIRANHA, A796,"-2,113,305,554","-4,884,055,555"
2/28/2018,24.15, ARIRANHA, A797,"-2,113,305,554","-4,884,055,555"
3/31/2018,25.550269, ARIRANHA, A798,"-2,113,305,554","-4,884,055,555"
4/30/2018,22.884167, ARIRANHA, A799,"-2,113,305,554","-4,884,055,555"
5/31/2018,20.233737, ARIRANHA, A800,"-2,113,305,554","-4,884,055,555"
6/30/2018,20.251111, ARIRANHA, A801,"-2,113,305,554","-4,884,055,555"
7/31/2018,18.788441, ARIRANHA, A802,"-2,113,305,554","-4,884,055,555"
8/31/2018,19.94207, ARIRANHA, A803,"-2,113,305,554","-4,884,055,555"
9/30/2018,22.747518, ARIRANHA, A804,"-2,113,305,554","-4,884,055,555"
10/31/2018,24.556855, ARIRANHA, A805,"-2,113,305,554","-4,884,055,555"
11/30/2018,24.07625, ARIRANHA, A806,"-2,113,305,554","-4,884,055,555"
12/31/2018,25.312769, ARIRANHA, A807,"-2,113,305,554","-4,884,055,555"
1/31/2019,25.994355, ARIRANHA, A808,"-2,113,305,554","-4,884,055,555"
