Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,21.61922, AVARE, A725,"-2,310,166,666","-489,411,111"
2/28/2013,22.725893, AVARE, A726,"-2,310,166,666","-489,411,111"
3/31/2013,21.640948, AVARE, A727,"-2,310,166,666","-489,411,111"
4/30/2013,null, AVARE, A728,"-2,310,166,666","-489,411,111"
5/31/2013,null, AVARE, A729,"-2,310,166,666","-489,411,111"
6/30/2013,17.374515, AVARE, A730,"-2,310,166,666","-489,411,111"
7/31/2013,16.29706, AVARE, A731,"-2,310,166,666","-489,411,111"
8/31/2013,18.270121, AVARE, A732,"-2,310,166,666","-489,411,111"
9/30/2013,null, AVARE, A733,"-2,310,166,666","-489,411,111"
10/31/2013,null, AVARE, A734,"-2,310,166,666","-489,411,111"
11/30/2013,null, AVARE, A735,"-2,310,166,666","-489,411,111"
12/31/2013,null, AVARE, A736,"-2,310,166,666","-489,411,111"
1/31/2014,null, AVARE, A737,"-2,310,166,666","-489,411,111"
2/28/2014,null, AVARE, A738,"-2,310,166,666","-489,411,111"
3/31/2014,null, AVARE, A739,"-2,310,166,666","-489,411,111"
4/30/2014,null, AVARE, A740,"-2,310,166,666","-489,411,111"
5/31/2014,null, AVARE, A741,"-2,310,166,666","-489,411,111"
6/30/2014,null, AVARE, A742,"-2,310,166,666","-489,411,111"
7/31/2014,null, AVARE, A743,"-2,310,166,666","-489,411,111"
8/31/2014,null, AVARE, A744,"-2,310,166,666","-489,411,111"
9/30/2014,20.314028, AVARE, A745,"-2,310,166,666","-489,411,111"
10/31/2014,22.096774, AVARE, A746,"-2,310,166,666","-489,411,111"
11/30/2014,21.68125, AVARE, A747,"-2,310,166,666","-489,411,111"
12/31/2014,22.695296, AVARE, A748,"-2,310,166,666","-489,411,111"
1/31/2015,24.813575, AVARE, A749,"-2,310,166,666","-489,411,111"
2/28/2015,22.682292, AVARE, A750,"-2,310,166,666","-489,411,111"
3/31/2015,21.965323, AVARE, A751,"-2,310,166,666","-489,411,111"
4/30/2015,20.642639, AVARE, A752,"-2,310,166,666","-489,411,111"
5/31/2015,18.110081, AVARE, A753,"-2,310,166,666","-489,411,111"
6/30/2015,17.626111, AVARE, A754,"-2,310,166,666","-489,411,111"
7/31/2015,17.345027, AVARE, A755,"-2,310,166,666","-489,411,111"
8/31/2015,20.120564, AVARE, A756,"-2,310,166,666","-489,411,111"
9/30/2015,21.17625, AVARE, A757,"-2,310,166,666","-489,411,111"
10/31/2015,21.942876, AVARE, A758,"-2,310,166,666","-489,411,111"
11/30/2015,21.852639, AVARE, A759,"-2,310,166,666","-489,411,111"
12/31/2015,22.877419, AVARE, A760,"-2,310,166,666","-489,411,111"
1/31/2016,22.748521, AVARE, A761,"-2,310,166,666","-489,411,111"
2/29/2016,23.979598, AVARE, A762,"-2,310,166,666","-489,411,111"
3/31/2016,22.764247, AVARE, A763,"-2,310,166,666","-489,411,111"
4/30/2016,23.362639, AVARE, A764,"-2,310,166,666","-489,411,111"
5/31/2016,17.256183, AVARE, A765,"-2,310,166,666","-489,411,111"
6/30/2016,15.374898, AVARE, A766,"-2,310,166,666","-489,411,111"
7/31/2016,17.468068, AVARE, A767,"-2,310,166,666","-489,411,111"
8/31/2016,18.155376, AVARE, A768,"-2,310,166,666","-489,411,111"
9/30/2016,18.354028, AVARE, A769,"-2,310,166,666","-489,411,111"
10/31/2016,20.358871, AVARE, A770,"-2,310,166,666","-489,411,111"
11/30/2016,21.369583, AVARE, A771,"-2,310,166,666","-489,411,111"
12/31/2016,22.768548, AVARE, A772,"-2,310,166,666","-489,411,111"
1/31/2017,22.762769, AVARE, A773,"-2,310,166,666","-489,411,111"
2/28/2017,24.222173, AVARE, A774,"-2,310,166,666","-489,411,111"
3/31/2017,22.179301, AVARE, A775,"-2,310,166,666","-489,411,111"
4/30/2017,20.237639, AVARE, A776,"-2,310,166,666","-489,411,111"
5/31/2017,18.785753, AVARE, A777,"-2,310,166,666","-489,411,111"
