Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,23.58414, BARRA BONITA, A741,"-224,711,111","-485,575"
2/28/2013,24.753306, BARRA BONITA, A742,"-224,711,111","-485,575"
3/31/2013,23.679454, BARRA BONITA, A743,"-224,711,111","-485,575"
4/30/2013,21.548871, BARRA BONITA, A744,"-224,711,111","-485,575"
5/31/2013,19.96115, BARRA BONITA, A745,"-224,711,111","-485,575"
6/30/2013,18.642566, BARRA BONITA, A746,"-224,711,111","-485,575"
7/31/2013,17.34453, BARRA BONITA, A747,"-224,711,111","-485,575"
8/31/2013,18.944624, BARRA BONITA, A748,"-224,711,111","-485,575"
9/30/2013,21.323333, BARRA BONITA, A749,"-224,711,111","-485,575"
10/31/2013,22.50232, BARRA BONITA, A750,"-224,711,111","-485,575"
11/30/2013,23.972687, BARRA BONITA, A751,"-224,711,111","-485,575"
12/31/2013,25.680628, BARRA BONITA, A752,"-224,711,111","-485,575"
1/31/2014,26.039247, BARRA BONITA, A753,"-224,711,111","-485,575"
2/28/2014,26.421131, BARRA BONITA, A754,"-224,711,111","-485,575"
3/31/2014,24.606995, BARRA BONITA, A755,"-224,711,111","-485,575"
4/30/2014,22.708194, BARRA BONITA, A756,"-224,711,111","-485,575"
5/31/2014,19.783064, BARRA BONITA, A757,"-224,711,111","-485,575"
6/30/2014,19.482361, BARRA BONITA, A758,"-224,711,111","-485,575"
7/31/2014,18.157392, BARRA BONITA, A759,"-224,711,111","-485,575"
8/31/2014,20.243817, BARRA BONITA, A760,"-224,711,111","-485,575"
9/30/2014,22.440555, BARRA BONITA, A761,"-224,711,111","-485,575"
10/31/2014,24.196505, BARRA BONITA, A762,"-224,711,111","-485,575"
11/30/2014,23.764306, BARRA BONITA, A763,"-224,711,111","-485,575"
12/31/2014,24.597446, BARRA BONITA, A764,"-224,711,111","-485,575"
1/31/2015,26.76129, BARRA BONITA, A765,"-224,711,111","-485,575"
2/28/2015,24.681548, BARRA BONITA, A766,"-224,711,111","-485,575"
3/31/2015,23.49879, BARRA BONITA, A767,"-224,711,111","-485,575"
4/30/2015,22.531667, BARRA BONITA, A768,"-224,711,111","-485,575"
5/31/2015,19.768333, BARRA BONITA, A769,"-224,711,111","-485,575"
6/30/2015,19.135833, BARRA BONITA, A770,"-224,711,111","-485,575"
7/31/2015,18.786021, BARRA BONITA, A771,"-224,711,111","-485,575"
8/31/2015,20.97621, BARRA BONITA, A772,"-224,711,111","-485,575"
9/30/2015,22.778833, BARRA BONITA, A773,"-224,711,111","-485,575"
10/31/2015,24.314113, BARRA BONITA, A774,"-224,711,111","-485,575"
11/30/2015,24.127422, BARRA BONITA, A775,"-224,711,111","-485,575"
12/31/2015,25.075135, BARRA BONITA, A776,"-224,711,111","-485,575"
1/31/2016,24.594758, BARRA BONITA, A777,"-224,711,111","-485,575"
2/29/2016,25.654885, BARRA BONITA, A778,"-224,711,111","-485,575"
3/31/2016,24.620027, BARRA BONITA, A779,"-224,711,111","-485,575"
4/30/2016,24.692639, BARRA BONITA, A780,"-224,711,111","-485,575"
5/31/2016,19.119758, BARRA BONITA, A781,"-224,711,111","-485,575"
6/30/2016,16.726389, BARRA BONITA, A782,"-224,711,111","-485,575"
7/31/2016,18.318683, BARRA BONITA, A783,"-224,711,111","-485,575"
8/31/2016,19.751478, BARRA BONITA, A784,"-224,711,111","-485,575"
