Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,null, BARRA DO TURVO, A746,"-2,496,277,777","-4,841,638,888"
2/28/2013,null, BARRA DO TURVO, A747,"-2,496,277,777","-4,841,638,888"
3/31/2013,19.896408, BARRA DO TURVO, A748,"-2,496,277,777","-4,841,638,888"
4/30/2013,17.594861, BARRA DO TURVO, A749,"-2,496,277,777","-4,841,638,888"
5/31/2013,15.90914, BARRA DO TURVO, A750,"-2,496,277,777","-4,841,638,888"
6/30/2013,15.510726, BARRA DO TURVO, A751,"-2,496,277,777","-4,841,638,888"
7/31/2013,13.117441, BARRA DO TURVO, A752,"-2,496,277,777","-4,841,638,888"
8/31/2013,13.652145, BARRA DO TURVO, A753,"-2,496,277,777","-4,841,638,888"
9/30/2013,16.043449, BARRA DO TURVO, A754,"-2,496,277,777","-4,841,638,888"
10/31/2013,17.198649, BARRA DO TURVO, A755,"-2,496,277,777","-4,841,638,888"
11/30/2013,19.076281, BARRA DO TURVO, A756,"-2,496,277,777","-4,841,638,888"
12/31/2013,21.636535, BARRA DO TURVO, A757,"-2,496,277,777","-4,841,638,888"
1/31/2014,22.730408, BARRA DO TURVO, A758,"-2,496,277,777","-4,841,638,888"
2/28/2014,22.593404, BARRA DO TURVO, A759,"-2,496,277,777","-4,841,638,888"
3/31/2014,20.79637, BARRA DO TURVO, A760,"-2,496,277,777","-4,841,638,888"
4/30/2014,18.42099, BARRA DO TURVO, A761,"-2,496,277,777","-4,841,638,888"
5/31/2014,16.434442, BARRA DO TURVO, A762,"-2,496,277,777","-4,841,638,888"
6/30/2014,15.632708, BARRA DO TURVO, A763,"-2,496,277,777","-4,841,638,888"
7/31/2014,13.775461, BARRA DO TURVO, A764,"-2,496,277,777","-4,841,638,888"
8/31/2014,15.110074, BARRA DO TURVO, A765,"-2,496,277,777","-4,841,638,888"
9/30/2014,16.512951, BARRA DO TURVO, A766,"-2,496,277,777","-4,841,638,888"
10/31/2014,18.538819, BARRA DO TURVO, A767,"-2,496,277,777","-4,841,638,888"
11/30/2014,19.411383, BARRA DO TURVO, A768,"-2,496,277,777","-4,841,638,888"
12/31/2014,21.327685, BARRA DO TURVO, A769,"-2,496,277,777","-4,841,638,888"
1/31/2015,22.797385, BARRA DO TURVO, A770,"-2,496,277,777","-4,841,638,888"
2/28/2015,21.717392, BARRA DO TURVO, A771,"-2,496,277,777","-4,841,638,888"
3/31/2015,20.380726, BARRA DO TURVO, A772,"-2,496,277,777","-4,841,638,888"
