Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,24.010484, BARRETOS, A748,"-2,055,916,666","-4,854,499,999"
2/28/2013,24.268899, BARRETOS, A749,"-2,055,916,666","-4,854,499,999"
3/31/2013,24.039655, BARRETOS, A750,"-2,055,916,666","-4,854,499,999"
4/30/2013,21.70375, BARRETOS, A751,"-2,055,916,666","-4,854,499,999"
5/31/2013,20.266263, BARRETOS, A752,"-2,055,916,666","-4,854,499,999"
6/30/2013,20.170846, BARRETOS, A753,"-2,055,916,666","-4,854,499,999"
7/31/2013,18.477151, BARRETOS, A754,"-2,055,916,666","-4,854,499,999"
8/31/2013,19.936425, BARRETOS, A755,"-2,055,916,666","-4,854,499,999"
9/30/2013,22.607778, BARRETOS, A756,"-2,055,916,666","-4,854,499,999"
10/31/2013,23.646371, BARRETOS, A757,"-2,055,916,666","-4,854,499,999"
11/30/2013,24.114722, BARRETOS, A758,"-2,055,916,666","-4,854,499,999"
12/31/2013,25.122581, BARRETOS, A759,"-2,055,916,666","-4,854,499,999"
1/31/2014,25.932258, BARRETOS, A760,"-2,055,916,666","-4,854,499,999"
2/28/2014,26.113542, BARRETOS, A761,"-2,055,916,666","-4,854,499,999"
3/31/2014,24.641936, BARRETOS, A762,"-2,055,916,666","-4,854,499,999"
4/30/2014,23.425139, BARRETOS, A763,"-2,055,916,666","-4,854,499,999"
5/31/2014,20.112634, BARRETOS, A764,"-2,055,916,666","-4,854,499,999"
6/30/2014,20.15125, BARRETOS, A765,"-2,055,916,666","-4,854,499,999"
7/31/2014,19.41707, BARRETOS, A766,"-2,055,916,666","-4,854,499,999"
8/31/2014,22.181317, BARRETOS, A767,"-2,055,916,666","-4,854,499,999"
9/30/2014,24.354444, BARRETOS, A768,"-2,055,916,666","-4,854,499,999"
10/31/2014,26.207796, BARRETOS, A769,"-2,055,916,666","-4,854,499,999"
11/30/2014,25.199167, BARRETOS, A770,"-2,055,916,666","-4,854,499,999"
