Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,22.872312, BAURU, A705,"-22,358,052","-49,028,877"
2/28/2013,23.544643, BAURU, A706,"-22,358,052","-49,028,877"
3/31/2013,22.81092, BAURU, A707,"-22,358,052","-49,028,877"
4/30/2013,20.853889, BAURU, A708,"-22,358,052","-49,028,877"
5/31/2013,19.366801, BAURU, A709,"-22,358,052","-49,028,877"
6/30/2013,18.348573, BAURU, A710,"-22,358,052","-49,028,877"
7/31/2013,null, BAURU, A711,"-22,358,052","-49,028,877"
8/31/2013,null, BAURU, A712,"-22,358,052","-49,028,877"
9/30/2013,null, BAURU, A713,"-22,358,052","-49,028,877"
10/31/2013,21.86707, BAURU, A714,"-22,358,052","-49,028,877"
11/30/2013,22.920972, BAURU, A715,"-22,358,052","-49,028,877"
12/31/2013,24.484409, BAURU, A716,"-22,358,052","-49,028,877"
1/31/2014,25.087932, BAURU, A717,"-22,358,052","-49,028,877"
2/28/2014,25.068304, BAURU, A718,"-22,358,052","-49,028,877"
3/31/2014,23.380318, BAURU, A719,"-22,358,052","-49,028,877"
4/30/2014,21.963472, BAURU, A720,"-22,358,052","-49,028,877"
5/31/2014,19.276344, BAURU, A721,"-22,358,052","-49,028,877"
6/30/2014,19.18625, BAURU, A722,"-22,358,052","-49,028,877"
7/31/2014,17.923253, BAURU, A723,"-22,358,052","-49,028,877"
8/31/2014,20.67102, BAURU, A724,"-22,358,052","-49,028,877"
9/30/2014,21.995556, BAURU, A725,"-22,358,052","-49,028,877"
10/31/2014,24.181534, BAURU, A726,"-22,358,052","-49,028,877"
11/30/2014,null, BAURU, A727,"-22,358,052","-49,028,877"
12/31/2014,23.686806, BAURU, A728,"-22,358,052","-49,028,877"
1/31/2015,25.548884, BAURU, A729,"-22,358,052","-49,028,877"
2/28/2015,23.830804, BAURU, A730,"-22,358,052","-49,028,877"
3/31/2015,22.76707, BAURU, A731,"-22,358,052","-49,028,877"
4/30/2015,21.881624, BAURU, A732,"-22,358,052","-49,028,877"
5/31/2015,19.167204, BAURU, A733,"-22,358,052","-49,028,877"
6/30/2015,18.934167, BAURU, A734,"-22,358,052","-49,028,877"
7/31/2015,18.516129, BAURU, A735,"-22,358,052","-49,028,877"
8/31/2015,20.740054, BAURU, A736,"-22,358,052","-49,028,877"
9/30/2015,22.761944, BAURU, A737,"-22,358,052","-49,028,877"
10/31/2015,23.844355, BAURU, A738,"-22,358,052","-49,028,877"
11/30/2015,23.313055, BAURU, A739,"-22,358,052","-49,028,877"
12/31/2015,23.953004, BAURU, A740,"-22,358,052","-49,028,877"
1/31/2016,23.893414, BAURU, A741,"-22,358,052","-49,028,877"
2/29/2016,24.440848, BAURU, A742,"-22,358,052","-49,028,877"
3/31/2016,23.678091, BAURU, A743,"-22,358,052","-49,028,877"
4/30/2016,23.839167, BAURU, A744,"-22,358,052","-49,028,877"
5/31/2016,18.49328, BAURU, A745,"-22,358,052","-49,028,877"
6/30/2016,16.698056, BAURU, A746,"-22,358,052","-49,028,877"
7/31/2016,18.45135, BAURU, A747,"-22,358,052","-49,028,877"
8/31/2016,19.714785, BAURU, A748,"-22,358,052","-49,028,877"
9/30/2016,20.194475, BAURU, A749,"-22,358,052","-49,028,877"
10/31/2016,22.28923, BAURU, A750,"-22,358,052","-49,028,877"
11/30/2016,22.93, BAURU, A751,"-22,358,052","-49,028,877"
12/31/2016,23.979973, BAURU, A752,"-22,358,052","-49,028,877"
1/31/2017,23.518408, BAURU, A753,"-22,358,052","-49,028,877"
2/28/2017,24.917113, BAURU, A754,"-22,358,052","-49,028,877"
3/31/2017,23.473387, BAURU, A755,"-22,358,052","-49,028,877"
4/30/2017,21.602361, BAURU, A756,"-22,358,052","-49,028,877"
5/31/2017,19.97171, BAURU, A757,"-22,358,052","-49,028,877"
6/30/2017,18.038889, BAURU, A758,"-22,358,052","-49,028,877"
7/31/2017,17.496371, BAURU, A759,"-22,358,052","-49,028,877"
8/31/2017,19.349597, BAURU, A760,"-22,358,052","-49,028,877"
9/30/2017,23.38381, BAURU, A761,"-22,358,052","-49,028,877"
10/31/2017,22.872177, BAURU, A762,"-22,358,052","-49,028,877"
11/30/2017,22.536944, BAURU, A763,"-22,358,052","-49,028,877"
12/31/2017,24.234946, BAURU, A764,"-22,358,052","-49,028,877"
1/31/2018,23.460057, BAURU, A765,"-22,358,052","-49,028,877"
2/28/2018,23.156198, BAURU, A766,"-22,358,052","-49,028,877"
3/31/2018,24.518817, BAURU, A767,"-22,358,052","-49,028,877"
4/30/2018,22.21032, BAURU, A768,"-22,358,052","-49,028,877"
5/31/2018,20.124462, BAURU, A769,"-22,358,052","-49,028,877"
6/30/2018,19.83125, BAURU, A770,"-22,358,052","-49,028,877"
7/31/2018,null, BAURU, A771,"-22,358,052","-49,028,877"
8/31/2018,null, BAURU, A772,"-22,358,052","-49,028,877"
9/30/2018,21.106944, BAURU, A773,"-22,358,052","-49,028,877"
10/31/2018,22.497446, BAURU, A774,"-22,358,052","-49,028,877"
11/30/2018,23.030713, BAURU, A775,"-22,358,052","-49,028,877"
12/31/2018,24.811022, BAURU, A776,"-22,358,052","-49,028,877"
1/31/2019,25.480376, BAURU, A777,"-22,358,052","-49,028,877"
2/28/2019,23.967411, BAURU, A778,"-22,358,052","-49,028,877"
3/31/2019,23.510513, BAURU, A779,"-22,358,052","-49,028,877"
4/30/2019,22.847361, BAURU, A780,"-22,358,052","-49,028,877"
5/31/2019,21.020699, BAURU, A781,"-22,358,052","-49,028,877"
6/30/2019,19.791806, BAURU, A782,"-22,358,052","-49,028,877"
