Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
10/31/2016,null, BEBEDOURO, A764,"-2,094,805,555","-4,847,138,888"
11/30/2016,24.436389, BEBEDOURO, A765,"-2,094,805,555","-4,847,138,888"
12/31/2016,25.249194, BEBEDOURO, A766,"-2,094,805,555","-4,847,138,888"
1/31/2017,24.49207, BEBEDOURO, A767,"-2,094,805,555","-4,847,138,888"
2/28/2017,26.030208, BEBEDOURO, A768,"-2,094,805,555","-4,847,138,888"
3/31/2017,25.266801, BEBEDOURO, A769,"-2,094,805,555","-4,847,138,888"
4/30/2017,23.714583, BEBEDOURO, A770,"-2,094,805,555","-4,847,138,888"
5/31/2017,22.239516, BEBEDOURO, A771,"-2,094,805,555","-4,847,138,888"
6/30/2017,20.275972, BEBEDOURO, A772,"-2,094,805,555","-4,847,138,888"
7/31/2017,19.365533, BEBEDOURO, A773,"-2,094,805,555","-4,847,138,888"
8/31/2017,22.221505, BEBEDOURO, A774,"-2,094,805,555","-4,847,138,888"
9/30/2017,25.396944, BEBEDOURO, A775,"-2,094,805,555","-4,847,138,888"
10/31/2017,25.91707, BEBEDOURO, A776,"-2,094,805,555","-4,847,138,888"
11/30/2017,24.340694, BEBEDOURO, A777,"-2,094,805,555","-4,847,138,888"
12/31/2017,25.185753, BEBEDOURO, A778,"-2,094,805,555","-4,847,138,888"
1/31/2018,24.904973, BEBEDOURO, A779,"-2,094,805,555","-4,847,138,888"
2/28/2018,24.729464, BEBEDOURO, A780,"-2,094,805,555","-4,847,138,888"
3/31/2018,26.201111, BEBEDOURO, A781,"-2,094,805,555","-4,847,138,888"
4/30/2018,24.089135, BEBEDOURO, A782,"-2,094,805,555","-4,847,138,888"
5/31/2018,22.475307, BEBEDOURO, A783,"-2,094,805,555","-4,847,138,888"
6/30/2018,null, BEBEDOURO, A784,"-2,094,805,555","-4,847,138,888"
7/31/2018,21.568279, BEBEDOURO, A785,"-2,094,805,555","-4,847,138,888"
8/31/2018,21.248925, BEBEDOURO, A786,"-2,094,805,555","-4,847,138,888"
9/30/2018,23.801528, BEBEDOURO, A787,"-2,094,805,555","-4,847,138,888"
10/31/2018,25.172715, BEBEDOURO, A788,"-2,094,805,555","-4,847,138,888"
11/30/2018,24.299306, BEBEDOURO, A789,"-2,094,805,555","-4,847,138,888"
12/31/2018,25.802285, BEBEDOURO, A790,"-2,094,805,555","-4,847,138,888"
1/31/2019,26.921342, BEBEDOURO, A791,"-2,094,805,555","-4,847,138,888"
2/28/2019,25.206697, BEBEDOURO, A792,"-2,094,805,555","-4,847,138,888"
3/31/2019,25.048118, BEBEDOURO, A793,"-2,094,805,555","-4,847,138,888"
4/30/2019,24.732361, BEBEDOURO, A794,"-2,094,805,555","-4,847,138,888"
5/31/2019,22.822446, BEBEDOURO, A795,"-2,094,805,555","-4,847,138,888"
6/30/2019,21.266944, BEBEDOURO, A796,"-2,094,805,555","-4,847,138,888"
7/31/2019,20.160484, BEBEDOURO, A797,"-2,094,805,555","-4,847,138,888"
8/31/2019,22.186022, BEBEDOURO, A798,"-2,094,805,555","-4,847,138,888"
9/30/2019,25.89875, BEBEDOURO, A799,"-2,094,805,555","-4,847,138,888"
10/31/2019,26.933065, BEBEDOURO, A800,"-2,094,805,555","-4,847,138,888"
11/30/2019,25.728213, BEBEDOURO, A801,"-2,094,805,555","-4,847,138,888"
12/31/2019,25.091883, BEBEDOURO, A802,"-2,094,805,555","-4,847,138,888"
1/31/2020,25.374597, BEBEDOURO, A803,"-2,094,805,555","-4,847,138,888"
2/29/2020,24.300718, BEBEDOURO, A804,"-2,094,805,555","-4,847,138,888"
3/31/2020,24.96845, BEBEDOURO, A805,"-2,094,805,555","-4,847,138,888"
4/30/2020,23.757638, BEBEDOURO, A806,"-2,094,805,555","-4,847,138,888"
5/31/2020,null, BEBEDOURO, A807,"-2,094,805,555","-4,847,138,888"
6/30/2020,null, BEBEDOURO, A808,"-2,094,805,555","-4,847,138,888"
7/31/2020,null, BEBEDOURO, A809,"-2,094,805,555","-4,847,138,888"
8/31/2020,null, BEBEDOURO, A810,"-2,094,805,555","-4,847,138,888"
9/30/2020,null, BEBEDOURO, A811,"-2,094,805,555","-4,847,138,888"
10/31/2020,null, BEBEDOURO, A812,"-2,094,805,555","-4,847,138,888"
11/30/2020,null, BEBEDOURO, A813,"-2,094,805,555","-4,847,138,888"
12/31/2020,null, BEBEDOURO, A814,"-2,094,805,555","-4,847,138,888"
1/31/2021,null, BEBEDOURO, A815,"-2,094,805,555","-4,847,138,888"
2/28/2021,null, BEBEDOURO, A816,"-2,094,805,555","-4,847,138,888"
3/31/2021,null, BEBEDOURO, A817,"-2,094,805,555","-4,847,138,888"
4/30/2021,23.558872, BEBEDOURO, A818,"-2,094,805,555","-4,847,138,888"
5/31/2021,21.908745, BEBEDOURO, A819,"-2,094,805,555","-4,847,138,888"
6/30/2021,null, BEBEDOURO, A820,"-2,094,805,555","-4,847,138,888"
7/31/2021,null, BEBEDOURO, A821,"-2,094,805,555","-4,847,138,888"
8/31/2021,null, BEBEDOURO, A822,"-2,094,805,555","-4,847,138,888"
9/30/2021,null, BEBEDOURO, A823,"-2,094,805,555","-4,847,138,888"
10/31/2021,null, BEBEDOURO, A824,"-2,094,805,555","-4,847,138,888"
11/30/2021,25.455471, BEBEDOURO, A825,"-2,094,805,555","-4,847,138,888"
12/31/2021,24.879838, BEBEDOURO, A826,"-2,094,805,555","-4,847,138,888"
1/31/2022,24.825164, BEBEDOURO, A827,"-2,094,805,555","-4,847,138,888"
2/28/2022,25.271073, BEBEDOURO, A828,"-2,094,805,555","-4,847,138,888"
3/31/2022,26.065042, BEBEDOURO, A829,"-2,094,805,555","-4,847,138,888"
4/30/2022,null, BEBEDOURO, A830,"-2,094,805,555","-4,847,138,888"
5/31/2022,null, BEBEDOURO, A831,"-2,094,805,555","-4,847,138,888"
6/30/2022,null, BEBEDOURO, A832,"-2,094,805,555","-4,847,138,888"
7/31/2022,null, BEBEDOURO, A833,"-2,094,805,555","-4,847,138,888"
8/31/2022,null, BEBEDOURO, A834,"-2,094,805,555","-4,847,138,888"
9/30/2022,null, BEBEDOURO, A835,"-2,094,805,555","-4,847,138,888"
10/31/2022,null, BEBEDOURO, A836,"-2,094,805,555","-4,847,138,888"
11/30/2022,null, BEBEDOURO, A837,"-2,094,805,555","-4,847,138,888"
12/31/2022,null, BEBEDOURO, A838,"-2,094,805,555","-4,847,138,888"
1/31/2023,null, BEBEDOURO, A839,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A840,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A841,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A842,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A843,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A844,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A845,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A846,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A847,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A848,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A849,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A850,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A851,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A852,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A853,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A854,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A855,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A856,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A857,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A858,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A859,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A860,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A861,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A862,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A863,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A864,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A865,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A866,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A867,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A868,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A869,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A870,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A871,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A872,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A873,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A874,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A875,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A876,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A877,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A878,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A879,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A880,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A881,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A882,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A883,"-2,094,805,555","-4,847,138,888"
,, BEBEDOURO, A884,"-2,094,805,555","-4,847,138,888"
