Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2017,null, BERTIOGA, A765,"-2,384,472,221","-4,614,333,333"
2/28/2017,26.670988, BERTIOGA, A766,"-2,384,472,221","-4,614,333,333"
3/31/2017,25.014919, BERTIOGA, A767,"-2,384,472,221","-4,614,333,333"
4/30/2017,23.120833, BERTIOGA, A768,"-2,384,472,221","-4,614,333,333"
5/31/2017,21.532661, BERTIOGA, A769,"-2,384,472,221","-4,614,333,333"
6/30/2017,20.614589, BERTIOGA, A770,"-2,384,472,221","-4,614,333,333"
7/31/2017,19.06371, BERTIOGA, A771,"-2,384,472,221","-4,614,333,333"
8/31/2017,19.730107, BERTIOGA, A772,"-2,384,472,221","-4,614,333,333"
9/30/2017,21.38375, BERTIOGA, A773,"-2,384,472,221","-4,614,333,333"
10/31/2017,23.038306, BERTIOGA, A774,"-2,384,472,221","-4,614,333,333"
11/30/2017,22.603056, BERTIOGA, A775,"-2,384,472,221","-4,614,333,333"
12/31/2017,24.576882, BERTIOGA, A776,"-2,384,472,221","-4,614,333,333"
1/31/2018,26.047715, BERTIOGA, A777,"-2,384,472,221","-4,614,333,333"
2/28/2018,24.718006, BERTIOGA, A778,"-2,384,472,221","-4,614,333,333"
3/31/2018,25.866129, BERTIOGA, A779,"-2,384,472,221","-4,614,333,333"
4/30/2018,23.828472, BERTIOGA, A780,"-2,384,472,221","-4,614,333,333"
5/31/2018,21.741801, BERTIOGA, A781,"-2,384,472,221","-4,614,333,333"
6/30/2018,20.639722, BERTIOGA, A782,"-2,384,472,221","-4,614,333,333"
7/31/2018,19.706452, BERTIOGA, A783,"-2,384,472,221","-4,614,333,333"
8/31/2018,18.536828, BERTIOGA, A784,"-2,384,472,221","-4,614,333,333"
9/30/2018,21.260694, BERTIOGA, A785,"-2,384,472,221","-4,614,333,333"
10/31/2018,22.085618, BERTIOGA, A786,"-2,384,472,221","-4,614,333,333"
11/30/2018,23.078611, BERTIOGA, A787,"-2,384,472,221","-4,614,333,333"
12/31/2018,25.351478, BERTIOGA, A788,"-2,384,472,221","-4,614,333,333"
1/31/2019,27.888441, BERTIOGA, A789,"-2,384,472,221","-4,614,333,333"
2/28/2019,25.564286, BERTIOGA, A790,"-2,384,472,221","-4,614,333,333"
3/31/2019,25.285215, BERTIOGA, A791,"-2,384,472,221","-4,614,333,333"
4/30/2019,24.425556, BERTIOGA, A792,"-2,384,472,221","-4,614,333,333"
5/31/2019,22.882661, BERTIOGA, A793,"-2,384,472,221","-4,614,333,333"
