Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
12/31/2017,null, BRAGANCA PAULISTA, A744,"-2,295,194,444","-4,653,055,554"
1/31/2018,22.001327, BRAGANCA PAULISTA, A745,"-2,295,194,444","-4,653,055,554"
2/28/2018,21.790327, BRAGANCA PAULISTA, A746,"-2,295,194,444","-4,653,055,554"
3/31/2018,23.138453, BRAGANCA PAULISTA, A747,"-2,295,194,444","-4,653,055,554"
4/30/2018,20.529861, BRAGANCA PAULISTA, A748,"-2,295,194,444","-4,653,055,554"
5/31/2018,18.500484, BRAGANCA PAULISTA, A749,"-2,295,194,444","-4,653,055,554"
6/30/2018,18.131429, BRAGANCA PAULISTA, A750,"-2,295,194,444","-4,653,055,554"
7/31/2018,17.837366, BRAGANCA PAULISTA, A751,"-2,295,194,444","-4,653,055,554"
8/31/2018,17.131989, BRAGANCA PAULISTA, A752,"-2,295,194,444","-4,653,055,554"
9/30/2018,19.417475, BRAGANCA PAULISTA, A753,"-2,295,194,444","-4,653,055,554"
10/31/2018,20.254839, BRAGANCA PAULISTA, A754,"-2,295,194,444","-4,653,055,554"
11/30/2018,20.808271, BRAGANCA PAULISTA, A755,"-2,295,194,444","-4,653,055,554"
12/31/2018,22.833883, BRAGANCA PAULISTA, A756,"-2,295,194,444","-4,653,055,554"
1/31/2019,24.156452, BRAGANCA PAULISTA, A757,"-2,295,194,444","-4,653,055,554"
2/28/2019,22.6136, BRAGANCA PAULISTA, A758,"-2,295,194,444","-4,653,055,554"
3/31/2019,22.139382, BRAGANCA PAULISTA, A759,"-2,295,194,444","-4,653,055,554"
4/30/2019,21.616111, BRAGANCA PAULISTA, A760,"-2,295,194,444","-4,653,055,554"
5/31/2019,19.717361, BRAGANCA PAULISTA, A761,"-2,295,194,444","-4,653,055,554"
6/30/2019,18.034861, BRAGANCA PAULISTA, A762,"-2,295,194,444","-4,653,055,554"
7/31/2019,16.262634, BRAGANCA PAULISTA, A763,"-2,295,194,444","-4,653,055,554"
8/31/2019,null, BRAGANCA PAULISTA, A764,"-2,295,194,444","-4,653,055,554"
9/30/2019,null, BRAGANCA PAULISTA, A765,"-2,295,194,444","-4,653,055,554"
10/31/2019,null, BRAGANCA PAULISTA, A766,"-2,295,194,444","-4,653,055,554"
11/30/2019,21.543998, BRAGANCA PAULISTA, A767,"-2,295,194,444","-4,653,055,554"
