Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
10/31/2017,null, CACHOEIRA PAULISTA, A769,"-2,268,888,888","-4,500,555,555"
11/30/2017,22.121061, CACHOEIRA PAULISTA, A770,"-2,268,888,888","-4,500,555,555"
12/31/2017,23.715507, CACHOEIRA PAULISTA, A771,"-2,268,888,888","-4,500,555,555"
1/31/2018,23.372651, CACHOEIRA PAULISTA, A772,"-2,268,888,888","-4,500,555,555"
2/28/2018,23.046875, CACHOEIRA PAULISTA, A773,"-2,268,888,888","-4,500,555,555"
3/31/2018,24.070528, CACHOEIRA PAULISTA, A774,"-2,268,888,888","-4,500,555,555"
4/30/2018,21.496667, CACHOEIRA PAULISTA, A775,"-2,268,888,888","-4,500,555,555"
5/31/2018,18.996884, CACHOEIRA PAULISTA, A776,"-2,268,888,888","-4,500,555,555"
6/30/2018,18.695863, CACHOEIRA PAULISTA, A777,"-2,268,888,888","-4,500,555,555"
7/31/2018,18.108468, CACHOEIRA PAULISTA, A778,"-2,268,888,888","-4,500,555,555"
8/31/2018,18.524731, CACHOEIRA PAULISTA, A779,"-2,268,888,888","-4,500,555,555"
9/30/2018,20.956465, CACHOEIRA PAULISTA, A780,"-2,268,888,888","-4,500,555,555"
10/31/2018,21.809946, CACHOEIRA PAULISTA, A781,"-2,268,888,888","-4,500,555,555"
11/30/2018,22.455694, CACHOEIRA PAULISTA, A782,"-2,268,888,888","-4,500,555,555"
12/31/2018,23.81707, CACHOEIRA PAULISTA, A783,"-2,268,888,888","-4,500,555,555"
1/31/2019,25.083199, CACHOEIRA PAULISTA, A784,"-2,268,888,888","-4,500,555,555"
2/28/2019,23.941667, CACHOEIRA PAULISTA, A785,"-2,268,888,888","-4,500,555,555"
3/31/2019,23.197446, CACHOEIRA PAULISTA, A786,"-2,268,888,888","-4,500,555,555"
4/30/2019,22.785694, CACHOEIRA PAULISTA, A787,"-2,268,888,888","-4,500,555,555"
5/31/2019,20.740323, CACHOEIRA PAULISTA, A788,"-2,268,888,888","-4,500,555,555"
6/30/2019,18.366528, CACHOEIRA PAULISTA, A789,"-2,268,888,888","-4,500,555,555"
7/31/2019,16.565591, CACHOEIRA PAULISTA, A790,"-2,268,888,888","-4,500,555,555"
8/31/2019,17.94945, CACHOEIRA PAULISTA, A791,"-2,268,888,888","-4,500,555,555"
9/30/2019,21.245556, CACHOEIRA PAULISTA, A792,"-2,268,888,888","-4,500,555,555"
10/31/2019,23.078763, CACHOEIRA PAULISTA, A793,"-2,268,888,888","-4,500,555,555"
11/30/2019,22.624861, CACHOEIRA PAULISTA, A794,"-2,268,888,888","-4,500,555,555"
12/31/2019,23.462903, CACHOEIRA PAULISTA, A795,"-2,268,888,888","-4,500,555,555"
1/31/2020,23.88871, CACHOEIRA PAULISTA, A796,"-2,268,888,888","-4,500,555,555"
2/29/2020,23.065805, CACHOEIRA PAULISTA, A797,"-2,268,888,888","-4,500,555,555"
3/31/2020,22.201882, CACHOEIRA PAULISTA, A798,"-2,268,888,888","-4,500,555,555"
4/30/2020,20.774444, CACHOEIRA PAULISTA, A799,"-2,268,888,888","-4,500,555,555"
5/31/2020,17.960484, CACHOEIRA PAULISTA, A800,"-2,268,888,888","-4,500,555,555"
6/30/2020,19.265139, CACHOEIRA PAULISTA, A801,"-2,268,888,888","-4,500,555,555"
7/31/2020,18.648118, CACHOEIRA PAULISTA, A802,"-2,268,888,888","-4,500,555,555"
8/31/2020,18.480242, CACHOEIRA PAULISTA, A803,"-2,268,888,888","-4,500,555,555"
9/30/2020,23.29625, CACHOEIRA PAULISTA, A804,"-2,268,888,888","-4,500,555,555"
10/31/2020,23.433179, CACHOEIRA PAULISTA, A805,"-2,268,888,888","-4,500,555,555"
