Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,16.499866, CAMPOS DO JORDAO, A706,"-2,275,027,777","-4,560,388,888"
2/28/2013,17.172024, CAMPOS DO JORDAO, A707,"-2,275,027,777","-4,560,388,888"
3/31/2013,16.716267, CAMPOS DO JORDAO, A708,"-2,275,027,777","-4,560,388,888"
4/30/2013,14.185556, CAMPOS DO JORDAO, A709,"-2,275,027,777","-4,560,388,888"
5/31/2013,12.700403, CAMPOS DO JORDAO, A710,"-2,275,027,777","-4,560,388,888"
6/30/2013,12.711383, CAMPOS DO JORDAO, A711,"-2,275,027,777","-4,560,388,888"
7/31/2013,11.381978, CAMPOS DO JORDAO, A712,"-2,275,027,777","-4,560,388,888"
8/31/2013,12.401478, CAMPOS DO JORDAO, A713,"-2,275,027,777","-4,560,388,888"
9/30/2013,14.033194, CAMPOS DO JORDAO, A714,"-2,275,027,777","-4,560,388,888"
10/31/2013,14.481855, CAMPOS DO JORDAO, A715,"-2,275,027,777","-4,560,388,888"
11/30/2013,15.987083, CAMPOS DO JORDAO, A716,"-2,275,027,777","-4,560,388,888"
12/31/2013,17.274328, CAMPOS DO JORDAO, A717,"-2,275,027,777","-4,560,388,888"
1/31/2014,18.47621, CAMPOS DO JORDAO, A718,"-2,275,027,777","-4,560,388,888"
2/28/2014,18.295387, CAMPOS DO JORDAO, A719,"-2,275,027,777","-4,560,388,888"
3/31/2014,16.916667, CAMPOS DO JORDAO, A720,"-2,275,027,777","-4,560,388,888"
4/30/2014,15.156087, CAMPOS DO JORDAO, A721,"-2,275,027,777","-4,560,388,888"
5/31/2014,12.550719, CAMPOS DO JORDAO, A722,"-2,275,027,777","-4,560,388,888"
6/30/2014,12.732222, CAMPOS DO JORDAO, A723,"-2,275,027,777","-4,560,388,888"
7/31/2014,10.977554, CAMPOS DO JORDAO, A724,"-2,275,027,777","-4,560,388,888"
8/31/2014,12.786156, CAMPOS DO JORDAO, A725,"-2,275,027,777","-4,560,388,888"
9/30/2014,15.225139, CAMPOS DO JORDAO, A726,"-2,275,027,777","-4,560,388,888"
10/31/2014,15.833088, CAMPOS DO JORDAO, A727,"-2,275,027,777","-4,560,388,888"
11/30/2014,16.358333, CAMPOS DO JORDAO, A728,"-2,275,027,777","-4,560,388,888"
12/31/2014,17.433065, CAMPOS DO JORDAO, A729,"-2,275,027,777","-4,560,388,888"
1/31/2015,18.905107, CAMPOS DO JORDAO, A730,"-2,275,027,777","-4,560,388,888"
2/28/2015,17.285119, CAMPOS DO JORDAO, A731,"-2,275,027,777","-4,560,388,888"
3/31/2015,16.55, CAMPOS DO JORDAO, A732,"-2,275,027,777","-4,560,388,888"
4/30/2015,15.48375, CAMPOS DO JORDAO, A733,"-2,275,027,777","-4,560,388,888"
5/31/2015,12.747715, CAMPOS DO JORDAO, A734,"-2,275,027,777","-4,560,388,888"
6/30/2015,12.213472, CAMPOS DO JORDAO, A735,"-2,275,027,777","-4,560,388,888"
7/31/2015,12.844074, CAMPOS DO JORDAO, A736,"-2,275,027,777","-4,560,388,888"
8/31/2015,12.968683, CAMPOS DO JORDAO, A737,"-2,275,027,777","-4,560,388,888"
9/30/2015,15.826667, CAMPOS DO JORDAO, A738,"-2,275,027,777","-4,560,388,888"
10/31/2015,17.830914, CAMPOS DO JORDAO, A739,"-2,275,027,777","-4,560,388,888"
