Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,22.79949, CASA BRANCA, A738,"-2,178,055,554","-4,707,527,777"
2/28/2013,23.528034, CASA BRANCA, A739,"-2,178,055,554","-4,707,527,777"
3/31/2013,23.093245, CASA BRANCA, A740,"-2,178,055,554","-4,707,527,777"
4/30/2013,20.924774, CASA BRANCA, A741,"-2,178,055,554","-4,707,527,777"
5/31/2013,20.05305, CASA BRANCA, A742,"-2,178,055,554","-4,707,527,777"
6/30/2013,19.245603, CASA BRANCA, A743,"-2,178,055,554","-4,707,527,777"
7/31/2013,17.82244, CASA BRANCA, A744,"-2,178,055,554","-4,707,527,777"
8/31/2013,19.595161, CASA BRANCA, A745,"-2,178,055,554","-4,707,527,777"
9/30/2013,21.442593, CASA BRANCA, A746,"-2,178,055,554","-4,707,527,777"
10/31/2013,21.843414, CASA BRANCA, A747,"-2,178,055,554","-4,707,527,777"
11/30/2013,23.189861, CASA BRANCA, A748,"-2,178,055,554","-4,707,527,777"
12/31/2013,23.865995, CASA BRANCA, A749,"-2,178,055,554","-4,707,527,777"
1/31/2014,25.342339, CASA BRANCA, A750,"-2,178,055,554","-4,707,527,777"
2/28/2014,null, CASA BRANCA, A751,"-2,178,055,554","-4,707,527,777"
3/31/2014,null, CASA BRANCA, A752,"-2,178,055,554","-4,707,527,777"
4/30/2014,22.128333, CASA BRANCA, A753,"-2,178,055,554","-4,707,527,777"
5/31/2014,19.822581, CASA BRANCA, A754,"-2,178,055,554","-4,707,527,777"
6/30/2014,19.731667, CASA BRANCA, A755,"-2,178,055,554","-4,707,527,777"
7/31/2014,18.59879, CASA BRANCA, A756,"-2,178,055,554","-4,707,527,777"
8/31/2014,20.889113, CASA BRANCA, A757,"-2,178,055,554","-4,707,527,777"
9/30/2014,22.767917, CASA BRANCA, A758,"-2,178,055,554","-4,707,527,777"
10/31/2014,24.610618, CASA BRANCA, A759,"-2,178,055,554","-4,707,527,777"
11/30/2014,23.266944, CASA BRANCA, A760,"-2,178,055,554","-4,707,527,777"
12/31/2014,23.637231, CASA BRANCA, A761,"-2,178,055,554","-4,707,527,777"
1/31/2015,25.80419, CASA BRANCA, A762,"-2,178,055,554","-4,707,527,777"
2/28/2015,23.656548, CASA BRANCA, A763,"-2,178,055,554","-4,707,527,777"
3/31/2015,22.503226, CASA BRANCA, A764,"-2,178,055,554","-4,707,527,777"
4/30/2015,22.290417, CASA BRANCA, A765,"-2,178,055,554","-4,707,527,777"
5/31/2015,19.515811, CASA BRANCA, A766,"-2,178,055,554","-4,707,527,777"
6/30/2015,19.297361, CASA BRANCA, A767,"-2,178,055,554","-4,707,527,777"
7/31/2015,null, CASA BRANCA, A768,"-2,178,055,554","-4,707,527,777"
8/31/2015,20.910133, CASA BRANCA, A769,"-2,178,055,554","-4,707,527,777"
9/30/2015,22.870139, CASA BRANCA, A770,"-2,178,055,554","-4,707,527,777"
10/31/2015,25.065457, CASA BRANCA, A771,"-2,178,055,554","-4,707,527,777"
11/30/2015,23.658333, CASA BRANCA, A772,"-2,178,055,554","-4,707,527,777"
12/31/2015,23.804167, CASA BRANCA, A773,"-2,178,055,554","-4,707,527,777"
1/31/2016,23.804973, CASA BRANCA, A774,"-2,178,055,554","-4,707,527,777"
2/29/2016,24.763649, CASA BRANCA, A775,"-2,178,055,554","-4,707,527,777"
3/31/2016,23.71828, CASA BRANCA, A776,"-2,178,055,554","-4,707,527,777"
4/30/2016,24.000556, CASA BRANCA, A777,"-2,178,055,554","-4,707,527,777"
5/31/2016,19.522581, CASA BRANCA, A778,"-2,178,055,554","-4,707,527,777"
6/30/2016,17.364028, CASA BRANCA, A779,"-2,178,055,554","-4,707,527,777"
7/31/2016,19.205107, CASA BRANCA, A780,"-2,178,055,554","-4,707,527,777"
8/31/2016,20.17957, CASA BRANCA, A781,"-2,178,055,554","-4,707,527,777"
9/30/2016,21.886389, CASA BRANCA, A782,"-2,178,055,554","-4,707,527,777"
10/31/2016,22.637231, CASA BRANCA, A783,"-2,178,055,554","-4,707,527,777"
11/30/2016,22.562361, CASA BRANCA, A784,"-2,178,055,554","-4,707,527,777"
12/31/2016,23.908737, CASA BRANCA, A785,"-2,178,055,554","-4,707,527,777"
1/31/2017,23.755376, CASA BRANCA, A786,"-2,178,055,554","-4,707,527,777"
2/28/2017,24.852381, CASA BRANCA, A787,"-2,178,055,554","-4,707,527,777"
3/31/2017,23.393817, CASA BRANCA, A788,"-2,178,055,554","-4,707,527,777"
4/30/2017,21.985972, CASA BRANCA, A789,"-2,178,055,554","-4,707,527,777"
5/31/2017,20.090828, CASA BRANCA, A790,"-2,178,055,554","-4,707,527,777"
6/30/2017,19.284201, CASA BRANCA, A791,"-2,178,055,554","-4,707,527,777"
7/31/2017,17.840054, CASA BRANCA, A792,"-2,178,055,554","-4,707,527,777"
8/31/2017,20.124731, CASA BRANCA, A793,"-2,178,055,554","-4,707,527,777"
9/30/2017,23.820556, CASA BRANCA, A794,"-2,178,055,554","-4,707,527,777"
10/31/2017,23.917876, CASA BRANCA, A795,"-2,178,055,554","-4,707,527,777"
11/30/2017,22.8725, CASA BRANCA, A796,"-2,178,055,554","-4,707,527,777"
12/31/2017,23.708333, CASA BRANCA, A797,"-2,178,055,554","-4,707,527,777"
1/31/2018,23.323521, CASA BRANCA, A798,"-2,178,055,554","-4,707,527,777"
2/28/2018,23.3125, CASA BRANCA, A799,"-2,178,055,554","-4,707,527,777"
3/31/2018,24.672446, CASA BRANCA, A800,"-2,178,055,554","-4,707,527,777"
4/30/2018,22.341667, CASA BRANCA, A801,"-2,178,055,554","-4,707,527,777"
5/31/2018,20.324597, CASA BRANCA, A802,"-2,178,055,554","-4,707,527,777"
6/30/2018,20.316389, CASA BRANCA, A803,"-2,178,055,554","-4,707,527,777"
7/31/2018,19.99422, CASA BRANCA, A804,"-2,178,055,554","-4,707,527,777"
8/31/2018,19.096774, CASA BRANCA, A805,"-2,178,055,554","-4,707,527,777"
9/30/2018,21.635833, CASA BRANCA, A806,"-2,178,055,554","-4,707,527,777"
10/31/2018,22.909274, CASA BRANCA, A807,"-2,178,055,554","-4,707,527,777"
11/30/2018,22.755556, CASA BRANCA, A808,"-2,178,055,554","-4,707,527,777"
12/31/2018,24.438038, CASA BRANCA, A809,"-2,178,055,554","-4,707,527,777"
1/31/2019,25.561022, CASA BRANCA, A810,"-2,178,055,554","-4,707,527,777"
2/28/2019,24.256845, CASA BRANCA, A811,"-2,178,055,554","-4,707,527,777"
3/31/2019,23.52379, CASA BRANCA, A812,"-2,178,055,554","-4,707,527,777"
4/30/2019,23.327361, CASA BRANCA, A813,"-2,178,055,554","-4,707,527,777"
