Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
11/30/2016,25.580871, DRACENA, A762,"-2,145,777,777","-5,155,222,222"
12/31/2016,25.735349, DRACENA, A763,"-2,145,777,777","-5,155,222,222"
1/31/2017,25.115054, DRACENA, A764,"-2,145,777,777","-5,155,222,222"
2/28/2017,26.659078, DRACENA, A765,"-2,145,777,777","-5,155,222,222"
3/31/2017,25.634005, DRACENA, A766,"-2,145,777,777","-5,155,222,222"
4/30/2017,23.40625, DRACENA, A767,"-2,145,777,777","-5,155,222,222"
5/31/2017,22.798522, DRACENA, A768,"-2,145,777,777","-5,155,222,222"
6/30/2017,19.998889, DRACENA, A769,"-2,145,777,777","-5,155,222,222"
7/31/2017,19.80578, DRACENA, A770,"-2,145,777,777","-5,155,222,222"
8/31/2017,22.228898, DRACENA, A771,"-2,145,777,777","-5,155,222,222"
9/30/2017,25.948889, DRACENA, A772,"-2,145,777,777","-5,155,222,222"
10/31/2017,24.782258, DRACENA, A773,"-2,145,777,777","-5,155,222,222"
11/30/2017,24.699167, DRACENA, A774,"-2,145,777,777","-5,155,222,222"
12/31/2017,25.668414, DRACENA, A775,"-2,145,777,777","-5,155,222,222"
1/31/2018,25.627285, DRACENA, A776,"-2,145,777,777","-5,155,222,222"
2/28/2018,25.145387, DRACENA, A777,"-2,145,777,777","-5,155,222,222"
3/31/2018,26.517608, DRACENA, A778,"-2,145,777,777","-5,155,222,222"
4/30/2018,24.970833, DRACENA, A779,"-2,145,777,777","-5,155,222,222"
5/31/2018,22.261828, DRACENA, A780,"-2,145,777,777","-5,155,222,222"
6/30/2018,21.516111, DRACENA, A781,"-2,145,777,777","-5,155,222,222"
7/31/2018,22.034543, DRACENA, A782,"-2,145,777,777","-5,155,222,222"
8/31/2018,20.106452, DRACENA, A783,"-2,145,777,777","-5,155,222,222"
9/30/2018,23.477083, DRACENA, A784,"-2,145,777,777","-5,155,222,222"
10/31/2018,25.261022, DRACENA, A785,"-2,145,777,777","-5,155,222,222"
11/30/2018,25.348056, DRACENA, A786,"-2,145,777,777","-5,155,222,222"
12/31/2018,26.57379, DRACENA, A787,"-2,145,777,777","-5,155,222,222"
1/31/2019,27.413844, DRACENA, A788,"-2,145,777,777","-5,155,222,222"
2/28/2019,26.361756, DRACENA, A789,"-2,145,777,777","-5,155,222,222"
3/31/2019,25.572043, DRACENA, A790,"-2,145,777,777","-5,155,222,222"
4/30/2019,25.085139, DRACENA, A791,"-2,145,777,777","-5,155,222,222"
5/31/2019,22.937769, DRACENA, A792,"-2,145,777,777","-5,155,222,222"
6/30/2019,21.978056, DRACENA, A793,"-2,145,777,777","-5,155,222,222"
7/31/2019,20.456586, DRACENA, A794,"-2,145,777,777","-5,155,222,222"
8/31/2019,21.703472, DRACENA, A795,"-2,145,777,777","-5,155,222,222"
9/30/2019,25.543889, DRACENA, A796,"-2,145,777,777","-5,155,222,222"
10/31/2019,27.104839, DRACENA, A797,"-2,145,777,777","-5,155,222,222"
11/30/2019,26.866528, DRACENA, A798,"-2,145,777,777","-5,155,222,222"
12/31/2019,25.872066, DRACENA, A799,"-2,145,777,777","-5,155,222,222"
1/31/2020,26.756945, DRACENA, A800,"-2,145,777,777","-5,155,222,222"
2/29/2020,25.43204, DRACENA, A801,"-2,145,777,777","-5,155,222,222"
3/31/2020,26.4156, DRACENA, A802,"-2,145,777,777","-5,155,222,222"
4/30/2020,null, DRACENA, A803,"-2,145,777,777","-5,155,222,222"
5/31/2020,null, DRACENA, A804,"-2,145,777,777","-5,155,222,222"
6/30/2020,null, DRACENA, A805,"-2,145,777,777","-5,155,222,222"
7/31/2020,null, DRACENA, A806,"-2,145,777,777","-5,155,222,222"
8/31/2020,null, DRACENA, A807,"-2,145,777,777","-5,155,222,222"
9/30/2020,null, DRACENA, A808,"-2,145,777,777","-5,155,222,222"
10/31/2020,null, DRACENA, A809,"-2,145,777,777","-5,155,222,222"
11/30/2020,26.494028, DRACENA, A810,"-2,145,777,777","-5,155,222,222"
12/31/2020,26.145027, DRACENA, A811,"-2,145,777,777","-5,155,222,222"
