Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,22.357661, FRANCA, A708,"-2,058,444,444","-4,738,249,999"
2/28/2013,22.418304, FRANCA, A709,"-2,058,444,444","-4,738,249,999"
3/31/2013,22.152155, FRANCA, A710,"-2,058,444,444","-4,738,249,999"
4/30/2013,20.327639, FRANCA, A711,"-2,058,444,444","-4,738,249,999"
5/31/2013,19.786828, FRANCA, A712,"-2,058,444,444","-4,738,249,999"
6/30/2013,19.582412, FRANCA, A713,"-2,058,444,444","-4,738,249,999"
7/31/2013,18.328889, FRANCA, A714,"-2,058,444,444","-4,738,249,999"
8/31/2013,20.104306, FRANCA, A715,"-2,058,444,444","-4,738,249,999"
9/30/2013,21.29, FRANCA, A716,"-2,058,444,444","-4,738,249,999"
10/31/2013,21.453091, FRANCA, A717,"-2,058,444,444","-4,738,249,999"
11/30/2013,21.891806, FRANCA, A718,"-2,058,444,444","-4,738,249,999"
12/31/2013,22.769355, FRANCA, A719,"-2,058,444,444","-4,738,249,999"
1/31/2014,23.777554, FRANCA, A720,"-2,058,444,444","-4,738,249,999"
2/28/2014,24.19375, FRANCA, A721,"-2,058,444,444","-4,738,249,999"
3/31/2014,22.624194, FRANCA, A722,"-2,058,444,444","-4,738,249,999"
4/30/2014,21.482917, FRANCA, A723,"-2,058,444,444","-4,738,249,999"
5/31/2014,19.610618, FRANCA, A724,"-2,058,444,444","-4,738,249,999"
6/30/2014,19.622083, FRANCA, A725,"-2,058,444,444","-4,738,249,999"
7/31/2014,18.44207, FRANCA, A726,"-2,058,444,444","-4,738,249,999"
8/31/2014,21.606183, FRANCA, A727,"-2,058,444,444","-4,738,249,999"
9/30/2014,22.960556, FRANCA, A728,"-2,058,444,444","-4,738,249,999"
10/31/2014,24.156989, FRANCA, A729,"-2,058,444,444","-4,738,249,999"
11/30/2014,22.523333, FRANCA, A730,"-2,058,444,444","-4,738,249,999"
12/31/2014,22.450806, FRANCA, A731,"-2,058,444,444","-4,738,249,999"
1/31/2015,24.925403, FRANCA, A732,"-2,058,444,444","-4,738,249,999"
2/28/2015,22.593006, FRANCA, A733,"-2,058,444,444","-4,738,249,999"
3/31/2015,21.593817, FRANCA, A734,"-2,058,444,444","-4,738,249,999"
