Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,23.677688, IBITINGA, A737,"-2,185,555,555","-4,879,972,221"
2/28/2013,24.340327, IBITINGA, A738,"-2,185,555,555","-4,879,972,221"
3/31/2013,23.682459, IBITINGA, A739,"-2,185,555,555","-4,879,972,221"
4/30/2013,21.550278, IBITINGA, A740,"-2,185,555,555","-4,879,972,221"
5/31/2013,20.116801, IBITINGA, A741,"-2,185,555,555","-4,879,972,221"
6/30/2013,19.312643, IBITINGA, A742,"-2,185,555,555","-4,879,972,221"
7/31/2013,17.710081, IBITINGA, A743,"-2,185,555,555","-4,879,972,221"
8/31/2013,19.350941, IBITINGA, A744,"-2,185,555,555","-4,879,972,221"
9/30/2013,21.944028, IBITINGA, A745,"-2,185,555,555","-4,879,972,221"
10/31/2013,22.253261, IBITINGA, A746,"-2,185,555,555","-4,879,972,221"
11/30/2013,null, IBITINGA, A747,"-2,185,555,555","-4,879,972,221"
12/31/2013,25.01129, IBITINGA, A748,"-2,185,555,555","-4,879,972,221"
1/31/2014,25.925807, IBITINGA, A749,"-2,185,555,555","-4,879,972,221"
2/28/2014,25.963542, IBITINGA, A750,"-2,185,555,555","-4,879,972,221"
3/31/2014,24.401613, IBITINGA, A751,"-2,185,555,555","-4,879,972,221"
4/30/2014,22.816111, IBITINGA, A752,"-2,185,555,555","-4,879,972,221"
5/31/2014,20.178495, IBITINGA, A753,"-2,185,555,555","-4,879,972,221"
6/30/2014,19.896111, IBITINGA, A754,"-2,185,555,555","-4,879,972,221"
7/31/2014,18.673253, IBITINGA, A755,"-2,185,555,555","-4,879,972,221"
8/31/2014,21.422829, IBITINGA, A756,"-2,185,555,555","-4,879,972,221"
9/30/2014,23.21726, IBITINGA, A757,"-2,185,555,555","-4,879,972,221"
10/31/2014,24.780645, IBITINGA, A758,"-2,185,555,555","-4,879,972,221"
11/30/2014,23.977083, IBITINGA, A759,"-2,185,555,555","-4,879,972,221"
12/31/2014,24.625403, IBITINGA, A760,"-2,185,555,555","-4,879,972,221"
1/31/2015,26.570576, IBITINGA, A761,"-2,185,555,555","-4,879,972,221"
2/28/2015,24.56875, IBITINGA, A762,"-2,185,555,555","-4,879,972,221"
3/31/2015,23.356989, IBITINGA, A763,"-2,185,555,555","-4,879,972,221"
