Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,24.045161, IGUAPE, A712,"-2,467,166,666","-4,754,583,333"
2/28/2013,25.210714, IGUAPE, A713,"-2,467,166,666","-4,754,583,333"
3/31/2013,24.129885, IGUAPE, A714,"-2,467,166,666","-4,754,583,333"
4/30/2013,21.377778, IGUAPE, A715,"-2,467,166,666","-4,754,583,333"
5/31/2013,19.593338, IGUAPE, A716,"-2,467,166,666","-4,754,583,333"
6/30/2013,18.944104, IGUAPE, A717,"-2,467,166,666","-4,754,583,333"
7/31/2013,16.146102, IGUAPE, A718,"-2,467,166,666","-4,754,583,333"
8/31/2013,16.608006, IGUAPE, A719,"-2,467,166,666","-4,754,583,333"
9/30/2013,18.2, IGUAPE, A720,"-2,467,166,666","-4,754,583,333"
10/31/2013,20.748387, IGUAPE, A721,"-2,467,166,666","-4,754,583,333"
11/30/2013,22.317639, IGUAPE, A722,"-2,467,166,666","-4,754,583,333"
12/31/2013,24.184559, IGUAPE, A723,"-2,467,166,666","-4,754,583,333"
1/31/2014,null, IGUAPE, A724,"-2,467,166,666","-4,754,583,333"
2/28/2014,null, IGUAPE, A725,"-2,467,166,666","-4,754,583,333"
3/31/2014,null, IGUAPE, A726,"-2,467,166,666","-4,754,583,333"
4/30/2014,22.413472, IGUAPE, A727,"-2,467,166,666","-4,754,583,333"
5/31/2014,19.934105, IGUAPE, A728,"-2,467,166,666","-4,754,583,333"
6/30/2014,19.064837, IGUAPE, A729,"-2,467,166,666","-4,754,583,333"
7/31/2014,17.444103, IGUAPE, A730,"-2,467,166,666","-4,754,583,333"
8/31/2014,18.357796, IGUAPE, A731,"-2,467,166,666","-4,754,583,333"
9/30/2014,20.538889, IGUAPE, A732,"-2,467,166,666","-4,754,583,333"
10/31/2014,21.617607, IGUAPE, A733,"-2,467,166,666","-4,754,583,333"
11/30/2014,22.897222, IGUAPE, A734,"-2,467,166,666","-4,754,583,333"
12/31/2014,24.954839, IGUAPE, A735,"-2,467,166,666","-4,754,583,333"
1/31/2015,26.677957, IGUAPE, A736,"-2,467,166,666","-4,754,583,333"
2/28/2015,25.36756, IGUAPE, A737,"-2,467,166,666","-4,754,583,333"
3/31/2015,24.075672, IGUAPE, A738,"-2,467,166,666","-4,754,583,333"
4/30/2015,22.460694, IGUAPE, A739,"-2,467,166,666","-4,754,583,333"
5/31/2015,20.183199, IGUAPE, A740,"-2,467,166,666","-4,754,583,333"
6/30/2015,18.868056, IGUAPE, A741,"-2,467,166,666","-4,754,583,333"
7/31/2015,18.75793, IGUAPE, A742,"-2,467,166,666","-4,754,583,333"
8/31/2015,19.67164, IGUAPE, A743,"-2,467,166,666","-4,754,583,333"
9/30/2015,null, IGUAPE, A744,"-2,467,166,666","-4,754,583,333"
10/31/2015,null, IGUAPE, A745,"-2,467,166,666","-4,754,583,333"
11/30/2015,23.012222, IGUAPE, A746,"-2,467,166,666","-4,754,583,333"
12/31/2015,25.453091, IGUAPE, A747,"-2,467,166,666","-4,754,583,333"
1/31/2016,24.907258, IGUAPE, A748,"-2,467,166,666","-4,754,583,333"
2/29/2016,26.281322, IGUAPE, A749,"-2,467,166,666","-4,754,583,333"
3/31/2016,24.830511, IGUAPE, A750,"-2,467,166,666","-4,754,583,333"
4/30/2016,24.461111, IGUAPE, A751,"-2,467,166,666","-4,754,583,333"
5/31/2016,19.205376, IGUAPE, A752,"-2,467,166,666","-4,754,583,333"
6/30/2016,14.660833, IGUAPE, A753,"-2,467,166,666","-4,754,583,333"
7/31/2016,16.532527, IGUAPE, A754,"-2,467,166,666","-4,754,583,333"
8/31/2016,17.636828, IGUAPE, A755,"-2,467,166,666","-4,754,583,333"
9/30/2016,19.0375, IGUAPE, A756,"-2,467,166,666","-4,754,583,333"
10/31/2016,21.106977, IGUAPE, A757,"-2,467,166,666","-4,754,583,333"
11/30/2016,21.898889, IGUAPE, A758,"-2,467,166,666","-4,754,583,333"
12/31/2016,24.356855, IGUAPE, A759,"-2,467,166,666","-4,754,583,333"
1/31/2017,26.002083, IGUAPE, A760,"-2,467,166,666","-4,754,583,333"
2/28/2017,null, IGUAPE, A761,"-2,467,166,666","-4,754,583,333"
3/31/2017,22.824219, IGUAPE, A762,"-2,467,166,666","-4,754,583,333"
4/30/2017,22.098472, IGUAPE, A763,"-2,467,166,666","-4,754,583,333"
5/31/2017,20.633602, IGUAPE, A764,"-2,467,166,666","-4,754,583,333"
6/30/2017,18.430278, IGUAPE, A765,"-2,467,166,666","-4,754,583,333"
7/31/2017,17.245296, IGUAPE, A766,"-2,467,166,666","-4,754,583,333"
8/31/2017,18.479301, IGUAPE, A767,"-2,467,166,666","-4,754,583,333"
9/30/2017,20.908611, IGUAPE, A768,"-2,467,166,666","-4,754,583,333"
10/31/2017,22.20215, IGUAPE, A769,"-2,467,166,666","-4,754,583,333"
11/30/2017,21.985, IGUAPE, A770,"-2,467,166,666","-4,754,583,333"
12/31/2017,24.106048, IGUAPE, A771,"-2,467,166,666","-4,754,583,333"
1/31/2018,25.343145, IGUAPE, A772,"-2,467,166,666","-4,754,583,333"
2/28/2018,24.221131, IGUAPE, A773,"-2,467,166,666","-4,754,583,333"
3/31/2018,25.014919, IGUAPE, A774,"-2,467,166,666","-4,754,583,333"
4/30/2018,22.715278, IGUAPE, A775,"-2,467,166,666","-4,754,583,333"
5/31/2018,20.479032, IGUAPE, A776,"-2,467,166,666","-4,754,583,333"
6/30/2018,18.499306, IGUAPE, A777,"-2,467,166,666","-4,754,583,333"
7/31/2018,18.036425, IGUAPE, A778,"-2,467,166,666","-4,754,583,333"
8/31/2018,17.242742, IGUAPE, A779,"-2,467,166,666","-4,754,583,333"
9/30/2018,20.366528, IGUAPE, A780,"-2,467,166,666","-4,754,583,333"
10/31/2018,21.479032, IGUAPE, A781,"-2,467,166,666","-4,754,583,333"
11/30/2018,null, IGUAPE, A782,"-2,467,166,666","-4,754,583,333"
12/31/2018,25.060632, IGUAPE, A783,"-2,467,166,666","-4,754,583,333"
1/31/2019,27.266532, IGUAPE, A784,"-2,467,166,666","-4,754,583,333"
2/28/2019,24.904762, IGUAPE, A785,"-2,467,166,666","-4,754,583,333"
3/31/2019,24.680511, IGUAPE, A786,"-2,467,166,666","-4,754,583,333"
4/30/2019,23.181945, IGUAPE, A787,"-2,467,166,666","-4,754,583,333"
5/31/2019,21.676479, IGUAPE, A788,"-2,467,166,666","-4,754,583,333"
6/30/2019,19.712639, IGUAPE, A789,"-2,467,166,666","-4,754,583,333"
7/31/2019,17.328898, IGUAPE, A790,"-2,467,166,666","-4,754,583,333"
8/31/2019,17.763978, IGUAPE, A791,"-2,467,166,666","-4,754,583,333"
9/30/2019,19.408611, IGUAPE, A792,"-2,467,166,666","-4,754,583,333"
10/31/2019,22.387231, IGUAPE, A793,"-2,467,166,666","-4,754,583,333"
11/30/2019,22.755, IGUAPE, A794,"-2,467,166,666","-4,754,583,333"
12/31/2019,23.850941, IGUAPE, A795,"-2,467,166,666","-4,754,583,333"
1/31/2020,25.252957, IGUAPE, A796,"-2,467,166,666","-4,754,583,333"
2/29/2020,24.388649, IGUAPE, A797,"-2,467,166,666","-4,754,583,333"
3/31/2020,23.375403, IGUAPE, A798,"-2,467,166,666","-4,754,583,333"
4/30/2020,21.265556, IGUAPE, A799,"-2,467,166,666","-4,754,583,333"
5/31/2020,18.66371, IGUAPE, A800,"-2,467,166,666","-4,754,583,333"
6/30/2020,19.808333, IGUAPE, A801,"-2,467,166,666","-4,754,583,333"
7/31/2020,18.475134, IGUAPE, A802,"-2,467,166,666","-4,754,583,333"
8/31/2020,17.852016, IGUAPE, A803,"-2,467,166,666","-4,754,583,333"
9/30/2020,20.531944, IGUAPE, A804,"-2,467,166,666","-4,754,583,333"
10/31/2020,22.263038, IGUAPE, A805,"-2,467,166,666","-4,754,583,333"
11/30/2020,22.118056, IGUAPE, A806,"-2,467,166,666","-4,754,583,333"
