Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,21.2979, ITAPEVA, A714,"-2,398,194,443","-4,888,583,333"
2/28/2013,22.310844, ITAPEVA, A715,"-2,398,194,443","-4,888,583,333"
3/31/2013,21.171121, ITAPEVA, A716,"-2,398,194,443","-4,888,583,333"
4/30/2013,19.254112, ITAPEVA, A717,"-2,398,194,443","-4,888,583,333"
5/31/2013,17.845699, ITAPEVA, A718,"-2,398,194,443","-4,888,583,333"
6/30/2013,16.321113, ITAPEVA, A719,"-2,398,194,443","-4,888,583,333"
7/31/2013,15.166264, ITAPEVA, A720,"-2,398,194,443","-4,888,583,333"
8/31/2013,16.450304, ITAPEVA, A721,"-2,398,194,443","-4,888,583,333"
9/30/2013,18.116812, ITAPEVA, A722,"-2,398,194,443","-4,888,583,333"
10/31/2013,19.366147, ITAPEVA, A723,"-2,398,194,443","-4,888,583,333"
11/30/2013,21.016636, ITAPEVA, A724,"-2,398,194,443","-4,888,583,333"
12/31/2013,23.139136, ITAPEVA, A725,"-2,398,194,443","-4,888,583,333"
1/31/2014,24.126747, ITAPEVA, A726,"-2,398,194,443","-4,888,583,333"
2/28/2014,24.213691, ITAPEVA, A727,"-2,398,194,443","-4,888,583,333"
3/31/2014,21.903734, ITAPEVA, A728,"-2,398,194,443","-4,888,583,333"
4/30/2014,20.116806, ITAPEVA, A729,"-2,398,194,443","-4,888,583,333"
5/31/2014,17.682796, ITAPEVA, A730,"-2,398,194,443","-4,888,583,333"
6/30/2014,17.025713, ITAPEVA, A731,"-2,398,194,443","-4,888,583,333"
7/31/2014,16.209444, ITAPEVA, A732,"-2,398,194,443","-4,888,583,333"
8/31/2014,17.338844, ITAPEVA, A733,"-2,398,194,443","-4,888,583,333"
9/30/2014,19.070278, ITAPEVA, A734,"-2,398,194,443","-4,888,583,333"
10/31/2014,21.078629, ITAPEVA, A735,"-2,398,194,443","-4,888,583,333"
11/30/2014,20.920278, ITAPEVA, A736,"-2,398,194,443","-4,888,583,333"
12/31/2014,22.346564, ITAPEVA, A737,"-2,398,194,443","-4,888,583,333"
1/31/2015,24.307124, ITAPEVA, A738,"-2,398,194,443","-4,888,583,333"
2/28/2015,22.377083, ITAPEVA, A739,"-2,398,194,443","-4,888,583,333"
3/31/2015,21.443548, ITAPEVA, A740,"-2,398,194,443","-4,888,583,333"
4/30/2015,null, ITAPEVA, A741,"-2,398,194,443","-4,888,583,333"
5/31/2015,null, ITAPEVA, A742,"-2,398,194,443","-4,888,583,333"
6/30/2015,16.757471, ITAPEVA, A743,"-2,398,194,443","-4,888,583,333"
7/31/2015,16.52164, ITAPEVA, A744,"-2,398,194,443","-4,888,583,333"
8/31/2015,19.067876, ITAPEVA, A745,"-2,398,194,443","-4,888,583,333"
9/30/2015,20.065417, ITAPEVA, A746,"-2,398,194,443","-4,888,583,333"
10/31/2015,20.626613, ITAPEVA, A747,"-2,398,194,443","-4,888,583,333"
11/30/2015,20.977639, ITAPEVA, A748,"-2,398,194,443","-4,888,583,333"
12/31/2015,22.34543, ITAPEVA, A749,"-2,398,194,443","-4,888,583,333"
1/31/2016,22.435753, ITAPEVA, A750,"-2,398,194,443","-4,888,583,333"
2/29/2016,23.381753, ITAPEVA, A751,"-2,398,194,443","-4,888,583,333"
3/31/2016,22.20672, ITAPEVA, A752,"-2,398,194,443","-4,888,583,333"
4/30/2016,22.906389, ITAPEVA, A753,"-2,398,194,443","-4,888,583,333"
5/31/2016,16.544758, ITAPEVA, A754,"-2,398,194,443","-4,888,583,333"
6/30/2016,14.169444, ITAPEVA, A755,"-2,398,194,443","-4,888,583,333"
7/31/2016,16.137231, ITAPEVA, A756,"-2,398,194,443","-4,888,583,333"
8/31/2016,16.665965, ITAPEVA, A757,"-2,398,194,443","-4,888,583,333"
9/30/2016,17.544445, ITAPEVA, A758,"-2,398,194,443","-4,888,583,333"
