Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,23.230242, ITAPIRA, A739,"-22,415","-4,680,527,777"
2/28/2013,24.030804, ITAPIRA, A740,"-22,415","-4,680,527,777"
3/31/2013,23.210489, ITAPIRA, A741,"-22,415","-4,680,527,777"
4/30/2013,20.804445, ITAPIRA, A742,"-22,415","-4,680,527,777"
5/31/2013,19.261962, ITAPIRA, A743,"-22,415","-4,680,527,777"
6/30/2013,18.755328, ITAPIRA, A744,"-22,415","-4,680,527,777"
7/31/2013,17.314358, ITAPIRA, A745,"-22,415","-4,680,527,777"
8/31/2013,18.790457, ITAPIRA, A746,"-22,415","-4,680,527,777"
9/30/2013,21.180139, ITAPIRA, A747,"-22,415","-4,680,527,777"
10/31/2013,21.85336, ITAPIRA, A748,"-22,415","-4,680,527,777"
11/30/2013,23.038889, ITAPIRA, A749,"-22,415","-4,680,527,777"
12/31/2013,24.417473, ITAPIRA, A750,"-22,415","-4,680,527,777"
1/31/2014,25.472043, ITAPIRA, A751,"-22,415","-4,680,527,777"
2/28/2014,25.767857, ITAPIRA, A752,"-22,415","-4,680,527,777"
3/31/2014,24.106452, ITAPIRA, A753,"-22,415","-4,680,527,777"
4/30/2014,22.070417, ITAPIRA, A754,"-22,415","-4,680,527,777"
5/31/2014,19.502554, ITAPIRA, A755,"-22,415","-4,680,527,777"
6/30/2014,19.18375, ITAPIRA, A756,"-22,415","-4,680,527,777"
7/31/2014,17.969892, ITAPIRA, A757,"-22,415","-4,680,527,777"
8/31/2014,19.89207, ITAPIRA, A758,"-22,415","-4,680,527,777"
9/30/2014,22.567222, ITAPIRA, A759,"-22,415","-4,680,527,777"
10/31/2014,24.183333, ITAPIRA, A760,"-22,415","-4,680,527,777"
11/30/2014,23.889028, ITAPIRA, A761,"-22,415","-4,680,527,777"
12/31/2014,24.028091, ITAPIRA, A762,"-22,415","-4,680,527,777"
1/31/2015,26.144437, ITAPIRA, A763,"-22,415","-4,680,527,777"
2/28/2015,23.836756, ITAPIRA, A764,"-22,415","-4,680,527,777"
3/31/2015,22.778495, ITAPIRA, A765,"-22,415","-4,680,527,777"
4/30/2015,21.957083, ITAPIRA, A766,"-22,415","-4,680,527,777"
5/31/2015,19.172312, ITAPIRA, A767,"-22,415","-4,680,527,777"
6/30/2015,18.722778, ITAPIRA, A768,"-22,415","-4,680,527,777"
7/31/2015,18.780242, ITAPIRA, A769,"-22,415","-4,680,527,777"
8/31/2015,null, ITAPIRA, A770,"-22,415","-4,680,527,777"
9/30/2015,22.495694, ITAPIRA, A771,"-22,415","-4,680,527,777"
