Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,23.902285, ITUVERAVA, A753,"-2,035,972,222","-4,777,527,777"
2/28/2013,24.042113, ITUVERAVA, A754,"-2,035,972,222","-4,777,527,777"
3/31/2013,23.920546, ITUVERAVA, A755,"-2,035,972,222","-4,777,527,777"
4/30/2013,21.413195, ITUVERAVA, A756,"-2,035,972,222","-4,777,527,777"
5/31/2013,20.231358, ITUVERAVA, A757,"-2,035,972,222","-4,777,527,777"
6/30/2013,20.011616, ITUVERAVA, A758,"-2,035,972,222","-4,777,527,777"
7/31/2013,18.120372, ITUVERAVA, A759,"-2,035,972,222","-4,777,527,777"
8/31/2013,19.790223, ITUVERAVA, A760,"-2,035,972,222","-4,777,527,777"
9/30/2013,22.370417, ITUVERAVA, A761,"-2,035,972,222","-4,777,527,777"
10/31/2013,23.111694, ITUVERAVA, A762,"-2,035,972,222","-4,777,527,777"
11/30/2013,23.689722, ITUVERAVA, A763,"-2,035,972,222","-4,777,527,777"
12/31/2013,24.321505, ITUVERAVA, A764,"-2,035,972,222","-4,777,527,777"
1/31/2014,24.559812, ITUVERAVA, A765,"-2,035,972,222","-4,777,527,777"
2/28/2014,24.48244, ITUVERAVA, A766,"-2,035,972,222","-4,777,527,777"
3/31/2014,23.641608, ITUVERAVA, A767,"-2,035,972,222","-4,777,527,777"
4/30/2014,22.557639, ITUVERAVA, A768,"-2,035,972,222","-4,777,527,777"
5/31/2014,19.439651, ITUVERAVA, A769,"-2,035,972,222","-4,777,527,777"
6/30/2014,19.343798, ITUVERAVA, A770,"-2,035,972,222","-4,777,527,777"
7/31/2014,19.149987, ITUVERAVA, A771,"-2,035,972,222","-4,777,527,777"
8/31/2014,21.341655, ITUVERAVA, A772,"-2,035,972,222","-4,777,527,777"
9/30/2014,24.391806, ITUVERAVA, A773,"-2,035,972,222","-4,777,527,777"
10/31/2014,25.579973, ITUVERAVA, A774,"-2,035,972,222","-4,777,527,777"
11/30/2014,24.307268, ITUVERAVA, A775,"-2,035,972,222","-4,777,527,777"
12/31/2014,null, ITUVERAVA, A776,"-2,035,972,222","-4,777,527,777"
1/31/2015,null, ITUVERAVA, A777,"-2,035,972,222","-4,777,527,777"
2/28/2015,24.072917, ITUVERAVA, A778,"-2,035,972,222","-4,777,527,777"
3/31/2015,22.999059, ITUVERAVA, A779,"-2,035,972,222","-4,777,527,777"
4/30/2015,22.529167, ITUVERAVA, A780,"-2,035,972,222","-4,777,527,777"
5/31/2015,19.981452, ITUVERAVA, A781,"-2,035,972,222","-4,777,527,777"
6/30/2015,19.541944, ITUVERAVA, A782,"-2,035,972,222","-4,777,527,777"
7/31/2015,20.055242, ITUVERAVA, A783,"-2,035,972,222","-4,777,527,777"
8/31/2015,21.078763, ITUVERAVA, A784,"-2,035,972,222","-4,777,527,777"
9/30/2015,23.663333, ITUVERAVA, A785,"-2,035,972,222","-4,777,527,777"
10/31/2015,26.517742, ITUVERAVA, A786,"-2,035,972,222","-4,777,527,777"
11/30/2015,24.477361, ITUVERAVA, A787,"-2,035,972,222","-4,777,527,777"
12/31/2015,24.372984, ITUVERAVA, A788,"-2,035,972,222","-4,777,527,777"
1/31/2016,24.24306, ITUVERAVA, A789,"-2,035,972,222","-4,777,527,777"
2/29/2016,24.543535, ITUVERAVA, A790,"-2,035,972,222","-4,777,527,777"
3/31/2016,24.147043, ITUVERAVA, A791,"-2,035,972,222","-4,777,527,777"
4/30/2016,23.103056, ITUVERAVA, A792,"-2,035,972,222","-4,777,527,777"
5/31/2016,20.095564, ITUVERAVA, A793,"-2,035,972,222","-4,777,527,777"
6/30/2016,18.375, ITUVERAVA, A794,"-2,035,972,222","-4,777,527,777"
7/31/2016,19.076747, ITUVERAVA, A795,"-2,035,972,222","-4,777,527,777"
8/31/2016,20.845968, ITUVERAVA, A796,"-2,035,972,222","-4,777,527,777"
