Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,25.217608, JALES, A733,"-20,165","-5,059,499,999"
2/28/2013,24.880771, JALES, A734,"-20,165","-5,059,499,999"
3/31/2013,24.721408, JALES, A735,"-20,165","-5,059,499,999"
4/30/2013,22.959028, JALES, A736,"-20,165","-5,059,499,999"
5/31/2013,22.621774, JALES, A737,"-20,165","-5,059,499,999"
6/30/2013,22.073889, JALES, A738,"-20,165","-5,059,499,999"
7/31/2013,19.996909, JALES, A739,"-20,165","-5,059,499,999"
8/31/2013,21.390188, JALES, A740,"-20,165","-5,059,499,999"
9/30/2013,23.81875, JALES, A741,"-20,165","-5,059,499,999"
10/31/2013,24.915691, JALES, A742,"-20,165","-5,059,499,999"
11/30/2013,25.385417, JALES, A743,"-20,165","-5,059,499,999"
12/31/2013,25.834274, JALES, A744,"-20,165","-5,059,499,999"
1/31/2014,25.590054, JALES, A745,"-20,165","-5,059,499,999"
2/28/2014,25.804613, JALES, A746,"-20,165","-5,059,499,999"
3/31/2014,24.712056, JALES, A747,"-20,165","-5,059,499,999"
4/30/2014,24.659559, JALES, A748,"-20,165","-5,059,499,999"
5/31/2014,21.746774, JALES, A749,"-20,165","-5,059,499,999"
6/30/2014,21.864891, JALES, A750,"-20,165","-5,059,499,999"
7/31/2014,20.918034, JALES, A751,"-20,165","-5,059,499,999"
8/31/2014,23.802869, JALES, A752,"-20,165","-5,059,499,999"
9/30/2014,25.056667, JALES, A753,"-20,165","-5,059,499,999"
10/31/2014,26.334409, JALES, A754,"-20,165","-5,059,499,999"
11/30/2014,24.567548, JALES, A755,"-20,165","-5,059,499,999"
12/31/2014,25.221657, JALES, A756,"-20,165","-5,059,499,999"
1/31/2015,26.932542, JALES, A757,"-20,165","-5,059,499,999"
2/28/2015,25.217262, JALES, A758,"-20,165","-5,059,499,999"
3/31/2015,24.259677, JALES, A759,"-20,165","-5,059,499,999"
4/30/2015,24.734028, JALES, A760,"-20,165","-5,059,499,999"
5/31/2015,21.623521, JALES, A761,"-20,165","-5,059,499,999"
6/30/2015,21.26875, JALES, A762,"-20,165","-5,059,499,999"
7/31/2015,21.460566, JALES, A763,"-20,165","-5,059,499,999"
8/31/2015,23.464423, JALES, A764,"-20,165","-5,059,499,999"
9/30/2015,25.412639, JALES, A765,"-20,165","-5,059,499,999"
10/31/2015,26.786962, JALES, A766,"-20,165","-5,059,499,999"
11/30/2015,25.710417, JALES, A767,"-20,165","-5,059,499,999"
12/31/2015,25.537097, JALES, A768,"-20,165","-5,059,499,999"
1/31/2016,24.874638, JALES, A769,"-20,165","-5,059,499,999"
2/29/2016,26.161761, JALES, A770,"-20,165","-5,059,499,999"
3/31/2016,25.769624, JALES, A771,"-20,165","-5,059,499,999"
4/30/2016,null, JALES, A772,"-20,165","-5,059,499,999"
5/31/2016,null, JALES, A773,"-20,165","-5,059,499,999"
6/30/2016,null, JALES, A774,"-20,165","-5,059,499,999"
7/31/2016,21.579363, JALES, A775,"-20,165","-5,059,499,999"
8/31/2016,22.57043, JALES, A776,"-20,165","-5,059,499,999"
9/30/2016,23.429722, JALES, A777,"-20,165","-5,059,499,999"
10/31/2016,24.919489, JALES, A778,"-20,165","-5,059,499,999"
11/30/2016,25.174028, JALES, A779,"-20,165","-5,059,499,999"
12/31/2016,25.260753, JALES, A780,"-20,165","-5,059,499,999"
1/31/2017,24.381586, JALES, A781,"-20,165","-5,059,499,999"
2/28/2017,25.989583, JALES, A782,"-20,165","-5,059,499,999"
3/31/2017,25.296237, JALES, A783,"-20,165","-5,059,499,999"
4/30/2017,23.614444, JALES, A784,"-20,165","-5,059,499,999"
5/31/2017,23.176747, JALES, A785,"-20,165","-5,059,499,999"
6/30/2017,20.535833, JALES, A786,"-20,165","-5,059,499,999"
7/31/2017,19.995565, JALES, A787,"-20,165","-5,059,499,999"
8/31/2017,22.986828, JALES, A788,"-20,165","-5,059,499,999"
9/30/2017,26.358714, JALES, A789,"-20,165","-5,059,499,999"
10/31/2017,25.943414, JALES, A790,"-20,165","-5,059,499,999"
11/30/2017,24.62375, JALES, A791,"-20,165","-5,059,499,999"
12/31/2017,24.85793, JALES, A792,"-20,165","-5,059,499,999"
1/31/2018,25.116398, JALES, A793,"-20,165","-5,059,499,999"
2/28/2018,24.635268, JALES, A794,"-20,165","-5,059,499,999"
3/31/2018,26.266667, JALES, A795,"-20,165","-5,059,499,999"
4/30/2018,24.271944, JALES, A796,"-20,165","-5,059,499,999"
5/31/2018,null, JALES, A797,"-20,165","-5,059,499,999"
6/30/2018,null, JALES, A798,"-20,165","-5,059,499,999"
7/31/2018,22.356183, JALES, A799,"-20,165","-5,059,499,999"
8/31/2018,21.794892, JALES, A800,"-20,165","-5,059,499,999"
9/30/2018,24.395278, JALES, A801,"-20,165","-5,059,499,999"
10/31/2018,25.667608, JALES, A802,"-20,165","-5,059,499,999"
