Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,25.015591, JOSE BONIFACIO, A735,"-2,108,555,555","-4,992,027,777"
2/28/2013,25.03378, JOSE BONIFACIO, A736,"-2,108,555,555","-4,992,027,777"
3/31/2013,24.878161, JOSE BONIFACIO, A737,"-2,108,555,555","-4,992,027,777"
4/30/2013,22.428056, JOSE BONIFACIO, A738,"-2,108,555,555","-4,992,027,777"
5/31/2013,21.160215, JOSE BONIFACIO, A739,"-2,108,555,555","-4,992,027,777"
6/30/2013,21.041376, JOSE BONIFACIO, A740,"-2,108,555,555","-4,992,027,777"
7/31/2013,18.90121, JOSE BONIFACIO, A741,"-2,108,555,555","-4,992,027,777"
8/31/2013,20.082258, JOSE BONIFACIO, A742,"-2,108,555,555","-4,992,027,777"
9/30/2013,23.048194, JOSE BONIFACIO, A743,"-2,108,555,555","-4,992,027,777"
10/31/2013,24.190054, JOSE BONIFACIO, A744,"-2,108,555,555","-4,992,027,777"
11/30/2013,25.246806, JOSE BONIFACIO, A745,"-2,108,555,555","-4,992,027,777"
12/31/2013,26.07957, JOSE BONIFACIO, A746,"-2,108,555,555","-4,992,027,777"
1/31/2014,26.081989, JOSE BONIFACIO, A747,"-2,108,555,555","-4,992,027,777"
2/28/2014,26.222024, JOSE BONIFACIO, A748,"-2,108,555,555","-4,992,027,777"
3/31/2014,24.850806, JOSE BONIFACIO, A749,"-2,108,555,555","-4,992,027,777"
4/30/2014,24.072222, JOSE BONIFACIO, A750,"-2,108,555,555","-4,992,027,777"
5/31/2014,20.587097, JOSE BONIFACIO, A751,"-2,108,555,555","-4,992,027,777"
6/30/2014,20.559445, JOSE BONIFACIO, A752,"-2,108,555,555","-4,992,027,777"
7/31/2014,19.451344, JOSE BONIFACIO, A753,"-2,108,555,555","-4,992,027,777"
8/31/2014,22.081048, JOSE BONIFACIO, A754,"-2,108,555,555","-4,992,027,777"
9/30/2014,24.148605, JOSE BONIFACIO, A755,"-2,108,555,555","-4,992,027,777"
10/31/2014,25.20914, JOSE BONIFACIO, A756,"-2,108,555,555","-4,992,027,777"
11/30/2014,24.861528, JOSE BONIFACIO, A757,"-2,108,555,555","-4,992,027,777"
12/31/2014,25.38078, JOSE BONIFACIO, A758,"-2,108,555,555","-4,992,027,777"
1/31/2015,26.8331, JOSE BONIFACIO, A759,"-2,108,555,555","-4,992,027,777"
2/28/2015,25.481218, JOSE BONIFACIO, A760,"-2,108,555,555","-4,992,027,777"
3/31/2015,null, JOSE BONIFACIO, A761,"-2,108,555,555","-4,992,027,777"
4/30/2015,null, JOSE BONIFACIO, A762,"-2,108,555,555","-4,992,027,777"
5/31/2015,20.786962, JOSE BONIFACIO, A763,"-2,108,555,555","-4,992,027,777"
6/30/2015,20.268889, JOSE BONIFACIO, A764,"-2,108,555,555","-4,992,027,777"
7/31/2015,20.331317, JOSE BONIFACIO, A765,"-2,108,555,555","-4,992,027,777"
8/31/2015,21.726893, JOSE BONIFACIO, A766,"-2,108,555,555","-4,992,027,777"
9/30/2015,24.23875, JOSE BONIFACIO, A767,"-2,108,555,555","-4,992,027,777"
10/31/2015,26.068817, JOSE BONIFACIO, A768,"-2,108,555,555","-4,992,027,777"
11/30/2015,25.648194, JOSE BONIFACIO, A769,"-2,108,555,555","-4,992,027,777"
12/31/2015,25.509677, JOSE BONIFACIO, A770,"-2,108,555,555","-4,992,027,777"
1/31/2016,25.687366, JOSE BONIFACIO, A771,"-2,108,555,555","-4,992,027,777"
2/29/2016,26.27227, JOSE BONIFACIO, A772,"-2,108,555,555","-4,992,027,777"
3/31/2016,25.434543, JOSE BONIFACIO, A773,"-2,108,555,555","-4,992,027,777"
4/30/2016,24.860972, JOSE BONIFACIO, A774,"-2,108,555,555","-4,992,027,777"
5/31/2016,20.136559, JOSE BONIFACIO, A775,"-2,108,555,555","-4,992,027,777"
6/30/2016,18.658333, JOSE BONIFACIO, A776,"-2,108,555,555","-4,992,027,777"
7/31/2016,19.410887, JOSE BONIFACIO, A777,"-2,108,555,555","-4,992,027,777"
8/31/2016,21.131586, JOSE BONIFACIO, A778,"-2,108,555,555","-4,992,027,777"
