Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,24.756048, LINS, A727,"-2,166,611,111","-4,973,472,221"
2/28/2013,25.008929, LINS, A728,"-2,166,611,111","-4,973,472,221"
3/31/2013,24.741523, LINS, A729,"-2,166,611,111","-4,973,472,221"
4/30/2013,22.444167, LINS, A730,"-2,166,611,111","-4,973,472,221"
5/31/2013,21.149597, LINS, A731,"-2,166,611,111","-4,973,472,221"
6/30/2013,20.463937, LINS, A732,"-2,166,611,111","-4,973,472,221"
7/31/2013,18.584192, LINS, A733,"-2,166,611,111","-4,973,472,221"
8/31/2013,19.904704, LINS, A734,"-2,166,611,111","-4,973,472,221"
9/30/2013,22.773194, LINS, A735,"-2,166,611,111","-4,973,472,221"
10/31/2013,23.78078, LINS, A736,"-2,166,611,111","-4,973,472,221"
11/30/2013,24.991111, LINS, A737,"-2,166,611,111","-4,973,472,221"
12/31/2013,26.251823, LINS, A738,"-2,166,611,111","-4,973,472,221"
1/31/2014,26.480376, LINS, A739,"-2,166,611,111","-4,973,472,221"
2/28/2014,26.607441, LINS, A740,"-2,166,611,111","-4,973,472,221"
3/31/2014,24.888978, LINS, A741,"-2,166,611,111","-4,973,472,221"
4/30/2014,23.919445, LINS, A742,"-2,166,611,111","-4,973,472,221"
5/31/2014,21.089382, LINS, A743,"-2,166,611,111","-4,973,472,221"
6/30/2014,20.690556, LINS, A744,"-2,166,611,111","-4,973,472,221"
7/31/2014,19.473522, LINS, A745,"-2,166,611,111","-4,973,472,221"
8/31/2014,22.141935, LINS, A746,"-2,166,611,111","-4,973,472,221"
9/30/2014,24.078611, LINS, A747,"-2,166,611,111","-4,973,472,221"
10/31/2014,25.660887, LINS, A748,"-2,166,611,111","-4,973,472,221"
11/30/2014,24.886806, LINS, A749,"-2,166,611,111","-4,973,472,221"
12/31/2014,25.515188, LINS, A750,"-2,166,611,111","-4,973,472,221"
1/31/2015,27.00457, LINS, A751,"-2,166,611,111","-4,973,472,221"
2/28/2015,25.413988, LINS, A752,"-2,166,611,111","-4,973,472,221"
3/31/2015,24.259946, LINS, A753,"-2,166,611,111","-4,973,472,221"
4/30/2015,23.726667, LINS, A754,"-2,166,611,111","-4,973,472,221"
5/31/2015,20.43477, LINS, A755,"-2,166,611,111","-4,973,472,221"
6/30/2015,20.234445, LINS, A756,"-2,166,611,111","-4,973,472,221"
7/31/2015,20.133468, LINS, A757,"-2,166,611,111","-4,973,472,221"
8/31/2015,22.263978, LINS, A758,"-2,166,611,111","-4,973,472,221"
9/30/2015,24.387917, LINS, A759,"-2,166,611,111","-4,973,472,221"
10/31/2015,null, LINS, A760,"-2,166,611,111","-4,973,472,221"
11/30/2015,null, LINS, A761,"-2,166,611,111","-4,973,472,221"
12/31/2015,25.633199, LINS, A762,"-2,166,611,111","-4,973,472,221"
1/31/2016,25.485618, LINS, A763,"-2,166,611,111","-4,973,472,221"
2/29/2016,26.106897, LINS, A764,"-2,166,611,111","-4,973,472,221"
3/31/2016,25.52379, LINS, A765,"-2,166,611,111","-4,973,472,221"
4/30/2016,25.68125, LINS, A766,"-2,166,611,111","-4,973,472,221"
5/31/2016,20.286559, LINS, A767,"-2,166,611,111","-4,973,472,221"
6/30/2016,18.480417, LINS, A768,"-2,166,611,111","-4,973,472,221"
7/31/2016,19.757124, LINS, A769,"-2,166,611,111","-4,973,472,221"
8/31/2016,21.278226, LINS, A770,"-2,166,611,111","-4,973,472,221"
9/30/2016,22.001945, LINS, A771,"-2,166,611,111","-4,973,472,221"
10/31/2016,24.288307, LINS, A772,"-2,166,611,111","-4,973,472,221"
11/30/2016,25.021528, LINS, A773,"-2,166,611,111","-4,973,472,221"
12/31/2016,25.722312, LINS, A774,"-2,166,611,111","-4,973,472,221"
1/31/2017,25.153091, LINS, A775,"-2,166,611,111","-4,973,472,221"
2/28/2017,26.811756, LINS, A776,"-2,166,611,111","-4,973,472,221"
3/31/2017,25.393817, LINS, A777,"-2,166,611,111","-4,973,472,221"
4/30/2017,23.475833, LINS, A778,"-2,166,611,111","-4,973,472,221"
5/31/2017,22.022849, LINS, A779,"-2,166,611,111","-4,973,472,221"
6/30/2017,19.565972, LINS, A780,"-2,166,611,111","-4,973,472,221"
7/31/2017,19.331855, LINS, A781,"-2,166,611,111","-4,973,472,221"
8/31/2017,21.214651, LINS, A782,"-2,166,611,111","-4,973,472,221"
9/30/2017,25.362778, LINS, A783,"-2,166,611,111","-4,973,472,221"
10/31/2017,24.982258, LINS, A784,"-2,166,611,111","-4,973,472,221"
11/30/2017,24.473056, LINS, A785,"-2,166,611,111","-4,973,472,221"
12/31/2017,25.902151, LINS, A786,"-2,166,611,111","-4,973,472,221"
1/31/2018,25.400672, LINS, A787,"-2,166,611,111","-4,973,472,221"
2/28/2018,24.916071, LINS, A788,"-2,166,611,111","-4,973,472,221"
3/31/2018,26.488575, LINS, A789,"-2,166,611,111","-4,973,472,221"
4/30/2018,24.399583, LINS, A790,"-2,166,611,111","-4,973,472,221"
5/31/2018,21.833065, LINS, A791,"-2,166,611,111","-4,973,472,221"
6/30/2018,21.576111, LINS, A792,"-2,166,611,111","-4,973,472,221"
7/31/2018,null, LINS, A793,"-2,166,611,111","-4,973,472,221"
8/31/2018,20.602083, LINS, A794,"-2,166,611,111","-4,973,472,221"
9/30/2018,23.272033, LINS, A795,"-2,166,611,111","-4,973,472,221"
10/31/2018,24.871839, LINS, A796,"-2,166,611,111","-4,973,472,221"
11/30/2018,24.867917, LINS, A797,"-2,166,611,111","-4,973,472,221"
12/31/2018,26.138542, LINS, A798,"-2,166,611,111","-4,973,472,221"
1/31/2019,null, LINS, A799,"-2,166,611,111","-4,973,472,221"
2/28/2019,null, LINS, A800,"-2,166,611,111","-4,973,472,221"
3/31/2019,25.112261, LINS, A801,"-2,166,611,111","-4,973,472,221"
4/30/2019,null, LINS, A802,"-2,166,611,111","-4,973,472,221"
5/31/2019,22.604839, LINS, A803,"-2,166,611,111","-4,973,472,221"
6/30/2019,21.143611, LINS, A804,"-2,166,611,111","-4,973,472,221"
7/31/2019,19.752554, LINS, A805,"-2,166,611,111","-4,973,472,221"
8/31/2019,21.786559, LINS, A806,"-2,166,611,111","-4,973,472,221"
9/30/2019,25.040417, LINS, A807,"-2,166,611,111","-4,973,472,221"
10/31/2019,26.844624, LINS, A808,"-2,166,611,111","-4,973,472,221"
11/30/2019,26.065, LINS, A809,"-2,166,611,111","-4,973,472,221"
12/31/2019,25.810753, LINS, A810,"-2,166,611,111","-4,973,472,221"
1/31/2020,26.016263, LINS, A811,"-2,166,611,111","-4,973,472,221"
2/29/2020,24.944109, LINS, A812,"-2,166,611,111","-4,973,472,221"
3/31/2020,25.154991, LINS, A813,"-2,166,611,111","-4,973,472,221"
