Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
5/31/2017,20.845278, MARILIA, A763,"-22,235,222","-49,965,111"
6/30/2017,19.018889, MARILIA, A764,"-22,235,222","-49,965,111"
7/31/2017,18.642742, MARILIA, A765,"-22,235,222","-49,965,111"
8/31/2017,19.995089, MARILIA, A766,"-22,235,222","-49,965,111"
9/30/2017,24.518194, MARILIA, A767,"-22,235,222","-49,965,111"
10/31/2017,23.201882, MARILIA, A768,"-22,235,222","-49,965,111"
11/30/2017,22.720833, MARILIA, A769,"-22,235,222","-49,965,111"
12/31/2017,24.209409, MARILIA, A770,"-22,235,222","-49,965,111"
1/31/2018,23.700672, MARILIA, A771,"-22,235,222","-49,965,111"
2/28/2018,23.399107, MARILIA, A772,"-22,235,222","-49,965,111"
3/31/2018,25.163306, MARILIA, A773,"-22,235,222","-49,965,111"
4/30/2018,22.956667, MARILIA, A774,"-22,235,222","-49,965,111"
5/31/2018,21.032258, MARILIA, A775,"-22,235,222","-49,965,111"
6/30/2018,20.886389, MARILIA, A776,"-22,235,222","-49,965,111"
7/31/2018,21.908199, MARILIA, A777,"-22,235,222","-49,965,111"
8/31/2018,18.715726, MARILIA, A778,"-22,235,222","-49,965,111"
9/30/2018,21.495833, MARILIA, A779,"-22,235,222","-49,965,111"
10/31/2018,22.958602, MARILIA, A780,"-22,235,222","-49,965,111"
11/30/2018,23.162778, MARILIA, A781,"-22,235,222","-49,965,111"
12/31/2018,25.182392, MARILIA, A782,"-22,235,222","-49,965,111"
1/31/2019,26.146505, MARILIA, A783,"-22,235,222","-49,965,111"
2/28/2019,24.397917, MARILIA, A784,"-22,235,222","-49,965,111"
3/31/2019,23.86371, MARILIA, A785,"-22,235,222","-49,965,111"
4/30/2019,23.529583, MARILIA, A786,"-22,235,222","-49,965,111"
5/31/2019,21.700538, MARILIA, A787,"-22,235,222","-49,965,111"
6/30/2019,20.993333, MARILIA, A788,"-22,235,222","-49,965,111"
7/31/2019,19.599252, MARILIA, A789,"-22,235,222","-49,965,111"
8/31/2019,null, MARILIA, A790,"-22,235,222","-49,965,111"
9/30/2019,null, MARILIA, A791,"-22,235,222","-49,965,111"
10/31/2019,null, MARILIA, A792,"-22,235,222","-49,965,111"
11/30/2019,24.197917, MARILIA, A793,"-22,235,222","-49,965,111"
12/31/2019,24.167204, MARILIA, A794,"-22,235,222","-49,965,111"
1/31/2020,24.456452, MARILIA, A795,"-22,235,222","-49,965,111"
2/29/2020,23.274138, MARILIA, A796,"-22,235,222","-49,965,111"
3/31/2020,23.58871, MARILIA, A797,"-22,235,222","-49,965,111"
4/30/2020,21.93375, MARILIA, A798,"-22,235,222","-49,965,111"
5/31/2020,19.360215, MARILIA, A799,"-22,235,222","-49,965,111"
6/30/2020,20.848472, MARILIA, A800,"-22,235,222","-49,965,111"
7/31/2020,20.711021, MARILIA, A801,"-22,235,222","-49,965,111"
8/31/2020,20.241532, MARILIA, A802,"-22,235,222","-49,965,111"
9/30/2020,25.645694, MARILIA, A803,"-22,235,222","-49,965,111"
10/31/2020,25.106586, MARILIA, A804,"-22,235,222","-49,965,111"
11/30/2020,24.270556, MARILIA, A805,"-22,235,222","-49,965,111"
12/31/2020,23.966398, MARILIA, A806,"-22,235,222","-49,965,111"
1/31/2021,23.947581, MARILIA, A807,"-22,235,222","-49,965,111"
2/28/2021,23.908036, MARILIA, A808,"-22,235,222","-49,965,111"
3/31/2021,24.308602, MARILIA, A809,"-22,235,222","-49,965,111"
4/30/2021,21.723055, MARILIA, A810,"-22,235,222","-49,965,111"
5/31/2021,20.79086, MARILIA, A811,"-22,235,222","-49,965,111"
6/30/2021,18.648472, MARILIA, A812,"-22,235,222","-49,965,111"
7/31/2021,17.951344, MARILIA, A813,"-22,235,222","-49,965,111"
8/31/2021,22.182527, MARILIA, A814,"-22,235,222","-49,965,111"
9/30/2021,25.103333, MARILIA, A815,"-22,235,222","-49,965,111"
10/31/2021,21.605779, MARILIA, A816,"-22,235,222","-49,965,111"
11/30/2021,24.418333, MARILIA, A817,"-22,235,222","-49,965,111"
12/31/2021,23.929973, MARILIA, A818,"-22,235,222","-49,965,111"
1/31/2022,24.046774, MARILIA, A819,"-22,235,222","-49,965,111"
2/28/2022,24.749702, MARILIA, A820,"-22,235,222","-49,965,111"
3/31/2022,24.349731, MARILIA, A821,"-22,235,222","-49,965,111"
4/30/2022,22.511111, MARILIA, A822,"-22,235,222","-49,965,111"
5/31/2022,18.933737, MARILIA, A823,"-22,235,222","-49,965,111"
6/30/2022,19.203194, MARILIA, A824,"-22,235,222","-49,965,111"
7/31/2022,21.938441, MARILIA, A825,"-22,235,222","-49,965,111"
8/31/2022,19.614113, MARILIA, A826,"-22,235,222","-49,965,111"
9/30/2022,19.705139, MARILIA, A827,"-22,235,222","-49,965,111"
10/31/2022,22.84086, MARILIA, A828,"-22,235,222","-49,965,111"
11/30/2022,21.980417, MARILIA, A829,"-22,235,222","-49,965,111"
12/31/2022,23.424597, MARILIA, A830,"-22,235,222","-49,965,111"
1/31/2023,22.592857, MARILIA, A831,"-22,235,222","-49,965,111"
,, MARILIA, A832,"-22,235,222","-49,965,111"
,, MARILIA, A833,"-22,235,222","-49,965,111"
,, MARILIA, A834,"-22,235,222","-49,965,111"
,, MARILIA, A835,"-22,235,222","-49,965,111"
,, MARILIA, A836,"-22,235,222","-49,965,111"
,, MARILIA, A837,"-22,235,222","-49,965,111"
,, MARILIA, A838,"-22,235,222","-49,965,111"
,, MARILIA, A839,"-22,235,222","-49,965,111"
,, MARILIA, A840,"-22,235,222","-49,965,111"
,, MARILIA, A841,"-22,235,222","-49,965,111"
,, MARILIA, A842,"-22,235,222","-49,965,111"
,, MARILIA, A843,"-22,235,222","-49,965,111"
,, MARILIA, A844,"-22,235,222","-49,965,111"
,, MARILIA, A845,"-22,235,222","-49,965,111"
,, MARILIA, A846,"-22,235,222","-49,965,111"
,, MARILIA, A847,"-22,235,222","-49,965,111"
,, MARILIA, A848,"-22,235,222","-49,965,111"
,, MARILIA, A849,"-22,235,222","-49,965,111"
,, MARILIA, A850,"-22,235,222","-49,965,111"
,, MARILIA, A851,"-22,235,222","-49,965,111"
,, MARILIA, A852,"-22,235,222","-49,965,111"
,, MARILIA, A853,"-22,235,222","-49,965,111"
,, MARILIA, A854,"-22,235,222","-49,965,111"
,, MARILIA, A855,"-22,235,222","-49,965,111"
,, MARILIA, A856,"-22,235,222","-49,965,111"
,, MARILIA, A857,"-22,235,222","-49,965,111"
,, MARILIA, A858,"-22,235,222","-49,965,111"
,, MARILIA, A859,"-22,235,222","-49,965,111"
,, MARILIA, A860,"-22,235,222","-49,965,111"
,, MARILIA, A861,"-22,235,222","-49,965,111"
,, MARILIA, A862,"-22,235,222","-49,965,111"
,, MARILIA, A863,"-22,235,222","-49,965,111"
,, MARILIA, A864,"-22,235,222","-49,965,111"
,, MARILIA, A865,"-22,235,222","-49,965,111"
,, MARILIA, A866,"-22,235,222","-49,965,111"
,, MARILIA, A867,"-22,235,222","-49,965,111"
,, MARILIA, A868,"-22,235,222","-49,965,111"
,, MARILIA, A869,"-22,235,222","-49,965,111"
