Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,null, MOELA, A745,"-24,047,845","-4,626,334"
2/28/2013,28.073377, MOELA, A746,"-24,047,845","-4,626,334"
3/31/2013,null, MOELA, A747,"-24,047,845","-4,626,334"
4/30/2013,null, MOELA, A748,"-24,047,845","-4,626,334"
5/31/2013,null, MOELA, A749,"-24,047,845","-4,626,334"
6/30/2013,null, MOELA, A750,"-24,047,845","-4,626,334"
7/31/2013,null, MOELA, A751,"-24,047,845","-4,626,334"
8/31/2013,null, MOELA, A752,"-24,047,845","-4,626,334"
9/30/2013,20.081042, MOELA, A753,"-24,047,845","-4,626,334"
10/31/2013,21.548656, MOELA, A754,"-24,047,845","-4,626,334"
11/30/2013,23.02625, MOELA, A755,"-24,047,845","-4,626,334"
12/31/2013,25.391667, MOELA, A756,"-24,047,845","-4,626,334"
1/31/2014,27.961559, MOELA, A757,"-24,047,845","-4,626,334"
2/28/2014,27.217113, MOELA, A758,"-24,047,845","-4,626,334"
3/31/2014,25.852285, MOELA, A759,"-24,047,845","-4,626,334"
4/30/2014,23.969444, MOELA, A760,"-24,047,845","-4,626,334"
5/31/2014,22.20977, MOELA, A761,"-24,047,845","-4,626,334"
6/30/2014,20.965972, MOELA, A762,"-24,047,845","-4,626,334"
7/31/2014,19.90672, MOELA, A763,"-24,047,845","-4,626,334"
8/31/2014,20.499194, MOELA, A764,"-24,047,845","-4,626,334"
9/30/2014,21.62625, MOELA, A765,"-24,047,845","-4,626,334"
10/31/2014,22.48629, MOELA, A766,"-24,047,845","-4,626,334"
11/30/2014,23.902361, MOELA, A767,"-24,047,845","-4,626,334"
12/31/2014,24.738495, MOELA, A768,"-24,047,845","-4,626,334"
1/31/2015,null, MOELA, A769,"-24,047,845","-4,626,334"
2/28/2015,null, MOELA, A770,"-24,047,845","-4,626,334"
3/31/2015,null, MOELA, A771,"-24,047,845","-4,626,334"
4/30/2015,null, MOELA, A772,"-24,047,845","-4,626,334"
5/31/2015,null, MOELA, A773,"-24,047,845","-4,626,334"
6/30/2015,null, MOELA, A774,"-24,047,845","-4,626,334"
7/31/2015,null, MOELA, A775,"-24,047,845","-4,626,334"
8/31/2015,null, MOELA, A776,"-24,047,845","-4,626,334"
9/30/2015,null, MOELA, A777,"-24,047,845","-4,626,334"
10/31/2015,null, MOELA, A778,"-24,047,845","-4,626,334"
11/30/2015,null, MOELA, A779,"-24,047,845","-4,626,334"
12/31/2015,null, MOELA, A780,"-24,047,845","-4,626,334"
1/31/2016,null, MOELA, A781,"-24,047,845","-4,626,334"
2/29/2016,null, MOELA, A782,"-24,047,845","-4,626,334"
3/31/2016,null, MOELA, A783,"-24,047,845","-4,626,334"
4/30/2016,null, MOELA, A784,"-24,047,845","-4,626,334"
5/31/2016,null, MOELA, A785,"-24,047,845","-4,626,334"
6/30/2016,null, MOELA, A786,"-24,047,845","-4,626,334"
7/31/2016,null, MOELA, A787,"-24,047,845","-4,626,334"
