Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,24.558871, OURINHOS, A716,"-2,294,888,888","-4,989,444,444"
2/28/2013,24.491518, OURINHOS, A717,"-2,294,888,888","-4,989,444,444"
3/31/2013,23.703017, OURINHOS, A718,"-2,294,888,888","-4,989,444,444"
4/30/2013,21.136806, OURINHOS, A719,"-2,294,888,888","-4,989,444,444"
5/31/2013,19.280108, OURINHOS, A720,"-2,294,888,888","-4,989,444,444"
6/30/2013,18.289697, OURINHOS, A721,"-2,294,888,888","-4,989,444,444"
7/31/2013,16.860022, OURINHOS, A722,"-2,294,888,888","-4,989,444,444"
8/31/2013,18.437634, OURINHOS, A723,"-2,294,888,888","-4,989,444,444"
9/30/2013,20.850972, OURINHOS, A724,"-2,294,888,888","-4,989,444,444"
10/31/2013,22.246909, OURINHOS, A725,"-2,294,888,888","-4,989,444,444"
11/30/2013,23.972639, OURINHOS, A726,"-2,294,888,888","-4,989,444,444"
12/31/2013,25.486694, OURINHOS, A727,"-2,294,888,888","-4,989,444,444"
1/31/2014,25.43871, OURINHOS, A728,"-2,294,888,888","-4,989,444,444"
2/28/2014,26.085566, OURINHOS, A729,"-2,294,888,888","-4,989,444,444"
3/31/2014,24.02625, OURINHOS, A730,"-2,294,888,888","-4,989,444,444"
4/30/2014,22.63, OURINHOS, A731,"-2,294,888,888","-4,989,444,444"
5/31/2014,19.345027, OURINHOS, A732,"-2,294,888,888","-4,989,444,444"
6/30/2014,18.934583, OURINHOS, A733,"-2,294,888,888","-4,989,444,444"
7/31/2014,18.017473, OURINHOS, A734,"-2,294,888,888","-4,989,444,444"
8/31/2014,20.053763, OURINHOS, A735,"-2,294,888,888","-4,989,444,444"
9/30/2014,21.864028, OURINHOS, A736,"-2,294,888,888","-4,989,444,444"
10/31/2014,23.827285, OURINHOS, A737,"-2,294,888,888","-4,989,444,444"
11/30/2014,24.082361, OURINHOS, A738,"-2,294,888,888","-4,989,444,444"
12/31/2014,24.505108, OURINHOS, A739,"-2,294,888,888","-4,989,444,444"
1/31/2015,26.2759, OURINHOS, A740,"-2,294,888,888","-4,989,444,444"
