Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,22.740457, PIRACICABA, A726,"-2,270,305,555","-4,762,333,332"
2/28/2013,23.709822, PIRACICABA, A727,"-2,270,305,555","-4,762,333,332"
3/31/2013,23.268247, PIRACICABA, A728,"-2,270,305,555","-4,762,333,332"
4/30/2013,20.89875, PIRACICABA, A729,"-2,270,305,555","-4,762,333,332"
5/31/2013,19.305914, PIRACICABA, A730,"-2,270,305,555","-4,762,333,332"
6/30/2013,18.236351, PIRACICABA, A731,"-2,270,305,555","-4,762,333,332"
7/31/2013,16.764084, PIRACICABA, A732,"-2,270,305,555","-4,762,333,332"
8/31/2013,18.318145, PIRACICABA, A733,"-2,270,305,555","-4,762,333,332"
9/30/2013,20.801944, PIRACICABA, A734,"-2,270,305,555","-4,762,333,332"
10/31/2013,21.778898, PIRACICABA, A735,"-2,270,305,555","-4,762,333,332"
11/30/2013,23.170187, PIRACICABA, A736,"-2,270,305,555","-4,762,333,332"
12/31/2013,24.737518, PIRACICABA, A737,"-2,270,305,555","-4,762,333,332"
1/31/2014,25.6946, PIRACICABA, A738,"-2,270,305,555","-4,762,333,332"
2/28/2014,26.176106, PIRACICABA, A739,"-2,270,305,555","-4,762,333,332"
3/31/2014,23.881814, PIRACICABA, A740,"-2,270,305,555","-4,762,333,332"
4/30/2014,22.099644, PIRACICABA, A741,"-2,270,305,555","-4,762,333,332"
5/31/2014,19.234245, PIRACICABA, A742,"-2,270,305,555","-4,762,333,332"
6/30/2014,18.909783, PIRACICABA, A743,"-2,270,305,555","-4,762,333,332"
7/31/2014,18.202642, PIRACICABA, A744,"-2,270,305,555","-4,762,333,332"
8/31/2014,null, PIRACICABA, A745,"-2,270,305,555","-4,762,333,332"
9/30/2014,null, PIRACICABA, A746,"-2,270,305,555","-4,762,333,332"
10/31/2014,23.971237, PIRACICABA, A747,"-2,270,305,555","-4,762,333,332"
11/30/2014,23.33029, PIRACICABA, A748,"-2,270,305,555","-4,762,333,332"
12/31/2014,23.974977, PIRACICABA, A749,"-2,270,305,555","-4,762,333,332"
1/31/2015,26.017047, PIRACICABA, A750,"-2,270,305,555","-4,762,333,332"
2/28/2015,23.65, PIRACICABA, A751,"-2,270,305,555","-4,762,333,332"
3/31/2015,22.813441, PIRACICABA, A752,"-2,270,305,555","-4,762,333,332"
4/30/2015,22.060278, PIRACICABA, A753,"-2,270,305,555","-4,762,333,332"
5/31/2015,19.270775, PIRACICABA, A754,"-2,270,305,555","-4,762,333,332"
6/30/2015,18.702766, PIRACICABA, A755,"-2,270,305,555","-4,762,333,332"
7/31/2015,18.308871, PIRACICABA, A756,"-2,270,305,555","-4,762,333,332"
8/31/2015,20.054704, PIRACICABA, A757,"-2,270,305,555","-4,762,333,332"
9/30/2015,19.715833, PIRACICABA, A758,"-2,270,305,555","-4,762,333,332"
10/31/2015,23.912769, PIRACICABA, A759,"-2,270,305,555","-4,762,333,332"
11/30/2015,23.660139, PIRACICABA, A760,"-2,270,305,555","-4,762,333,332"
12/31/2015,24.188172, PIRACICABA, A761,"-2,270,305,555","-4,762,333,332"
1/31/2016,24.220565, PIRACICABA, A762,"-2,270,305,555","-4,762,333,332"
2/29/2016,24.894253, PIRACICABA, A763,"-2,270,305,555","-4,762,333,332"
3/31/2016,23.943683, PIRACICABA, A764,"-2,270,305,555","-4,762,333,332"
4/30/2016,24.045833, PIRACICABA, A765,"-2,270,305,555","-4,762,333,332"
5/31/2016,19.046181, PIRACICABA, A766,"-2,270,305,555","-4,762,333,332"
6/30/2016,null, PIRACICABA, A767,"-2,270,305,555","-4,762,333,332"
7/31/2016,null, PIRACICABA, A768,"-2,270,305,555","-4,762,333,332"
8/31/2016,null, PIRACICABA, A769,"-2,270,305,555","-4,762,333,332"
9/30/2016,20.647833, PIRACICABA, A770,"-2,270,305,555","-4,762,333,332"
10/31/2016,22.15208, PIRACICABA, A771,"-2,270,305,555","-4,762,333,332"
11/30/2016,22.529583, PIRACICABA, A772,"-2,270,305,555","-4,762,333,332"
12/31/2016,23.922043, PIRACICABA, A773,"-2,270,305,555","-4,762,333,332"
1/31/2017,23.94543, PIRACICABA, A774,"-2,270,305,555","-4,762,333,332"
2/28/2017,25.086161, PIRACICABA, A775,"-2,270,305,555","-4,762,333,332"
3/31/2017,23.345161, PIRACICABA, A776,"-2,270,305,555","-4,762,333,332"
4/30/2017,21.760731, PIRACICABA, A777,"-2,270,305,555","-4,762,333,332"
5/31/2017,19.784028, PIRACICABA, A778,"-2,270,305,555","-4,762,333,332"
6/30/2017,null, PIRACICABA, A779,"-2,270,305,555","-4,762,333,332"
7/31/2017,17.025538, PIRACICABA, A780,"-2,270,305,555","-4,762,333,332"
8/31/2017,19.294048, PIRACICABA, A781,"-2,270,305,555","-4,762,333,332"
9/30/2017,null, PIRACICABA, A782,"-2,270,305,555","-4,762,333,332"
10/31/2017,23.214444, PIRACICABA, A783,"-2,270,305,555","-4,762,333,332"
11/30/2017,22.558333, PIRACICABA, A784,"-2,270,305,555","-4,762,333,332"
12/31/2017,24.166129, PIRACICABA, A785,"-2,270,305,555","-4,762,333,332"
1/31/2018,23.554167, PIRACICABA, A786,"-2,270,305,555","-4,762,333,332"
2/28/2018,23.466369, PIRACICABA, A787,"-2,270,305,555","-4,762,333,332"
3/31/2018,24.664919, PIRACICABA, A788,"-2,270,305,555","-4,762,333,332"
4/30/2018,22.350417, PIRACICABA, A789,"-2,270,305,555","-4,762,333,332"
5/31/2018,19.74422, PIRACICABA, A790,"-2,270,305,555","-4,762,333,332"
6/30/2018,19.495139, PIRACICABA, A791,"-2,270,305,555","-4,762,333,332"
7/31/2018,18.92791, PIRACICABA, A792,"-2,270,305,555","-4,762,333,332"
8/31/2018,18.234812, PIRACICABA, A793,"-2,270,305,555","-4,762,333,332"
9/30/2018,21.110139, PIRACICABA, A794,"-2,270,305,555","-4,762,333,332"
10/31/2018,22.507445, PIRACICABA, A795,"-2,270,305,555","-4,762,333,332"
11/30/2018,23.025695, PIRACICABA, A796,"-2,270,305,555","-4,762,333,332"
12/31/2018,24.990457, PIRACICABA, A797,"-2,270,305,555","-4,762,333,332"
1/31/2019,25.964705, PIRACICABA, A798,"-2,270,305,555","-4,762,333,332"
2/28/2019,24.014137, PIRACICABA, A799,"-2,270,305,555","-4,762,333,332"
3/31/2019,23.815323, PIRACICABA, A800,"-2,270,305,555","-4,762,333,332"
4/30/2019,22.972977, PIRACICABA, A801,"-2,270,305,555","-4,762,333,332"
5/31/2019,20.842339, PIRACICABA, A802,"-2,270,305,555","-4,762,333,332"
6/30/2019,19.036389, PIRACICABA, A803,"-2,270,305,555","-4,762,333,332"
