Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,24.14484, PRADOPOLIS, A747,"-2,133,833,333","-4,811,388,888"
2/28/2013,24.306994, PRADOPOLIS, A748,"-2,133,833,333","-4,811,388,888"
3/31/2013,23.909626, PRADOPOLIS, A749,"-2,133,833,333","-4,811,388,888"
4/30/2013,21.51088, PRADOPOLIS, A750,"-2,133,833,333","-4,811,388,888"
5/31/2013,19.877548, PRADOPOLIS, A751,"-2,133,833,333","-4,811,388,888"
6/30/2013,19.44197, PRADOPOLIS, A752,"-2,133,833,333","-4,811,388,888"
7/31/2013,17.61967, PRADOPOLIS, A753,"-2,133,833,333","-4,811,388,888"
8/31/2013,18.888038, PRADOPOLIS, A754,"-2,133,833,333","-4,811,388,888"
9/30/2013,21.886323, PRADOPOLIS, A755,"-2,133,833,333","-4,811,388,888"
10/31/2013,22.829839, PRADOPOLIS, A756,"-2,133,833,333","-4,811,388,888"
11/30/2013,23.693056, PRADOPOLIS, A757,"-2,133,833,333","-4,811,388,888"
12/31/2013,24.790732, PRADOPOLIS, A758,"-2,133,833,333","-4,811,388,888"
1/31/2014,25.537494, PRADOPOLIS, A759,"-2,133,833,333","-4,811,388,888"
2/28/2014,25.504613, PRADOPOLIS, A760,"-2,133,833,333","-4,811,388,888"
3/31/2014,24.247877, PRADOPOLIS, A761,"-2,133,833,333","-4,811,388,888"
4/30/2014,23.009233, PRADOPOLIS, A762,"-2,133,833,333","-4,811,388,888"
5/31/2014,19.654599, PRADOPOLIS, A763,"-2,133,833,333","-4,811,388,888"
6/30/2014,19.26622, PRADOPOLIS, A764,"-2,133,833,333","-4,811,388,888"
7/31/2014,18.455295, PRADOPOLIS, A765,"-2,133,833,333","-4,811,388,888"
8/31/2014,20.534391, PRADOPOLIS, A766,"-2,133,833,333","-4,811,388,888"
9/30/2014,23.258279, PRADOPOLIS, A767,"-2,133,833,333","-4,811,388,888"
10/31/2014,25.119518, PRADOPOLIS, A768,"-2,133,833,333","-4,811,388,888"
11/30/2014,24.386945, PRADOPOLIS, A769,"-2,133,833,333","-4,811,388,888"
12/31/2014,24.35869, PRADOPOLIS, A770,"-2,133,833,333","-4,811,388,888"
1/31/2015,26.149865, PRADOPOLIS, A771,"-2,133,833,333","-4,811,388,888"
2/28/2015,24.281082, PRADOPOLIS, A772,"-2,133,833,333","-4,811,388,888"
3/31/2015,23.116059, PRADOPOLIS, A773,"-2,133,833,333","-4,811,388,888"
4/30/2015,22.81625, PRADOPOLIS, A774,"-2,133,833,333","-4,811,388,888"
5/31/2015,19.823253, PRADOPOLIS, A775,"-2,133,833,333","-4,811,388,888"
6/30/2015,19.361642, PRADOPOLIS, A776,"-2,133,833,333","-4,811,388,888"
7/31/2015,19.287892, PRADOPOLIS, A777,"-2,133,833,333","-4,811,388,888"
8/31/2015,20.361717, PRADOPOLIS, A778,"-2,133,833,333","-4,811,388,888"
9/30/2015,22.922778, PRADOPOLIS, A779,"-2,133,833,333","-4,811,388,888"
10/31/2015,25.619355, PRADOPOLIS, A780,"-2,133,833,333","-4,811,388,888"
11/30/2015,24.644028, PRADOPOLIS, A781,"-2,133,833,333","-4,811,388,888"
12/31/2015,24.758199, PRADOPOLIS, A782,"-2,133,833,333","-4,811,388,888"
1/31/2016,24.487155, PRADOPOLIS, A783,"-2,133,833,333","-4,811,388,888"
2/29/2016,25.303879, PRADOPOLIS, A784,"-2,133,833,333","-4,811,388,888"
3/31/2016,24.45996, PRADOPOLIS, A785,"-2,133,833,333","-4,811,388,888"
4/30/2016,23.808333, PRADOPOLIS, A786,"-2,133,833,333","-4,811,388,888"
5/31/2016,19.758088, PRADOPOLIS, A787,"-2,133,833,333","-4,811,388,888"
6/30/2016,17.722126, PRADOPOLIS, A788,"-2,133,833,333","-4,811,388,888"
7/31/2016,18.376227, PRADOPOLIS, A789,"-2,133,833,333","-4,811,388,888"
8/31/2016,19.858059, PRADOPOLIS, A790,"-2,133,833,333","-4,811,388,888"
9/30/2016,22.007083, PRADOPOLIS, A791,"-2,133,833,333","-4,811,388,888"
10/31/2016,23.757352, PRADOPOLIS, A792,"-2,133,833,333","-4,811,388,888"
11/30/2016,23.71965, PRADOPOLIS, A793,"-2,133,833,333","-4,811,388,888"
12/31/2016,24.664878, PRADOPOLIS, A794,"-2,133,833,333","-4,811,388,888"
1/31/2017,24.168572, PRADOPOLIS, A795,"-2,133,833,333","-4,811,388,888"
