Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,25.082206, PRESIDENTE PRUDENTE, A707,"-2,211,999,999","-5,140,861,111"
2/28/2013,25.228571, PRESIDENTE PRUDENTE, A708,"-2,211,999,999","-5,140,861,111"
3/31/2013,25.11092, PRESIDENTE PRUDENTE, A709,"-2,211,999,999","-5,140,861,111"
4/30/2013,22.783472, PRESIDENTE PRUDENTE, A710,"-2,211,999,999","-5,140,861,111"
5/31/2013,21.935484, PRESIDENTE PRUDENTE, A711,"-2,211,999,999","-5,140,861,111"
6/30/2013,20.724141, PRESIDENTE PRUDENTE, A712,"-2,211,999,999","-5,140,861,111"
7/31/2013,19.251403, PRESIDENTE PRUDENTE, A713,"-2,211,999,999","-5,140,861,111"
8/31/2013,20.550269, PRESIDENTE PRUDENTE, A714,"-2,211,999,999","-5,140,861,111"
9/30/2013,23.102639, PRESIDENTE PRUDENTE, A715,"-2,211,999,999","-5,140,861,111"
10/31/2013,23.898656, PRESIDENTE PRUDENTE, A716,"-2,211,999,999","-5,140,861,111"
11/30/2013,25.028194, PRESIDENTE PRUDENTE, A717,"-2,211,999,999","-5,140,861,111"
12/31/2013,26.720833, PRESIDENTE PRUDENTE, A718,"-2,211,999,999","-5,140,861,111"
1/31/2014,26.456855, PRESIDENTE PRUDENTE, A719,"-2,211,999,999","-5,140,861,111"
2/28/2014,27.085119, PRESIDENTE PRUDENTE, A720,"-2,211,999,999","-5,140,861,111"
3/31/2014,25.328495, PRESIDENTE PRUDENTE, A721,"-2,211,999,999","-5,140,861,111"
4/30/2014,23.917639, PRESIDENTE PRUDENTE, A722,"-2,211,999,999","-5,140,861,111"
5/31/2014,21.140054, PRESIDENTE PRUDENTE, A723,"-2,211,999,999","-5,140,861,111"
6/30/2014,20.897361, PRESIDENTE PRUDENTE, A724,"-2,211,999,999","-5,140,861,111"
7/31/2014,19.714382, PRESIDENTE PRUDENTE, A725,"-2,211,999,999","-5,140,861,111"
8/31/2014,22.960887, PRESIDENTE PRUDENTE, A726,"-2,211,999,999","-5,140,861,111"
9/30/2014,24.146806, PRESIDENTE PRUDENTE, A727,"-2,211,999,999","-5,140,861,111"
10/31/2014,26.197446, PRESIDENTE PRUDENTE, A728,"-2,211,999,999","-5,140,861,111"
11/30/2014,24.938889, PRESIDENTE PRUDENTE, A729,"-2,211,999,999","-5,140,861,111"
12/31/2014,25.669892, PRESIDENTE PRUDENTE, A730,"-2,211,999,999","-5,140,861,111"
1/31/2015,27.619355, PRESIDENTE PRUDENTE, A731,"-2,211,999,999","-5,140,861,111"
2/28/2015,25.792113, PRESIDENTE PRUDENTE, A732,"-2,211,999,999","-5,140,861,111"
3/31/2015,24.921102, PRESIDENTE PRUDENTE, A733,"-2,211,999,999","-5,140,861,111"
4/30/2015,24.439028, PRESIDENTE PRUDENTE, A734,"-2,211,999,999","-5,140,861,111"
5/31/2015,20.956855, PRESIDENTE PRUDENTE, A735,"-2,211,999,999","-5,140,861,111"
6/30/2015,21.060417, PRESIDENTE PRUDENTE, A736,"-2,211,999,999","-5,140,861,111"
7/31/2015,20.205242, PRESIDENTE PRUDENTE, A737,"-2,211,999,999","-5,140,861,111"
8/31/2015,23.408736, PRESIDENTE PRUDENTE, A738,"-2,211,999,999","-5,140,861,111"
9/30/2015,24.542222, PRESIDENTE PRUDENTE, A739,"-2,211,999,999","-5,140,861,111"
10/31/2015,25.354839, PRESIDENTE PRUDENTE, A740,"-2,211,999,999","-5,140,861,111"
11/30/2015,25.248194, PRESIDENTE PRUDENTE, A741,"-2,211,999,999","-5,140,861,111"
12/31/2015,25.815385, PRESIDENTE PRUDENTE, A742,"-2,211,999,999","-5,140,861,111"
1/31/2016,null, PRESIDENTE PRUDENTE, A743,"-2,211,999,999","-5,140,861,111"
2/29/2016,26.144746, PRESIDENTE PRUDENTE, A744,"-2,211,999,999","-5,140,861,111"
3/31/2016,25.509339, PRESIDENTE PRUDENTE, A745,"-2,211,999,999","-5,140,861,111"
4/30/2016,26.393611, PRESIDENTE PRUDENTE, A746,"-2,211,999,999","-5,140,861,111"
5/31/2016,null, PRESIDENTE PRUDENTE, A747,"-2,211,999,999","-5,140,861,111"
6/30/2016,null, PRESIDENTE PRUDENTE, A748,"-2,211,999,999","-5,140,861,111"
7/31/2016,20.363889, PRESIDENTE PRUDENTE, A749,"-2,211,999,999","-5,140,861,111"
8/31/2016,21.768952, PRESIDENTE PRUDENTE, A750,"-2,211,999,999","-5,140,861,111"
9/30/2016,21.588611, PRESIDENTE PRUDENTE, A751,"-2,211,999,999","-5,140,861,111"
10/31/2016,24.089113, PRESIDENTE PRUDENTE, A752,"-2,211,999,999","-5,140,861,111"
11/30/2016,25.700139, PRESIDENTE PRUDENTE, A753,"-2,211,999,999","-5,140,861,111"
12/31/2016,25.531452, PRESIDENTE PRUDENTE, A754,"-2,211,999,999","-5,140,861,111"
1/31/2017,25.050941, PRESIDENTE PRUDENTE, A755,"-2,211,999,999","-5,140,861,111"
2/28/2017,27.027976, PRESIDENTE PRUDENTE, A756,"-2,211,999,999","-5,140,861,111"
3/31/2017,25.773925, PRESIDENTE PRUDENTE, A757,"-2,211,999,999","-5,140,861,111"
4/30/2017,23.290972, PRESIDENTE PRUDENTE, A758,"-2,211,999,999","-5,140,861,111"
5/31/2017,22.368683, PRESIDENTE PRUDENTE, A759,"-2,211,999,999","-5,140,861,111"
