Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,null, RANCHARIA, A718,"-2,237,277,777","-5,097,472,221"
2/28/2013,null, RANCHARIA, A719,"-2,237,277,777","-5,097,472,221"
3/31/2013,null, RANCHARIA, A720,"-2,237,277,777","-5,097,472,221"
4/30/2013,null, RANCHARIA, A721,"-2,237,277,777","-5,097,472,221"
5/31/2013,18.423593, RANCHARIA, A722,"-2,237,277,777","-5,097,472,221"
6/30/2013,null, RANCHARIA, A723,"-2,237,277,777","-5,097,472,221"
7/31/2013,15.415772, RANCHARIA, A724,"-2,237,277,777","-5,097,472,221"
8/31/2013,16.049984, RANCHARIA, A725,"-2,237,277,777","-5,097,472,221"
9/30/2013,20.451396, RANCHARIA, A726,"-2,237,277,777","-5,097,472,221"
10/31/2013,23.088452, RANCHARIA, A727,"-2,237,277,777","-5,097,472,221"
11/30/2013,null, RANCHARIA, A728,"-2,237,277,777","-5,097,472,221"
12/31/2013,null, RANCHARIA, A729,"-2,237,277,777","-5,097,472,221"
1/31/2014,null, RANCHARIA, A730,"-2,237,277,777","-5,097,472,221"
2/28/2014,null, RANCHARIA, A731,"-2,237,277,777","-5,097,472,221"
3/31/2014,null, RANCHARIA, A732,"-2,237,277,777","-5,097,472,221"
4/30/2014,null, RANCHARIA, A733,"-2,237,277,777","-5,097,472,221"
5/31/2014,18.607468, RANCHARIA, A734,"-2,237,277,777","-5,097,472,221"
6/30/2014,17.978467, RANCHARIA, A735,"-2,237,277,777","-5,097,472,221"
7/31/2014,17.012587, RANCHARIA, A736,"-2,237,277,777","-5,097,472,221"
8/31/2014,19.296339, RANCHARIA, A737,"-2,237,277,777","-5,097,472,221"
9/30/2014,21.923462, RANCHARIA, A738,"-2,237,277,777","-5,097,472,221"
10/31/2014,23.466014, RANCHARIA, A739,"-2,237,277,777","-5,097,472,221"
11/30/2014,23.858578, RANCHARIA, A740,"-2,237,277,777","-5,097,472,221"
12/31/2014,24.907308, RANCHARIA, A741,"-2,237,277,777","-5,097,472,221"
1/31/2015,26.087875, RANCHARIA, A742,"-2,237,277,777","-5,097,472,221"
2/28/2015,24.648583, RANCHARIA, A743,"-2,237,277,777","-5,097,472,221"
3/31/2015,23.881183, RANCHARIA, A744,"-2,237,277,777","-5,097,472,221"
4/30/2015,22.465, RANCHARIA, A745,"-2,237,277,777","-5,097,472,221"
5/31/2015,18.944432, RANCHARIA, A746,"-2,237,277,777","-5,097,472,221"
6/30/2015,18.015809, RANCHARIA, A747,"-2,237,277,777","-5,097,472,221"
7/31/2015,17.95578, RANCHARIA, A748,"-2,237,277,777","-5,097,472,221"
8/31/2015,18.833655, RANCHARIA, A749,"-2,237,277,777","-5,097,472,221"
9/30/2015,21.920495, RANCHARIA, A750,"-2,237,277,777","-5,097,472,221"
10/31/2015,24.391679, RANCHARIA, A751,"-2,237,277,777","-5,097,472,221"
11/30/2015,26.501262, RANCHARIA, A752,"-2,237,277,777","-5,097,472,221"
12/31/2015,24.554704, RANCHARIA, A753,"-2,237,277,777","-5,097,472,221"
1/31/2016,25.304973, RANCHARIA, A754,"-2,237,277,777","-5,097,472,221"
2/29/2016,24.821354, RANCHARIA, A755,"-2,237,277,777","-5,097,472,221"
