Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
2/28/2017,26.512372, REGISTRO, A766,"-2,453,305,554","-4,786,416,666"
3/31/2017,24.16586, REGISTRO, A767,"-2,453,305,554","-4,786,416,666"
4/30/2017,21.99, REGISTRO, A768,"-2,453,305,554","-4,786,416,666"
5/31/2017,20.64889, REGISTRO, A769,"-2,453,305,554","-4,786,416,666"
6/30/2017,18.578592, REGISTRO, A770,"-2,453,305,554","-4,786,416,666"
7/31/2017,17.631855, REGISTRO, A771,"-2,453,305,554","-4,786,416,666"
8/31/2017,18.687291, REGISTRO, A772,"-2,453,305,554","-4,786,416,666"
9/30/2017,21.769263, REGISTRO, A773,"-2,453,305,554","-4,786,416,666"
10/31/2017,22.2327, REGISTRO, A774,"-2,453,305,554","-4,786,416,666"
11/30/2017,22.00237, REGISTRO, A775,"-2,453,305,554","-4,786,416,666"
12/31/2017,24.256322, REGISTRO, A776,"-2,453,305,554","-4,786,416,666"
1/31/2018,25.142473, REGISTRO, A777,"-2,453,305,554","-4,786,416,666"
2/28/2018,24.223661, REGISTRO, A778,"-2,453,305,554","-4,786,416,666"
3/31/2018,25.080047, REGISTRO, A779,"-2,453,305,554","-4,786,416,666"
4/30/2018,22.994565, REGISTRO, A780,"-2,453,305,554","-4,786,416,666"
5/31/2018,20.748556, REGISTRO, A781,"-2,453,305,554","-4,786,416,666"
6/30/2018,18.535018, REGISTRO, A782,"-2,453,305,554","-4,786,416,666"
7/31/2018,18.360484, REGISTRO, A783,"-2,453,305,554","-4,786,416,666"
8/31/2018,17.43414, REGISTRO, A784,"-2,453,305,554","-4,786,416,666"
9/30/2018,20.483998, REGISTRO, A785,"-2,453,305,554","-4,786,416,666"
10/31/2018,21.30672, REGISTRO, A786,"-2,453,305,554","-4,786,416,666"
11/30/2018,22.782361, REGISTRO, A787,"-2,453,305,554","-4,786,416,666"
12/31/2018,25.533602, REGISTRO, A788,"-2,453,305,554","-4,786,416,666"
1/31/2019,27.39259, REGISTRO, A789,"-2,453,305,554","-4,786,416,666"
2/28/2019,24.802795, REGISTRO, A790,"-2,453,305,554","-4,786,416,666"
3/31/2019,24.468642, REGISTRO, A791,"-2,453,305,554","-4,786,416,666"
4/30/2019,23.452132, REGISTRO, A792,"-2,453,305,554","-4,786,416,666"
5/31/2019,21.65457, REGISTRO, A793,"-2,453,305,554","-4,786,416,666"
6/30/2019,19.935972, REGISTRO, A794,"-2,453,305,554","-4,786,416,666"
7/31/2019,17.525269, REGISTRO, A795,"-2,453,305,554","-4,786,416,666"
8/31/2019,17.876957, REGISTRO, A796,"-2,453,305,554","-4,786,416,666"
9/30/2019,19.621528, REGISTRO, A797,"-2,453,305,554","-4,786,416,666"
10/31/2019,22.491854, REGISTRO, A798,"-2,453,305,554","-4,786,416,666"
11/30/2019,22.699306, REGISTRO, A799,"-2,453,305,554","-4,786,416,666"
12/31/2019,null, REGISTRO, A800,"-2,453,305,554","-4,786,416,666"
1/31/2020,null, REGISTRO, A801,"-2,453,305,554","-4,786,416,666"
2/29/2020,null, REGISTRO, A802,"-2,453,305,554","-4,786,416,666"
