Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,21.953495, SAO CARLOS, A711,"-21,980,353","-47,883,927"
2/28/2013,22.725149, SAO CARLOS, A712,"-21,980,353","-47,883,927"
3/31/2013,22.107328, SAO CARLOS, A713,"-21,980,353","-47,883,927"
4/30/2013,20.116805, SAO CARLOS, A714,"-21,980,353","-47,883,927"
5/31/2013,18.975, SAO CARLOS, A715,"-21,980,353","-47,883,927"
6/30/2013,18.357487, SAO CARLOS, A716,"-21,980,353","-47,883,927"
7/31/2013,16.678939, SAO CARLOS, A717,"-21,980,353","-47,883,927"
8/31/2013,18.224866, SAO CARLOS, A718,"-21,980,353","-47,883,927"
9/30/2013,20.461806, SAO CARLOS, A719,"-21,980,353","-47,883,927"
10/31/2013,20.806048, SAO CARLOS, A720,"-21,980,353","-47,883,927"
11/30/2013,21.911806, SAO CARLOS, A721,"-21,980,353","-47,883,927"
12/31/2013,23.07043, SAO CARLOS, A722,"-21,980,353","-47,883,927"
1/31/2014,24.450672, SAO CARLOS, A723,"-21,980,353","-47,883,927"
2/28/2014,24.638542, SAO CARLOS, A724,"-21,980,353","-47,883,927"
3/31/2014,22.68172, SAO CARLOS, A725,"-21,980,353","-47,883,927"
4/30/2014,21.428194, SAO CARLOS, A726,"-21,980,353","-47,883,927"
5/31/2014,18.866398, SAO CARLOS, A727,"-21,980,353","-47,883,927"
6/30/2014,18.677361, SAO CARLOS, A728,"-21,980,353","-47,883,927"
7/31/2014,17.638441, SAO CARLOS, A729,"-21,980,353","-47,883,927"
8/31/2014,19.938978, SAO CARLOS, A730,"-21,980,353","-47,883,927"
9/30/2014,21.786667, SAO CARLOS, A731,"-21,980,353","-47,883,927"
10/31/2014,23.27621, SAO CARLOS, A732,"-21,980,353","-47,883,927"
11/30/2014,22.41625, SAO CARLOS, A733,"-21,980,353","-47,883,927"
12/31/2014,22.499059, SAO CARLOS, A734,"-21,980,353","-47,883,927"
1/31/2015,24.659005, SAO CARLOS, A735,"-21,980,353","-47,883,927"
2/28/2015,22.59881, SAO CARLOS, A736,"-21,980,353","-47,883,927"
3/31/2015,21.630108, SAO CARLOS, A737,"-21,980,353","-47,883,927"
4/30/2015,21.337639, SAO CARLOS, A738,"-21,980,353","-47,883,927"
5/31/2015,18.528091, SAO CARLOS, A739,"-21,980,353","-47,883,927"
6/30/2015,18.228889, SAO CARLOS, A740,"-21,980,353","-47,883,927"
7/31/2015,18.432393, SAO CARLOS, A741,"-21,980,353","-47,883,927"
8/31/2015,19.953091, SAO CARLOS, A742,"-21,980,353","-47,883,927"
9/30/2015,22.038889, SAO CARLOS, A743,"-21,980,353","-47,883,927"
10/31/2015,23.978629, SAO CARLOS, A744,"-21,980,353","-47,883,927"
11/30/2015,22.860139, SAO CARLOS, A745,"-21,980,353","-47,883,927"
12/31/2015,23.126882, SAO CARLOS, A746,"-21,980,353","-47,883,927"
1/31/2016,22.651075, SAO CARLOS, A747,"-21,980,353","-47,883,927"
2/29/2016,23.874554, SAO CARLOS, A748,"-21,980,353","-47,883,927"
3/31/2016,null, SAO CARLOS, A749,"-21,980,353","-47,883,927"
4/30/2016,21.662745, SAO CARLOS, A750,"-21,980,353","-47,883,927"
5/31/2016,18.536828, SAO CARLOS, A751,"-21,980,353","-47,883,927"
6/30/2016,16.490833, SAO CARLOS, A752,"-21,980,353","-47,883,927"
7/31/2016,18.229167, SAO CARLOS, A753,"-21,980,353","-47,883,927"
