Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,20.466935, SAO LUIZ DO PARAITINGA, A740,"-2,322,833,332","-4,541,694,443"
2/28/2013,21.477976, SAO LUIZ DO PARAITINGA, A741,"-2,322,833,332","-4,541,694,443"
3/31/2013,20.586782, SAO LUIZ DO PARAITINGA, A742,"-2,322,833,332","-4,541,694,443"
4/30/2013,17.9475, SAO LUIZ DO PARAITINGA, A743,"-2,322,833,332","-4,541,694,443"
5/31/2013,16.858333, SAO LUIZ DO PARAITINGA, A744,"-2,322,833,332","-4,541,694,443"
6/30/2013,16.589789, SAO LUIZ DO PARAITINGA, A745,"-2,322,833,332","-4,541,694,443"
7/31/2013,14.887634, SAO LUIZ DO PARAITINGA, A746,"-2,322,833,332","-4,541,694,443"
8/31/2013,16.129839, SAO LUIZ DO PARAITINGA, A747,"-2,322,833,332","-4,541,694,443"
9/30/2013,17.822917, SAO LUIZ DO PARAITINGA, A748,"-2,322,833,332","-4,541,694,443"
10/31/2013,18.236694, SAO LUIZ DO PARAITINGA, A749,"-2,322,833,332","-4,541,694,443"
11/30/2013,19.757917, SAO LUIZ DO PARAITINGA, A750,"-2,322,833,332","-4,541,694,443"
12/31/2013,21.094758, SAO LUIZ DO PARAITINGA, A751,"-2,322,833,332","-4,541,694,443"
1/31/2014,22.57381, SAO LUIZ DO PARAITINGA, A752,"-2,322,833,332","-4,541,694,443"
2/28/2014,23.120387, SAO LUIZ DO PARAITINGA, A753,"-2,322,833,332","-4,541,694,443"
3/31/2014,21.222715, SAO LUIZ DO PARAITINGA, A754,"-2,322,833,332","-4,541,694,443"
4/30/2014,18.992083, SAO LUIZ DO PARAITINGA, A755,"-2,322,833,332","-4,541,694,443"
5/31/2014,16.72621, SAO LUIZ DO PARAITINGA, A756,"-2,322,833,332","-4,541,694,443"
6/30/2014,16.663333, SAO LUIZ DO PARAITINGA, A757,"-2,322,833,332","-4,541,694,443"
7/31/2014,15.353898, SAO LUIZ DO PARAITINGA, A758,"-2,322,833,332","-4,541,694,443"
8/31/2014,16.272849, SAO LUIZ DO PARAITINGA, A759,"-2,322,833,332","-4,541,694,443"
9/30/2014,18.593472, SAO LUIZ DO PARAITINGA, A760,"-2,322,833,332","-4,541,694,443"
10/31/2014,19.587366, SAO LUIZ DO PARAITINGA, A761,"-2,322,833,332","-4,541,694,443"
11/30/2014,20.101528, SAO LUIZ DO PARAITINGA, A762,"-2,322,833,332","-4,541,694,443"
12/31/2014,21.595968, SAO LUIZ DO PARAITINGA, A763,"-2,322,833,332","-4,541,694,443"
1/31/2015,23.12333, SAO LUIZ DO PARAITINGA, A764,"-2,322,833,332","-4,541,694,443"
2/28/2015,21.449659, SAO LUIZ DO PARAITINGA, A765,"-2,322,833,332","-4,541,694,443"
