Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,20.985349, SAO MIGUEL ARCANJO, A715,"-2,385,194,444","-4,816,472,222"
2/28/2013,22.636218, SAO MIGUEL ARCANJO, A716,"-2,385,194,444","-4,816,472,222"
3/31/2013,20.799563, SAO MIGUEL ARCANJO, A717,"-2,385,194,444","-4,816,472,222"
4/30/2013,19.164792, SAO MIGUEL ARCANJO, A718,"-2,385,194,444","-4,816,472,222"
5/31/2013,null, SAO MIGUEL ARCANJO, A719,"-2,385,194,444","-4,816,472,222"
6/30/2013,16.791455, SAO MIGUEL ARCANJO, A720,"-2,385,194,444","-4,816,472,222"
7/31/2013,15.795994, SAO MIGUEL ARCANJO, A721,"-2,385,194,444","-4,816,472,222"
8/31/2013,16.210732, SAO MIGUEL ARCANJO, A722,"-2,385,194,444","-4,816,472,222"
9/30/2013,19.008957, SAO MIGUEL ARCANJO, A723,"-2,385,194,444","-4,816,472,222"
10/31/2013,null, SAO MIGUEL ARCANJO, A724,"-2,385,194,444","-4,816,472,222"
11/30/2013,20.654167, SAO MIGUEL ARCANJO, A725,"-2,385,194,444","-4,816,472,222"
12/31/2013,21.994508, SAO MIGUEL ARCANJO, A726,"-2,385,194,444","-4,816,472,222"
1/31/2014,null, SAO MIGUEL ARCANJO, A727,"-2,385,194,444","-4,816,472,222"
2/28/2014,null, SAO MIGUEL ARCANJO, A728,"-2,385,194,444","-4,816,472,222"
3/31/2014,null, SAO MIGUEL ARCANJO, A729,"-2,385,194,444","-4,816,472,222"
4/30/2014,null, SAO MIGUEL ARCANJO, A730,"-2,385,194,444","-4,816,472,222"
5/31/2014,16.969, SAO MIGUEL ARCANJO, A731,"-2,385,194,444","-4,816,472,222"
6/30/2014,17.048056, SAO MIGUEL ARCANJO, A732,"-2,385,194,444","-4,816,472,222"
7/31/2014,15.696909, SAO MIGUEL ARCANJO, A733,"-2,385,194,444","-4,816,472,222"
8/31/2014,17.334846, SAO MIGUEL ARCANJO, A734,"-2,385,194,444","-4,816,472,222"
9/30/2014,18.754945, SAO MIGUEL ARCANJO, A735,"-2,385,194,444","-4,816,472,222"
10/31/2014,20.221505, SAO MIGUEL ARCANJO, A736,"-2,385,194,444","-4,816,472,222"
11/30/2014,20.485139, SAO MIGUEL ARCANJO, A737,"-2,385,194,444","-4,816,472,222"
