Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
3/31/2018,22.535937, SAO PAULO - INTERLAGOS, A771,"-23,724,501","-46,677,501"
4/30/2018,20.185139, SAO PAULO - INTERLAGOS, A772,"-23,724,501","-46,677,501"
5/31/2018,18.177688, SAO PAULO - INTERLAGOS, A773,"-23,724,501","-46,677,501"
6/30/2018,17.507917, SAO PAULO - INTERLAGOS, A774,"-23,724,501","-46,677,501"
7/31/2018,17.245161, SAO PAULO - INTERLAGOS, A775,"-23,724,501","-46,677,501"
8/31/2018,15.888441, SAO PAULO - INTERLAGOS, A776,"-23,724,501","-46,677,501"
9/30/2018,17.862083, SAO PAULO - INTERLAGOS, A777,"-23,724,501","-46,677,501"
10/31/2018,18.817742, SAO PAULO - INTERLAGOS, A778,"-23,724,501","-46,677,501"
11/30/2018,19.705, SAO PAULO - INTERLAGOS, A779,"-23,724,501","-46,677,501"
12/31/2018,22.213844, SAO PAULO - INTERLAGOS, A780,"-23,724,501","-46,677,501"
1/31/2019,24.525538, SAO PAULO - INTERLAGOS, A781,"-23,724,501","-46,677,501"
2/28/2019,22.411161, SAO PAULO - INTERLAGOS, A782,"-23,724,501","-46,677,501"
3/31/2019,21.764516, SAO PAULO - INTERLAGOS, A783,"-23,724,501","-46,677,501"
4/30/2019,21.224583, SAO PAULO - INTERLAGOS, A784,"-23,724,501","-46,677,501"
5/31/2019,19.701882, SAO PAULO - INTERLAGOS, A785,"-23,724,501","-46,677,501"
6/30/2019,18.149583, SAO PAULO - INTERLAGOS, A786,"-23,724,501","-46,677,501"
7/31/2019,16.108199, SAO PAULO - INTERLAGOS, A787,"-23,724,501","-46,677,501"
8/31/2019,16.562231, SAO PAULO - INTERLAGOS, A788,"-23,724,501","-46,677,501"
9/30/2019,18.754722, SAO PAULO - INTERLAGOS, A789,"-23,724,501","-46,677,501"
10/31/2019,20.476613, SAO PAULO - INTERLAGOS, A790,"-23,724,501","-46,677,501"
11/30/2019,19.765278, SAO PAULO - INTERLAGOS, A791,"-23,724,501","-46,677,501"
12/31/2019,21.357661, SAO PAULO - INTERLAGOS, A792,"-23,724,501","-46,677,501"
1/31/2020,22.168683, SAO PAULO - INTERLAGOS, A793,"-23,724,501","-46,677,501"
2/29/2020,21.183908, SAO PAULO - INTERLAGOS, A794,"-23,724,501","-46,677,501"
3/31/2020,20.441264, SAO PAULO - INTERLAGOS, A795,"-23,724,501","-46,677,501"
