Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
10/31/2017,null, SAO SEBASTIAO, A767,"-2,381,083,333","-454,025"
11/30/2017,23.20875, SAO SEBASTIAO, A768,"-2,381,083,333","-454,025"
12/31/2017,25.144624, SAO SEBASTIAO, A769,"-2,381,083,333","-454,025"
1/31/2018,26.531317, SAO SEBASTIAO, A770,"-2,381,083,333","-454,025"
2/28/2018,25.610565, SAO SEBASTIAO, A771,"-2,381,083,333","-454,025"
3/31/2018,27.228629, SAO SEBASTIAO, A772,"-2,381,083,333","-454,025"
4/30/2018,25.014444, SAO SEBASTIAO, A773,"-2,381,083,333","-454,025"
5/31/2018,22.85, SAO SEBASTIAO, A774,"-2,381,083,333","-454,025"
6/30/2018,21.441944, SAO SEBASTIAO, A775,"-2,381,083,333","-454,025"
7/31/2018,20.877151, SAO SEBASTIAO, A776,"-2,381,083,333","-454,025"
8/31/2018,19.67957, SAO SEBASTIAO, A777,"-2,381,083,333","-454,025"
9/30/2018,21.915, SAO SEBASTIAO, A778,"-2,381,083,333","-454,025"
10/31/2018,22.827554, SAO SEBASTIAO, A779,"-2,381,083,333","-454,025"
11/30/2018,23.715278, SAO SEBASTIAO, A780,"-2,381,083,333","-454,025"
12/31/2018,26.238978, SAO SEBASTIAO, A781,"-2,381,083,333","-454,025"
1/31/2019,28.808602, SAO SEBASTIAO, A782,"-2,381,083,333","-454,025"
2/28/2019,26.615774, SAO SEBASTIAO, A783,"-2,381,083,333","-454,025"
3/31/2019,26.097043, SAO SEBASTIAO, A784,"-2,381,083,333","-454,025"
4/30/2019,25.440139, SAO SEBASTIAO, A785,"-2,381,083,333","-454,025"
5/31/2019,23.982527, SAO SEBASTIAO, A786,"-2,381,083,333","-454,025"
6/30/2019,22.502222, SAO SEBASTIAO, A787,"-2,381,083,333","-454,025"
7/31/2019,20.801613, SAO SEBASTIAO, A788,"-2,381,083,333","-454,025"
8/31/2019,20.985349, SAO SEBASTIAO, A789,"-2,381,083,333","-454,025"
9/30/2019,21.378472, SAO SEBASTIAO, A790,"-2,381,083,333","-454,025"
10/31/2019,23.979973, SAO SEBASTIAO, A791,"-2,381,083,333","-454,025"
