Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
7/31/2019,18.641815, SAO SIMAO, A770,"-2,146,111,111","-4,757,944,443"
8/31/2019,20.681297, SAO SIMAO, A771,"-2,146,111,111","-4,757,944,443"
9/30/2019,24.628194, SAO SIMAO, A772,"-2,146,111,111","-4,757,944,443"
10/31/2019,25.87957, SAO SIMAO, A773,"-2,146,111,111","-4,757,944,443"
11/30/2019,24.703889, SAO SIMAO, A774,"-2,146,111,111","-4,757,944,443"
12/31/2019,24.701794, SAO SIMAO, A775,"-2,146,111,111","-4,757,944,443"
1/31/2020,24.685349, SAO SIMAO, A776,"-2,146,111,111","-4,757,944,443"
2/29/2020,23.932477, SAO SIMAO, A777,"-2,146,111,111","-4,757,944,443"
3/31/2020,24.050823, SAO SIMAO, A778,"-2,146,111,111","-4,757,944,443"
4/30/2020,22.098581, SAO SIMAO, A779,"-2,146,111,111","-4,757,944,443"
5/31/2020,18.856048, SAO SIMAO, A780,"-2,146,111,111","-4,757,944,443"
6/30/2020,20.521667, SAO SIMAO, A781,"-2,146,111,111","-4,757,944,443"
7/31/2020,20.521505, SAO SIMAO, A782,"-2,146,111,111","-4,757,944,443"
8/31/2020,21.479839, SAO SIMAO, A783,"-2,146,111,111","-4,757,944,443"
9/30/2020,25.85375, SAO SIMAO, A784,"-2,146,111,111","-4,757,944,443"
10/31/2020,25.82621, SAO SIMAO, A785,"-2,146,111,111","-4,757,944,443"
11/30/2020,24.648588, SAO SIMAO, A786,"-2,146,111,111","-4,757,944,443"
12/31/2020,24.316997, SAO SIMAO, A787,"-2,146,111,111","-4,757,944,443"
1/31/2021,25.398671, SAO SIMAO, A788,"-2,146,111,111","-4,757,944,443"
2/28/2021,24.462798, SAO SIMAO, A789,"-2,146,111,111","-4,757,944,443"
3/31/2021,24.737605, SAO SIMAO, A790,"-2,146,111,111","-4,757,944,443"
4/30/2021,22.309167, SAO SIMAO, A791,"-2,146,111,111","-4,757,944,443"
5/31/2021,20.385618, SAO SIMAO, A792,"-2,146,111,111","-4,757,944,443"
6/30/2021,19.570139, SAO SIMAO, A793,"-2,146,111,111","-4,757,944,443"
7/31/2021,17.84207, SAO SIMAO, A794,"-2,146,111,111","-4,757,944,443"
8/31/2021,22.09207, SAO SIMAO, A795,"-2,146,111,111","-4,757,944,443"
9/30/2021,26.4966, SAO SIMAO, A796,"-2,146,111,111","-4,757,944,443"
10/31/2021,23.548878, SAO SIMAO, A797,"-2,146,111,111","-4,757,944,443"
11/30/2021,24.562751, SAO SIMAO, A798,"-2,146,111,111","-4,757,944,443"
12/31/2021,24.068417, SAO SIMAO, A799,"-2,146,111,111","-4,757,944,443"
1/31/2022,24.042835, SAO SIMAO, A800,"-2,146,111,111","-4,757,944,443"
2/28/2022,24.659858, SAO SIMAO, A801,"-2,146,111,111","-4,757,944,443"
3/31/2022,25.196299, SAO SIMAO, A802,"-2,146,111,111","-4,757,944,443"
4/30/2022,23.313333, SAO SIMAO, A803,"-2,146,111,111","-4,757,944,443"
5/31/2022,18.831183, SAO SIMAO, A804,"-2,146,111,111","-4,757,944,443"
6/30/2022,19.258889, SAO SIMAO, A805,"-2,146,111,111","-4,757,944,443"
7/31/2022,20.52164, SAO SIMAO, A806,"-2,146,111,111","-4,757,944,443"
8/31/2022,20.940591, SAO SIMAO, A807,"-2,146,111,111","-4,757,944,443"
9/30/2022,22.29529, SAO SIMAO, A808,"-2,146,111,111","-4,757,944,443"
10/31/2022,24.232158, SAO SIMAO, A809,"-2,146,111,111","-4,757,944,443"
11/30/2022,22.825793, SAO SIMAO, A810,"-2,146,111,111","-4,757,944,443"
12/31/2022,23.714611, SAO SIMAO, A811,"-2,146,111,111","-4,757,944,443"
1/31/2023,23.475178, SAO SIMAO, A812,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A813,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A814,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A815,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A816,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A817,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A818,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A819,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A820,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A821,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A822,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A823,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A824,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A825,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A826,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A827,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A828,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A829,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A830,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A831,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A832,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A833,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A834,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A835,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A836,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A837,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A838,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A839,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A840,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A841,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A842,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A843,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A844,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A845,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A846,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A847,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A848,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A849,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A850,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A851,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A852,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A853,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A854,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A855,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A856,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A857,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A858,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A859,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A860,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A861,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A862,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A863,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A864,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A865,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A866,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A867,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A868,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A869,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A870,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A871,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A872,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A873,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A874,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A875,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A876,"-2,146,111,111","-4,757,944,443"
,, SAO SIMAO, A877,"-2,146,111,111","-4,757,944,443"
