Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,22.007495, SOROCABA, A713,"-234,261,111","-4,758,555,555"
2/28/2013,23.232143, SOROCABA, A714,"-234,261,111","-4,758,555,555"
3/31/2013,22.14842, SOROCABA, A715,"-234,261,111","-4,758,555,555"
4/30/2013,19.873472, SOROCABA, A716,"-234,261,111","-4,758,555,555"
5/31/2013,18.613524, SOROCABA, A717,"-234,261,111","-4,758,555,555"
6/30/2013,17.493269, SOROCABA, A718,"-234,261,111","-4,758,555,555"
7/31/2013,16.271875, SOROCABA, A719,"-234,261,111","-4,758,555,555"
8/31/2013,17.21586, SOROCABA, A720,"-234,261,111","-4,758,555,555"
9/30/2013,19.295139, SOROCABA, A721,"-234,261,111","-4,758,555,555"
10/31/2013,20.365726, SOROCABA, A722,"-234,261,111","-4,758,555,555"
11/30/2013,21.865833, SOROCABA, A723,"-234,261,111","-4,758,555,555"
12/31/2013,23.413306, SOROCABA, A724,"-234,261,111","-4,758,555,555"
1/31/2014,24.832393, SOROCABA, A725,"-234,261,111","-4,758,555,555"
2/28/2014,25.22872, SOROCABA, A726,"-234,261,111","-4,758,555,555"
3/31/2014,23.018056, SOROCABA, A727,"-234,261,111","-4,758,555,555"
4/30/2014,20.995141, SOROCABA, A728,"-234,261,111","-4,758,555,555"
5/31/2014,18.642074, SOROCABA, A729,"-234,261,111","-4,758,555,555"
6/30/2014,17.91681, SOROCABA, A730,"-234,261,111","-4,758,555,555"
7/31/2014,17.02162, SOROCABA, A731,"-234,261,111","-4,758,555,555"
8/31/2014,18.529167, SOROCABA, A732,"-234,261,111","-4,758,555,555"
9/30/2014,20.530695, SOROCABA, A733,"-234,261,111","-4,758,555,555"
10/31/2014,22.296505, SOROCABA, A734,"-234,261,111","-4,758,555,555"
11/30/2014,21.920694, SOROCABA, A735,"-234,261,111","-4,758,555,555"
12/31/2014,23.096774, SOROCABA, A736,"-234,261,111","-4,758,555,555"
1/31/2015,25.089475, SOROCABA, A737,"-234,261,111","-4,758,555,555"
2/28/2015,22.914881, SOROCABA, A738,"-234,261,111","-4,758,555,555"
3/31/2015,22.043952, SOROCABA, A739,"-234,261,111","-4,758,555,555"
4/30/2015,20.748333, SOROCABA, A740,"-234,261,111","-4,758,555,555"
5/31/2015,18.365188, SOROCABA, A741,"-234,261,111","-4,758,555,555"
6/30/2015,17.720556, SOROCABA, A742,"-234,261,111","-4,758,555,555"
7/31/2015,17.337769, SOROCABA, A743,"-234,261,111","-4,758,555,555"
8/31/2015,19.296909, SOROCABA, A744,"-234,261,111","-4,758,555,555"
9/30/2015,20.940972, SOROCABA, A745,"-234,261,111","-4,758,555,555"
10/31/2015,22.307661, SOROCABA, A746,"-234,261,111","-4,758,555,555"
11/30/2015,22.468333, SOROCABA, A747,"-234,261,111","-4,758,555,555"
12/31/2015,23.409921, SOROCABA, A748,"-234,261,111","-4,758,555,555"
1/31/2016,22.878788, SOROCABA, A749,"-234,261,111","-4,758,555,555"
2/29/2016,24.024282, SOROCABA, A750,"-234,261,111","-4,758,555,555"
3/31/2016,23.095564, SOROCABA, A751,"-234,261,111","-4,758,555,555"
4/30/2016,23.056944, SOROCABA, A752,"-234,261,111","-4,758,555,555"
5/31/2016,17.950309, SOROCABA, A753,"-234,261,111","-4,758,555,555"
6/30/2016,15.426006, SOROCABA, A754,"-234,261,111","-4,758,555,555"
7/31/2016,17.104839, SOROCABA, A755,"-234,261,111","-4,758,555,555"
8/31/2016,17.839651, SOROCABA, A756,"-234,261,111","-4,758,555,555"
9/30/2016,18.873195, SOROCABA, A757,"-234,261,111","-4,758,555,555"
10/31/2016,20.910753, SOROCABA, A758,"-234,261,111","-4,758,555,555"
11/30/2016,21.306944, SOROCABA, A759,"-234,261,111","-4,758,555,555"
12/31/2016,22.996505, SOROCABA, A760,"-234,261,111","-4,758,555,555"
1/31/2017,23.384677, SOROCABA, A761,"-234,261,111","-4,758,555,555"
2/28/2017,24.16131, SOROCABA, A762,"-234,261,111","-4,758,555,555"
3/31/2017,22.417608, SOROCABA, A763,"-234,261,111","-4,758,555,555"
4/30/2017,20.473194, SOROCABA, A764,"-234,261,111","-4,758,555,555"
5/31/2017,18.77043, SOROCABA, A765,"-234,261,111","-4,758,555,555"
6/30/2017,16.891944, SOROCABA, A766,"-234,261,111","-4,758,555,555"
7/31/2017,16.330511, SOROCABA, A767,"-234,261,111","-4,758,555,555"
8/31/2017,17.713172, SOROCABA, A768,"-234,261,111","-4,758,555,555"
9/30/2017,21.558333, SOROCABA, A769,"-234,261,111","-4,758,555,555"
10/31/2017,21.615726, SOROCABA, A770,"-234,261,111","-4,758,555,555"
11/30/2017,21.313611, SOROCABA, A771,"-234,261,111","-4,758,555,555"
12/31/2017,22.865995, SOROCABA, A772,"-234,261,111","-4,758,555,555"
1/31/2018,22.928763, SOROCABA, A773,"-234,261,111","-4,758,555,555"
2/28/2018,22.379315, SOROCABA, A774,"-234,261,111","-4,758,555,555"
3/31/2018,23.702823, SOROCABA, A775,"-234,261,111","-4,758,555,555"
4/30/2018,21.312361, SOROCABA, A776,"-234,261,111","-4,758,555,555"
5/31/2018,18.964224, SOROCABA, A777,"-234,261,111","-4,758,555,555"
6/30/2018,18.826136, SOROCABA, A778,"-234,261,111","-4,758,555,555"
7/31/2018,18.193548, SOROCABA, A779,"-234,261,111","-4,758,555,555"
8/31/2018,17.14664, SOROCABA, A780,"-234,261,111","-4,758,555,555"
9/30/2018,19.605694, SOROCABA, A781,"-234,261,111","-4,758,555,555"
10/31/2018,20.966667, SOROCABA, A782,"-234,261,111","-4,758,555,555"
11/30/2018,21.753889, SOROCABA, A783,"-234,261,111","-4,758,555,555"
12/31/2018,23.909946, SOROCABA, A784,"-234,261,111","-4,758,555,555"
1/31/2019,25.054839, SOROCABA, A785,"-234,261,111","-4,758,555,555"
2/28/2019,23.20506, SOROCABA, A786,"-234,261,111","-4,758,555,555"
3/31/2019,22.911962, SOROCABA, A787,"-234,261,111","-4,758,555,555"
4/30/2019,21.986806, SOROCABA, A788,"-234,261,111","-4,758,555,555"
5/31/2019,19.880645, SOROCABA, A789,"-234,261,111","-4,758,555,555"
6/30/2019,18.225556, SOROCABA, A790,"-234,261,111","-4,758,555,555"
7/31/2019,null, SOROCABA, A791,"-234,261,111","-4,758,555,555"
8/31/2019,null, SOROCABA, A792,"-234,261,111","-4,758,555,555"
9/30/2019,null, SOROCABA, A793,"-234,261,111","-4,758,555,555"
