Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,22.490054, TAUBATE, A728,"-2,304,166,666","-4,552,083,332"
2/28/2013,23.187351, TAUBATE, A729,"-2,304,166,666","-4,552,083,332"
3/31/2013,null, TAUBATE, A730,"-2,304,166,666","-4,552,083,332"
4/30/2013,18.43, TAUBATE, A731,"-2,304,166,666","-4,552,083,332"
5/31/2013,18.553226, TAUBATE, A732,"-2,304,166,666","-4,552,083,332"
6/30/2013,18.35625, TAUBATE, A733,"-2,304,166,666","-4,552,083,332"
7/31/2013,16.23871, TAUBATE, A734,"-2,304,166,666","-4,552,083,332"
8/31/2013,17.561559, TAUBATE, A735,"-2,304,166,666","-4,552,083,332"
9/30/2013,19.845833, TAUBATE, A736,"-2,304,166,666","-4,552,083,332"
10/31/2013,20.695296, TAUBATE, A737,"-2,304,166,666","-4,552,083,332"
11/30/2013,21.991389, TAUBATE, A738,"-2,304,166,666","-4,552,083,332"
12/31/2013,23.610618, TAUBATE, A739,"-2,304,166,666","-4,552,083,332"
1/31/2014,24.988575, TAUBATE, A740,"-2,304,166,666","-4,552,083,332"
2/28/2014,25.670238, TAUBATE, A741,"-2,304,166,666","-4,552,083,332"
3/31/2014,23.461962, TAUBATE, A742,"-2,304,166,666","-4,552,083,332"
4/30/2014,21.188056, TAUBATE, A743,"-2,304,166,666","-4,552,083,332"
5/31/2014,18.464516, TAUBATE, A744,"-2,304,166,666","-4,552,083,332"
6/30/2014,18.039722, TAUBATE, A745,"-2,304,166,666","-4,552,083,332"
7/31/2014,16.810127, TAUBATE, A746,"-2,304,166,666","-4,552,083,332"
8/31/2014,17.793034, TAUBATE, A747,"-2,304,166,666","-4,552,083,332"
9/30/2014,20.755833, TAUBATE, A748,"-2,304,166,666","-4,552,083,332"
10/31/2014,22.185887, TAUBATE, A749,"-2,304,166,666","-4,552,083,332"
11/30/2014,22.734167, TAUBATE, A750,"-2,304,166,666","-4,552,083,332"
12/31/2014,24.028763, TAUBATE, A751,"-2,304,166,666","-4,552,083,332"
1/31/2015,25.654435, TAUBATE, A752,"-2,304,166,666","-4,552,083,332"
