Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
5/31/2017,22.116295, TUPA, A768,"-21,927,251","-50,490,251"
6/30/2017,19.896121, TUPA, A769,"-21,927,251","-50,490,251"
7/31/2017,19.564013, TUPA, A770,"-21,927,251","-50,490,251"
8/31/2017,21.674861, TUPA, A771,"-21,927,251","-50,490,251"
9/30/2017,25.339496, TUPA, A772,"-21,927,251","-50,490,251"
10/31/2017,24.261362, TUPA, A773,"-21,927,251","-50,490,251"
11/30/2017,24.163014, TUPA, A774,"-21,927,251","-50,490,251"
12/31/2017,25.43372, TUPA, A775,"-21,927,251","-50,490,251"
1/31/2018,24.947657, TUPA, A776,"-21,927,251","-50,490,251"
2/28/2018,24.3864, TUPA, A777,"-21,927,251","-50,490,251"
3/31/2018,26.317669, TUPA, A778,"-21,927,251","-50,490,251"
4/30/2018,24.459354, TUPA, A779,"-21,927,251","-50,490,251"
5/31/2018,22.351907, TUPA, A780,"-21,927,251","-50,490,251"
6/30/2018,21.62764, TUPA, A781,"-21,927,251","-50,490,251"
7/31/2018,22.556989, TUPA, A782,"-21,927,251","-50,490,251"
8/31/2018,20.664113, TUPA, A783,"-21,927,251","-50,490,251"
9/30/2018,23.847428, TUPA, A784,"-21,927,251","-50,490,251"
10/31/2018,25.743426, TUPA, A785,"-21,927,251","-50,490,251"
11/30/2018,25.858736, TUPA, A786,"-21,927,251","-50,490,251"
12/31/2018,null, TUPA, A787,"-21,927,251","-50,490,251"
1/31/2019,28.618467, TUPA, A788,"-21,927,251","-50,490,251"
2/28/2019,null, TUPA, A789,"-21,927,251","-50,490,251"
3/31/2019,25.134167, TUPA, A790,"-21,927,251","-50,490,251"
4/30/2019,24.658382, TUPA, A791,"-21,927,251","-50,490,251"
5/31/2019,22.650672, TUPA, A792,"-21,927,251","-50,490,251"
6/30/2019,21.715972, TUPA, A793,"-21,927,251","-50,490,251"
7/31/2019,20.32836, TUPA, A794,"-21,927,251","-50,490,251"
8/31/2019,21.775441, TUPA, A795,"-21,927,251","-50,490,251"
9/30/2019,24.919861, TUPA, A796,"-21,927,251","-50,490,251"
10/31/2019,26.629274, TUPA, A797,"-21,927,251","-50,490,251"
11/30/2019,25.785223, TUPA, A798,"-21,927,251","-50,490,251"
12/31/2019,25.351397, TUPA, A799,"-21,927,251","-50,490,251"
1/31/2020,25.557901, TUPA, A800,"-21,927,251","-50,490,251"
2/29/2020,24.496764, TUPA, A801,"-21,927,251","-50,490,251"
3/31/2020,25.062018, TUPA, A802,"-21,927,251","-50,490,251"
4/30/2020,23.155417, TUPA, A803,"-21,927,251","-50,490,251"
5/31/2020,20.31153, TUPA, A804,"-21,927,251","-50,490,251"
6/30/2020,21.235, TUPA, A805,"-21,927,251","-50,490,251"
7/31/2020,21.331586, TUPA, A806,"-21,927,251","-50,490,251"
8/31/2020,21.254903, TUPA, A807,"-21,927,251","-50,490,251"
9/30/2020,26.748194, TUPA, A808,"-21,927,251","-50,490,251"
10/31/2020,26.306767, TUPA, A809,"-21,927,251","-50,490,251"
11/30/2020,25.576036, TUPA, A810,"-21,927,251","-50,490,251"
12/31/2020,25.163401, TUPA, A811,"-21,927,251","-50,490,251"
1/31/2021,25.210071, TUPA, A812,"-21,927,251","-50,490,251"
2/28/2021,25.097393, TUPA, A813,"-21,927,251","-50,490,251"
3/31/2021,null, TUPA, A814,"-21,927,251","-50,490,251"
4/30/2021,23.239583, TUPA, A815,"-21,927,251","-50,490,251"
5/31/2021,21.91371, TUPA, A816,"-21,927,251","-50,490,251"
6/30/2021,19.799583, TUPA, A817,"-21,927,251","-50,490,251"
7/31/2021,18.821663, TUPA, A818,"-21,927,251","-50,490,251"
8/31/2021,22.950134, TUPA, A819,"-21,927,251","-50,490,251"
9/30/2021,26.261869, TUPA, A820,"-21,927,251","-50,490,251"
10/31/2021,23.063284, TUPA, A821,"-21,927,251","-50,490,251"
11/30/2021,25.898028, TUPA, A822,"-21,927,251","-50,490,251"
12/31/2021,25.315497, TUPA, A823,"-21,927,251","-50,490,251"
1/31/2022,25.28165, TUPA, A824,"-21,927,251","-50,490,251"
2/28/2022,25.85149, TUPA, A825,"-21,927,251","-50,490,251"
3/31/2022,25.543369, TUPA, A826,"-21,927,251","-50,490,251"
4/30/2022,23.847766, TUPA, A827,"-21,927,251","-50,490,251"
5/31/2022,19.851344, TUPA, A828,"-21,927,251","-50,490,251"
6/30/2022,20.081787, TUPA, A829,"-21,927,251","-50,490,251"
7/31/2022,22.464955, TUPA, A830,"-21,927,251","-50,490,251"
8/31/2022,20.585973, TUPA, A831,"-21,927,251","-50,490,251"
9/30/2022,21.925662, TUPA, A832,"-21,927,251","-50,490,251"
10/31/2022,null, TUPA, A833,"-21,927,251","-50,490,251"
11/30/2022,23.333499, TUPA, A834,"-21,927,251","-50,490,251"
12/31/2022,24.622283, TUPA, A835,"-21,927,251","-50,490,251"
1/31/2023,24.57197, TUPA, A836,"-21,927,251","-50,490,251"
,, TUPA, A837,"-21,927,251","-50,490,251"
,, TUPA, A838,"-21,927,251","-50,490,251"
,, TUPA, A839,"-21,927,251","-50,490,251"
,, TUPA, A840,"-21,927,251","-50,490,251"
,, TUPA, A841,"-21,927,251","-50,490,251"
,, TUPA, A842,"-21,927,251","-50,490,251"
,, TUPA, A843,"-21,927,251","-50,490,251"
,, TUPA, A844,"-21,927,251","-50,490,251"
,, TUPA, A845,"-21,927,251","-50,490,251"
,, TUPA, A846,"-21,927,251","-50,490,251"
,, TUPA, A847,"-21,927,251","-50,490,251"
,, TUPA, A848,"-21,927,251","-50,490,251"
,, TUPA, A849,"-21,927,251","-50,490,251"
,, TUPA, A850,"-21,927,251","-50,490,251"
,, TUPA, A851,"-21,927,251","-50,490,251"
,, TUPA, A852,"-21,927,251","-50,490,251"
,, TUPA, A853,"-21,927,251","-50,490,251"
,, TUPA, A854,"-21,927,251","-50,490,251"
,, TUPA, A855,"-21,927,251","-50,490,251"
,, TUPA, A856,"-21,927,251","-50,490,251"
,, TUPA, A857,"-21,927,251","-50,490,251"
,, TUPA, A858,"-21,927,251","-50,490,251"
,, TUPA, A859,"-21,927,251","-50,490,251"
,, TUPA, A860,"-21,927,251","-50,490,251"
,, TUPA, A861,"-21,927,251","-50,490,251"
,, TUPA, A862,"-21,927,251","-50,490,251"
,, TUPA, A863,"-21,927,251","-50,490,251"
,, TUPA, A864,"-21,927,251","-50,490,251"
,, TUPA, A865,"-21,927,251","-50,490,251"
,, TUPA, A866,"-21,927,251","-50,490,251"
,, TUPA, A867,"-21,927,251","-50,490,251"
,, TUPA, A868,"-21,927,251","-50,490,251"
,, TUPA, A869,"-21,927,251","-50,490,251"
,, TUPA, A870,"-21,927,251","-50,490,251"
,, TUPA, A871,"-21,927,251","-50,490,251"
,, TUPA, A872,"-21,927,251","-50,490,251"
,, TUPA, A873,"-21,927,251","-50,490,251"
,, TUPA, A874,"-21,927,251","-50,490,251"
,, TUPA, A875,"-21,927,251","-50,490,251"
,, TUPA, A876,"-21,927,251","-50,490,251"
,, TUPA, A877,"-21,927,251","-50,490,251"
,, TUPA, A878,"-21,927,251","-50,490,251"
,, TUPA, A879,"-21,927,251","-50,490,251"
,, TUPA, A880,"-21,927,251","-50,490,251"
,, TUPA, A881,"-21,927,251","-50,490,251"
,, TUPA, A882,"-21,927,251","-50,490,251"
,, TUPA, A883,"-21,927,251","-50,490,251"
,, TUPA, A884,"-21,927,251","-50,490,251"
,, TUPA, A885,"-21,927,251","-50,490,251"
,, TUPA, A886,"-21,927,251","-50,490,251"
,, TUPA, A887,"-21,927,251","-50,490,251"
,, TUPA, A888,"-21,927,251","-50,490,251"
