Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,25.416801, VALPARAISO, A734,"-2,131,916,666","-5,093,027,777"
2/28/2013,25.331101, VALPARAISO, A735,"-2,131,916,666","-5,093,027,777"
3/31/2013,25.046552, VALPARAISO, A736,"-2,131,916,666","-5,093,027,777"
4/30/2013,22.540278, VALPARAISO, A737,"-2,131,916,666","-5,093,027,777"
5/31/2013,21.194893, VALPARAISO, A738,"-2,131,916,666","-5,093,027,777"
6/30/2013,21.129179, VALPARAISO, A739,"-2,131,916,666","-5,093,027,777"
7/31/2013,18.823925, VALPARAISO, A740,"-2,131,916,666","-5,093,027,777"
8/31/2013,19.800275, VALPARAISO, A741,"-2,131,916,666","-5,093,027,777"
9/30/2013,23.415278, VALPARAISO, A742,"-2,131,916,666","-5,093,027,777"
10/31/2013,24.286694, VALPARAISO, A743,"-2,131,916,666","-5,093,027,777"
11/30/2013,25.163056, VALPARAISO, A744,"-2,131,916,666","-5,093,027,777"
12/31/2013,26.561962, VALPARAISO, A745,"-2,131,916,666","-5,093,027,777"
1/31/2014,25.844893, VALPARAISO, A746,"-2,131,916,666","-5,093,027,777"
2/28/2014,26.653125, VALPARAISO, A747,"-2,131,916,666","-5,093,027,777"
3/31/2014,null, VALPARAISO, A748,"-2,131,916,666","-5,093,027,777"
4/30/2014,23.872375, VALPARAISO, A749,"-2,131,916,666","-5,093,027,777"
5/31/2014,21.088708, VALPARAISO, A750,"-2,131,916,666","-5,093,027,777"
6/30/2014,20.638198, VALPARAISO, A751,"-2,131,916,666","-5,093,027,777"
7/31/2014,19.612079, VALPARAISO, A752,"-2,131,916,666","-5,093,027,777"
8/31/2014,22.584306, VALPARAISO, A753,"-2,131,916,666","-5,093,027,777"
9/30/2014,24.407143, VALPARAISO, A754,"-2,131,916,666","-5,093,027,777"
10/31/2014,25.719355, VALPARAISO, A755,"-2,131,916,666","-5,093,027,777"
11/30/2014,24.811111, VALPARAISO, A756,"-2,131,916,666","-5,093,027,777"
12/31/2014,25.62164, VALPARAISO, A757,"-2,131,916,666","-5,093,027,777"
1/31/2015,27.304301, VALPARAISO, A758,"-2,131,916,666","-5,093,027,777"
2/28/2015,25.554762, VALPARAISO, A759,"-2,131,916,666","-5,093,027,777"
3/31/2015,24.625941, VALPARAISO, A760,"-2,131,916,666","-5,093,027,777"
4/30/2015,24.095278, VALPARAISO, A761,"-2,131,916,666","-5,093,027,777"
5/31/2015,20.970479, VALPARAISO, A762,"-2,131,916,666","-5,093,027,777"
6/30/2015,20.364722, VALPARAISO, A763,"-2,131,916,666","-5,093,027,777"
7/31/2015,20.412097, VALPARAISO, A764,"-2,131,916,666","-5,093,027,777"
8/31/2015,22.579704, VALPARAISO, A765,"-2,131,916,666","-5,093,027,777"
9/30/2015,24.480278, VALPARAISO, A766,"-2,131,916,666","-5,093,027,777"
10/31/2015,25.859409, VALPARAISO, A767,"-2,131,916,666","-5,093,027,777"
11/30/2015,25.780417, VALPARAISO, A768,"-2,131,916,666","-5,093,027,777"
12/31/2015,25.886425, VALPARAISO, A769,"-2,131,916,666","-5,093,027,777"
1/31/2016,26.029237, VALPARAISO, A770,"-2,131,916,666","-5,093,027,777"
2/29/2016,26.260201, VALPARAISO, A771,"-2,131,916,666","-5,093,027,777"
3/31/2016,25.479436, VALPARAISO, A772,"-2,131,916,666","-5,093,027,777"
4/30/2016,25.526389, VALPARAISO, A773,"-2,131,916,666","-5,093,027,777"
5/31/2016,20.11922, VALPARAISO, A774,"-2,131,916,666","-5,093,027,777"
6/30/2016,18.513194, VALPARAISO, A775,"-2,131,916,666","-5,093,027,777"
7/31/2016,19.780645, VALPARAISO, A776,"-2,131,916,666","-5,093,027,777"
8/31/2016,21.301478, VALPARAISO, A777,"-2,131,916,666","-5,093,027,777"
9/30/2016,21.303889, VALPARAISO, A778,"-2,131,916,666","-5,093,027,777"
10/31/2016,24.35336, VALPARAISO, A779,"-2,131,916,666","-5,093,027,777"
11/30/2016,25.408472, VALPARAISO, A780,"-2,131,916,666","-5,093,027,777"
12/31/2016,26.108333, VALPARAISO, A781,"-2,131,916,666","-5,093,027,777"
1/31/2017,25.095699, VALPARAISO, A782,"-2,131,916,666","-5,093,027,777"
2/28/2017,26.64122, VALPARAISO, A783,"-2,131,916,666","-5,093,027,777"
3/31/2017,25.570161, VALPARAISO, A784,"-2,131,916,666","-5,093,027,777"
4/30/2017,23.45, VALPARAISO, A785,"-2,131,916,666","-5,093,027,777"
5/31/2017,22.871413, VALPARAISO, A786,"-2,131,916,666","-5,093,027,777"
6/30/2017,null, VALPARAISO, A787,"-2,131,916,666","-5,093,027,777"
7/31/2017,19.393548, VALPARAISO, A788,"-2,131,916,666","-5,093,027,777"
8/31/2017,21.629032, VALPARAISO, A789,"-2,131,916,666","-5,093,027,777"
9/30/2017,25.558333, VALPARAISO, A790,"-2,131,916,666","-5,093,027,777"
10/31/2017,24.894086, VALPARAISO, A791,"-2,131,916,666","-5,093,027,777"
11/30/2017,24.647083, VALPARAISO, A792,"-2,131,916,666","-5,093,027,777"
12/31/2017,25.766398, VALPARAISO, A793,"-2,131,916,666","-5,093,027,777"
1/31/2018,null, VALPARAISO, A794,"-2,131,916,666","-5,093,027,777"
2/28/2018,null, VALPARAISO, A795,"-2,131,916,666","-5,093,027,777"
3/31/2018,26.705511, VALPARAISO, A796,"-2,131,916,666","-5,093,027,777"
4/30/2018,24.349861, VALPARAISO, A797,"-2,131,916,666","-5,093,027,777"
5/31/2018,21.661828, VALPARAISO, A798,"-2,131,916,666","-5,093,027,777"
6/30/2018,21.559722, VALPARAISO, A799,"-2,131,916,666","-5,093,027,777"
7/31/2018,21.124328, VALPARAISO, A800,"-2,131,916,666","-5,093,027,777"
8/31/2018,20.15121, VALPARAISO, A801,"-2,131,916,666","-5,093,027,777"
9/30/2018,23.463056, VALPARAISO, A802,"-2,131,916,666","-5,093,027,777"
10/31/2018,25.411021, VALPARAISO, A803,"-2,131,916,666","-5,093,027,777"
11/30/2018,25.170278, VALPARAISO, A804,"-2,131,916,666","-5,093,027,777"
12/31/2018,26.471102, VALPARAISO, A805,"-2,131,916,666","-5,093,027,777"
1/31/2019,27.346237, VALPARAISO, A806,"-2,131,916,666","-5,093,027,777"
2/28/2019,26.175595, VALPARAISO, A807,"-2,131,916,666","-5,093,027,777"
3/31/2019,25.306586, VALPARAISO, A808,"-2,131,916,666","-5,093,027,777"
4/30/2019,24.749306, VALPARAISO, A809,"-2,131,916,666","-5,093,027,777"
5/31/2019,22.583199, VALPARAISO, A810,"-2,131,916,666","-5,093,027,777"
6/30/2019,20.957361, VALPARAISO, A811,"-2,131,916,666","-5,093,027,777"
7/31/2019,19.655511, VALPARAISO, A812,"-2,131,916,666","-5,093,027,777"
8/31/2019,21.8, VALPARAISO, A813,"-2,131,916,666","-5,093,027,777"
9/30/2019,25.431389, VALPARAISO, A814,"-2,131,916,666","-5,093,027,777"
10/31/2019,26.88172, VALPARAISO, A815,"-2,131,916,666","-5,093,027,777"
11/30/2019,26.8325, VALPARAISO, A816,"-2,131,916,666","-5,093,027,777"
12/31/2019,25.857258, VALPARAISO, A817,"-2,131,916,666","-5,093,027,777"
1/31/2020,26.223656, VALPARAISO, A818,"-2,131,916,666","-5,093,027,777"
2/29/2020,25.267816, VALPARAISO, A819,"-2,131,916,666","-5,093,027,777"
3/31/2020,25.266129, VALPARAISO, A820,"-2,131,916,666","-5,093,027,777"
4/30/2020,22.981806, VALPARAISO, A821,"-2,131,916,666","-5,093,027,777"
5/31/2020,19.453091, VALPARAISO, A822,"-2,131,916,666","-5,093,027,777"
6/30/2020,21.283194, VALPARAISO, A823,"-2,131,916,666","-5,093,027,777"
7/31/2020,20.979167, VALPARAISO, A824,"-2,131,916,666","-5,093,027,777"
8/31/2020,21.756855, VALPARAISO, A825,"-2,131,916,666","-5,093,027,777"
9/30/2020,null, VALPARAISO, A826,"-2,131,916,666","-5,093,027,777"
10/31/2020,null, VALPARAISO, A827,"-2,131,916,666","-5,093,027,777"
11/30/2020,null, VALPARAISO, A828,"-2,131,916,666","-5,093,027,777"
12/31/2020,26.115741, VALPARAISO, A829,"-2,131,916,666","-5,093,027,777"
1/31/2021,25.582258, VALPARAISO, A830,"-2,131,916,666","-5,093,027,777"
2/28/2021,25.128826, VALPARAISO, A831,"-2,131,916,666","-5,093,027,777"
3/31/2021,25.501313, VALPARAISO, A832,"-2,131,916,666","-5,093,027,777"
4/30/2021,null, VALPARAISO, A833,"-2,131,916,666","-5,093,027,777"
5/31/2021,null, VALPARAISO, A834,"-2,131,916,666","-5,093,027,777"
6/30/2021,20.039844, VALPARAISO, A835,"-2,131,916,666","-5,093,027,777"
7/31/2021,17.710349, VALPARAISO, A836,"-2,131,916,666","-5,093,027,777"
8/31/2021,22.956183, VALPARAISO, A837,"-2,131,916,666","-5,093,027,777"
9/30/2021,26.763218, VALPARAISO, A838,"-2,131,916,666","-5,093,027,777"
10/31/2021,24.49375, VALPARAISO, A839,"-2,131,916,666","-5,093,027,777"
11/30/2021,26.689861, VALPARAISO, A840,"-2,131,916,666","-5,093,027,777"
12/31/2021,26.091129, VALPARAISO, A841,"-2,131,916,666","-5,093,027,777"
1/31/2022,25.885833, VALPARAISO, A842,"-2,131,916,666","-5,093,027,777"
2/28/2022,26.141964, VALPARAISO, A843,"-2,131,916,666","-5,093,027,777"
3/31/2022,25.827554, VALPARAISO, A844,"-2,131,916,666","-5,093,027,777"
4/30/2022,null, VALPARAISO, A845,"-2,131,916,666","-5,093,027,777"
5/31/2022,null, VALPARAISO, A846,"-2,131,916,666","-5,093,027,777"
6/30/2022,null, VALPARAISO, A847,"-2,131,916,666","-5,093,027,777"
7/31/2022,null, VALPARAISO, A848,"-2,131,916,666","-5,093,027,777"
8/31/2022,null, VALPARAISO, A849,"-2,131,916,666","-5,093,027,777"
9/30/2022,null, VALPARAISO, A850,"-2,131,916,666","-5,093,027,777"
10/31/2022,24.469221, VALPARAISO, A851,"-2,131,916,666","-5,093,027,777"
11/30/2022,23.92625, VALPARAISO, A852,"-2,131,916,666","-5,093,027,777"
12/31/2022,25.397446, VALPARAISO, A853,"-2,131,916,666","-5,093,027,777"
1/31/2023,25.028091, VALPARAISO, A854,"-2,131,916,666","-5,093,027,777"
