Data Medicao,"TEMPERATURA MEDIA, MENSAL (AUT)(°C)",Nome,Codigo Estacao,Latitude,Longitude
1/31/2013,25.146237, VOTUPORANGA, A729,"-2,040,333,333","-4,996,611,111"
2/28/2013,25.363393, VOTUPORANGA, A730,"-2,040,333,333","-4,996,611,111"
3/31/2013,25.09023, VOTUPORANGA, A731,"-2,040,333,333","-4,996,611,111"
4/30/2013,null, VOTUPORANGA, A732,"-2,040,333,333","-4,996,611,111"
5/31/2013,null, VOTUPORANGA, A733,"-2,040,333,333","-4,996,611,111"
6/30/2013,null, VOTUPORANGA, A734,"-2,040,333,333","-4,996,611,111"
7/31/2013,null, VOTUPORANGA, A735,"-2,040,333,333","-4,996,611,111"
8/31/2013,null, VOTUPORANGA, A736,"-2,040,333,333","-4,996,611,111"
9/30/2013,null, VOTUPORANGA, A737,"-2,040,333,333","-4,996,611,111"
10/31/2013,null, VOTUPORANGA, A738,"-2,040,333,333","-4,996,611,111"
11/30/2013,null, VOTUPORANGA, A739,"-2,040,333,333","-4,996,611,111"
12/31/2013,null, VOTUPORANGA, A740,"-2,040,333,333","-4,996,611,111"
1/31/2014,null, VOTUPORANGA, A741,"-2,040,333,333","-4,996,611,111"
2/28/2014,null, VOTUPORANGA, A742,"-2,040,333,333","-4,996,611,111"
3/31/2014,null, VOTUPORANGA, A743,"-2,040,333,333","-4,996,611,111"
4/30/2014,null, VOTUPORANGA, A744,"-2,040,333,333","-4,996,611,111"
5/31/2014,null, VOTUPORANGA, A745,"-2,040,333,333","-4,996,611,111"
6/30/2014,null, VOTUPORANGA, A746,"-2,040,333,333","-4,996,611,111"
7/31/2014,null, VOTUPORANGA, A747,"-2,040,333,333","-4,996,611,111"
8/31/2014,null, VOTUPORANGA, A748,"-2,040,333,333","-4,996,611,111"
9/30/2014,null, VOTUPORANGA, A749,"-2,040,333,333","-4,996,611,111"
10/31/2014,null, VOTUPORANGA, A750,"-2,040,333,333","-4,996,611,111"
11/30/2014,null, VOTUPORANGA, A751,"-2,040,333,333","-4,996,611,111"
12/31/2014,25.626935, VOTUPORANGA, A752,"-2,040,333,333","-4,996,611,111"
1/31/2015,27.111951, VOTUPORANGA, A753,"-2,040,333,333","-4,996,611,111"
2/28/2015,25.502083, VOTUPORANGA, A754,"-2,040,333,333","-4,996,611,111"
3/31/2015,24.471102, VOTUPORANGA, A755,"-2,040,333,333","-4,996,611,111"
4/30/2015,24.632403, VOTUPORANGA, A756,"-2,040,333,333","-4,996,611,111"
5/31/2015,21.704973, VOTUPORANGA, A757,"-2,040,333,333","-4,996,611,111"
6/30/2015,21.290417, VOTUPORANGA, A758,"-2,040,333,333","-4,996,611,111"
7/31/2015,21.534543, VOTUPORANGA, A759,"-2,040,333,333","-4,996,611,111"
8/31/2015,23.321505, VOTUPORANGA, A760,"-2,040,333,333","-4,996,611,111"
9/30/2015,25.197222, VOTUPORANGA, A761,"-2,040,333,333","-4,996,611,111"
10/31/2015,26.89543, VOTUPORANGA, A762,"-2,040,333,333","-4,996,611,111"
11/30/2015,25.922083, VOTUPORANGA, A763,"-2,040,333,333","-4,996,611,111"
12/31/2015,26.025672, VOTUPORANGA, A764,"-2,040,333,333","-4,996,611,111"
1/31/2016,25.559409, VOTUPORANGA, A765,"-2,040,333,333","-4,996,611,111"
2/29/2016,26.497988, VOTUPORANGA, A766,"-2,040,333,333","-4,996,611,111"
3/31/2016,25.919355, VOTUPORANGA, A767,"-2,040,333,333","-4,996,611,111"
4/30/2016,25.820694, VOTUPORANGA, A768,"-2,040,333,333","-4,996,611,111"
5/31/2016,21.269893, VOTUPORANGA, A769,"-2,040,333,333","-4,996,611,111"
6/30/2016,19.848056, VOTUPORANGA, A770,"-2,040,333,333","-4,996,611,111"
7/31/2016,20.846505, VOTUPORANGA, A771,"-2,040,333,333","-4,996,611,111"
8/31/2016,22.109677, VOTUPORANGA, A772,"-2,040,333,333","-4,996,611,111"
9/30/2016,23.357083, VOTUPORANGA, A773,"-2,040,333,333","-4,996,611,111"
10/31/2016,25.132661, VOTUPORANGA, A774,"-2,040,333,333","-4,996,611,111"
11/30/2016,25.199722, VOTUPORANGA, A775,"-2,040,333,333","-4,996,611,111"
12/31/2016,25.621897, VOTUPORANGA, A776,"-2,040,333,333","-4,996,611,111"
1/31/2017,24.881048, VOTUPORANGA, A777,"-2,040,333,333","-4,996,611,111"
2/28/2017,26.269494, VOTUPORANGA, A778,"-2,040,333,333","-4,996,611,111"
3/31/2017,25.851075, VOTUPORANGA, A779,"-2,040,333,333","-4,996,611,111"
4/30/2017,23.922639, VOTUPORANGA, A780,"-2,040,333,333","-4,996,611,111"
5/31/2017,23.03629, VOTUPORANGA, A781,"-2,040,333,333","-4,996,611,111"
6/30/2017,20.484583, VOTUPORANGA, A782,"-2,040,333,333","-4,996,611,111"
7/31/2017,19.810695, VOTUPORANGA, A783,"-2,040,333,333","-4,996,611,111"
8/31/2017,null, VOTUPORANGA, A784,"-2,040,333,333","-4,996,611,111"
9/30/2017,null, VOTUPORANGA, A785,"-2,040,333,333","-4,996,611,111"
10/31/2017,26.360005, VOTUPORANGA, A786,"-2,040,333,333","-4,996,611,111"
11/30/2017,25.227917, VOTUPORANGA, A787,"-2,040,333,333","-4,996,611,111"
12/31/2017,25.617742, VOTUPORANGA, A788,"-2,040,333,333","-4,996,611,111"
1/31/2018,25.712231, VOTUPORANGA, A789,"-2,040,333,333","-4,996,611,111"
2/28/2018,25.004018, VOTUPORANGA, A790,"-2,040,333,333","-4,996,611,111"
3/31/2018,26.845833, VOTUPORANGA, A791,"-2,040,333,333","-4,996,611,111"
4/30/2018,24.405278, VOTUPORANGA, A792,"-2,040,333,333","-4,996,611,111"
5/31/2018,21.979973, VOTUPORANGA, A793,"-2,040,333,333","-4,996,611,111"
6/30/2018,22.183195, VOTUPORANGA, A794,"-2,040,333,333","-4,996,611,111"
7/31/2018,21.614317, VOTUPORANGA, A795,"-2,040,333,333","-4,996,611,111"
8/31/2018,21.762231, VOTUPORANGA, A796,"-2,040,333,333","-4,996,611,111"
9/30/2018,24.327917, VOTUPORANGA, A797,"-2,040,333,333","-4,996,611,111"
10/31/2018,26.060349, VOTUPORANGA, A798,"-2,040,333,333","-4,996,611,111"
11/30/2018,25.019028, VOTUPORANGA, A799,"-2,040,333,333","-4,996,611,111"
12/31/2018,26.644893, VOTUPORANGA, A800,"-2,040,333,333","-4,996,611,111"
1/31/2019,27.305914, VOTUPORANGA, A801,"-2,040,333,333","-4,996,611,111"
2/28/2019,25.999851, VOTUPORANGA, A802,"-2,040,333,333","-4,996,611,111"
3/31/2019,25.414785, VOTUPORANGA, A803,"-2,040,333,333","-4,996,611,111"
4/30/2019,24.755833, VOTUPORANGA, A804,"-2,040,333,333","-4,996,611,111"
5/31/2019,22.902016, VOTUPORANGA, A805,"-2,040,333,333","-4,996,611,111"
6/30/2019,21.360833, VOTUPORANGA, A806,"-2,040,333,333","-4,996,611,111"
7/31/2019,20.604704, VOTUPORANGA, A807,"-2,040,333,333","-4,996,611,111"
8/31/2019,22.74543, VOTUPORANGA, A808,"-2,040,333,333","-4,996,611,111"
9/30/2019,26.185555, VOTUPORANGA, A809,"-2,040,333,333","-4,996,611,111"
10/31/2019,27.234812, VOTUPORANGA, A810,"-2,040,333,333","-4,996,611,111"
11/30/2019,26.442639, VOTUPORANGA, A811,"-2,040,333,333","-4,996,611,111"
12/31/2019,25.577419, VOTUPORANGA, A812,"-2,040,333,333","-4,996,611,111"
1/31/2020,26.00914, VOTUPORANGA, A813,"-2,040,333,333","-4,996,611,111"
2/29/2020,25.228448, VOTUPORANGA, A814,"-2,040,333,333","-4,996,611,111"
3/31/2020,25.442473, VOTUPORANGA, A815,"-2,040,333,333","-4,996,611,111"
